https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USDT
1663459200,2022-09-18 00:00:00,LRC/USDT,0.3313,0.3314,0.329,0.3294,26657.39178047,8810.067432452935
1663372800,2022-09-17 00:00:00,LRC/USDT,0.3256,0.3321,0.3229,0.3312,943198.39717054,309163.068812384036
1663286400,2022-09-16 00:00:00,LRC/USDT,0.323,0.3269,0.3163,0.3261,691906.59878681,222136.181493271095
1663200000,2022-09-15 00:00:00,LRC/USDT,0.3366,0.3389,0.3199,0.3228,1613279.4498613,531863.359519990757
1663113600,2022-09-14 00:00:00,LRC/USDT,0.3306,0.3391,0.326,0.3367,523940.87716402,174140.835602203683
1663027200,2022-09-13 00:00:00,LRC/USDT,0.3511,0.3603,0.3286,0.3307,1814168.57579239,625456.154751588062
1662940800,2022-09-12 00:00:00,LRC/USDT,0.3617,0.3744,0.3444,0.351,1348303.32708226,487442.87842012093
1662854400,2022-09-11 00:00:00,LRC/USDT,0.3653,0.3758,0.3541,0.3622,1137236.33362006,415688.512314967901
1662768000,2022-09-10 00:00:00,LRC/USDT,0.3719,0.3766,0.3597,0.3653,1541442.42258328,566530.166009269833
1662681600,2022-09-09 00:00:00,LRC/USDT,0.3433,0.3762,0.3422,0.3721,1652098.73608382,592110.590163327243
1662595200,2022-09-08 00:00:00,LRC/USDT,0.3421,0.3453,0.3312,0.343,1442541.12208072,488887.814247408613
1662508800,2022-09-07 00:00:00,LRC/USDT,0.3257,0.3483,0.3197,0.3417,1662573.31885198,559355.870770337951
1662422400,2022-09-06 00:00:00,LRC/USDT,0.3553,0.3671,0.325,0.3253,4380618.66315728,1513403.048830461398
1662336000,2022-09-05 00:00:00,LRC/USDT,0.3687,0.372,0.3503,0.3553,2722880.49699573,962771.336508116639
1662249600,2022-09-04 00:00:00,LRC/USDT,0.3542,0.3697,0.3522,0.3687,683736.49987151,249077.565970416128
1662163200,2022-09-03 00:00:00,LRC/USDT,0.354,0.3582,0.3494,0.3545,388166.06351211,137260.529370852088
1662076800,2022-09-02 00:00:00,LRC/USDT,0.3535,0.3658,0.3482,0.3545,903668.81169744,320694.17010952272
1661990400,2022-09-01 00:00:00,LRC/USDT,0.3518,0.3548,0.3382,0.3534,825434.65018719,285515.123580582531
1661904000,2022-08-31 00:00:00,LRC/USDT,0.3554,0.3663,0.3502,0.3518,903021.82803297,322728.632463862497
1661817600,2022-08-30 00:00:00,LRC/USDT,0.3658,0.3743,0.3458,0.355,1119861.48594861,401322.650453367977
1661731200,2022-08-29 00:00:00,LRC/USDT,0.3411,0.3673,0.3369,0.3657,904100.22155572,321700.42495051614
1661644800,2022-08-28 00:00:00,LRC/USDT,0.3553,0.3604,0.3388,0.3412,1648343.82299802,583029.396943931582
1661558400,2022-08-27 00:00:00,LRC/USDT,0.3551,0.363,0.3493,0.3553,1713116.44070728,608392.440179434823
1661472000,2022-08-26 00:00:00,LRC/USDT,0.3942,0.3979,0.3486,0.3557,1893893.01056002,704501.405588803373
1661385600,2022-08-25 00:00:00,LRC/USDT,0.3872,0.4078,0.3863,0.3945,1055421.27192499,416358.969773983581
1661299200,2022-08-24 00:00:00,LRC/USDT,0.3857,0.4015,0.373,0.3872,1349695.54397588,522702.49850459204
