https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ERN,Volume USDT
1663459200,2022-09-18 00:00:00,ERN/USDT,1.6367,1.6367,1.618,1.6197,1428.76936417,2318.679236274497
1663372800,2022-09-17 00:00:00,ERN/USDT,1.5258,1.7,1.5242,1.6367,26861.26147064,43583.604165032395
1663286400,2022-09-16 00:00:00,ERN/USDT,1.5115,1.5538,1.4959,1.517,4961.54560734,7526.218812246391
1663200000,2022-09-15 00:00:00,ERN/USDT,1.5936,1.6156,1.5058,1.5125,14801.85686816,22989.200556297937
1663113600,2022-09-14 00:00:00,ERN/USDT,1.592,1.6108,1.5246,1.5935,20832.22356799,33071.061497277298
1663027200,2022-09-13 00:00:00,ERN/USDT,1.6536,1.73,1.5825,1.5825,10098.93350564,16635.680466363625
1662940800,2022-09-12 00:00:00,ERN/USDT,1.7294,1.7539,1.5667,1.6603,12497.99826817,21020.981469389371
1662854400,2022-09-11 00:00:00,ERN/USDT,1.7194,1.7615,1.7011,1.725,6264.48741644,10894.162637605982
1662768000,2022-09-10 00:00:00,ERN/USDT,1.7066,1.73,1.674,1.7202,7853.32477793,13334.82124746524
1662681600,2022-09-09 00:00:00,ERN/USDT,1.662,1.723,1.6437,1.7067,12297.03723512,20808.711298994429
1662595200,2022-09-08 00:00:00,ERN/USDT,1.6336,1.6733,1.5718,1.662,9672.55899671,15877.950756620322
1662508800,2022-09-07 00:00:00,ERN/USDT,1.5656,1.64,1.5286,1.6273,6580.58518669,10363.444641432718
1662422400,2022-09-06 00:00:00,ERN/USDT,1.671,1.7133,1.5656,1.5656,13371.55211505,22308.259989549203
1662336000,2022-09-05 00:00:00,ERN/USDT,1.6892,1.7308,1.637,1.671,17950.72117565,30225.665728710837
1662249600,2022-09-04 00:00:00,ERN/USDT,1.622,1.7639,1.615,1.6954,16033.6646466,27192.213607734496
1662163200,2022-09-03 00:00:00,ERN/USDT,1.6724,1.6737,1.6109,1.622,4886.29250214,8009.917262819117
1662076800,2022-09-02 00:00:00,ERN/USDT,1.6758,1.7523,1.6022,1.6729,23693.03762689,40268.193866043308
1661990400,2022-09-01 00:00:00,ERN/USDT,1.5965,1.6788,1.5718,1.6757,17263.68602261,27894.672932157006
1661904000,2022-08-31 00:00:00,ERN/USDT,1.5895,1.6506,1.5782,1.5846,14163.07297268,22849.309379424948
1661817600,2022-08-30 00:00:00,ERN/USDT,1.6737,1.7237,1.5666,1.5865,9051.89539975,14785.025513977697
1661731200,2022-08-29 00:00:00,ERN/USDT,1.5728,1.6848,1.5544,1.6664,12009.14683969,19483.992849603677
1661644800,2022-08-28 00:00:00,ERN/USDT,1.6076,1.6297,1.5666,1.5666,8079.03414077,13008.298781431343
1661558400,2022-08-27 00:00:00,ERN/USDT,1.5937,1.7752,1.5574,1.5988,26904.42647483,43893.316535187358
1661472000,2022-08-26 00:00:00,ERN/USDT,1.7929,1.798,1.59,1.6079,21935.39742735,37382.135580561213
1661385600,2022-08-25 00:00:00,ERN/USDT,1.7524,1.831,1.7481,1.7929,12143.16392072,21789.878905041323
1661299200,2022-08-24 00:00:00,ERN/USDT,1.7691,1.7829,1.7183,1.7461,10781.11237128,18873.339919503302
1661212800,2022-08-23 00:00:00,ERN/USDT,1.7359,1.7814,1.6772,1.7722,9619.42463465,16675.446702204136
1661126400,2022-08-22 00:00:00,ERN/USDT,1.759,1.7668,1.6797,1.7311,18869.24779951,32518.404229305219
1661040000,2022-08-21 00:00:00,ERN/USDT,1.7523,1.813,1.7351,1.7601,17718.11290369,31459.60145583297
1660953600,2022-08-20 00:00:00,ERN/USDT,1.7061,1.9091,1.7011,1.752,31721.30653,56283.299681890383
1660867200,2022-08-19 00:00:00,ERN/USDT,1.9196,1.925,1.6826,1.7007,29241.00510234,51406.008810205162
1660780800,2022-08-18 00:00:00,ERN/USDT,1.9712,2.0058,1.9196,1.9196,18902.36710835,37105.270900280369
1660694400,2022-08-17 00:00:00,ERN/USDT,2.074,2.1434,1.9548,1.9639,12336.22816654,25327.852789726756
1660608000,2022-08-16 00:00:00,ERN/USDT,2.1005,2.12,2.0391,2.0764,10830.87309507,22488.383745068544
1660521600,2022-08-15 00:00:00,ERN/USDT,2.1328,2.1826,2.0605,2.0978,20157.45895815,42639.530720815072
1660435200,2022-08-14 00:00:00,ERN/USDT,2.2488,2.3808,2.1288,2.135,16712.33450861,36937.792131407467
1660348800,2022-08-13 00:00:00,ERN/USDT,2.261,2.3318,2.2291,2.2423,17091.84777459,38892.068308285722
1660262400,2022-08-12 00:00:00,ERN/USDT,2.2638,2.2931,2.2034,2.2687,12526.72358895,28282.847831408219
1660176000,2022-08-11 00:00:00,ERN/USDT,2.36,2.3899,2.2455,2.2626,14618.40285266,34255.659121242792
1660089600,2022-08-10 00:00:00,ERN/USDT,2.264,2.402,2.1996,2.3597,14713.58579073,33888.689602473928
1660003200,2022-08-09 00:00:00,ERN/USDT,2.485,2.501,2.2124,2.264,24611.30787199,57436.90090932929
1659916800,2022-08-08 00:00:00,ERN/USDT,2.4278,2.5346,2.4211,2.484,19982.10346484,49514.2769184462
1659830400,2022-08-07 00:00:00,ERN/USDT,2.359,2.4525,2.3447,2.4204,8692.97871405,20994.536789371141
1659744000,2022-08-06 00:00:00,ERN/USDT,2.4839,2.641,2.3385,2.357,25288.8227322,61811.043339776254
1659657600,2022-08-05 00:00:00,ERN/USDT,2.3127,2.4931,2.2884,2.4807,15098.8535005,36023.451479416282
1659571200,2022-08-04 00:00:00,ERN/USDT,2.3719,2.4577,2.2433,2.32,17292.69460614,40572.292908429885
1659484800,2022-08-03 00:00:00,ERN/USDT,2.2882,2.6023,2.237,2.3687,30049.48677494,72769.363849446091
