https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GBP,Volume USDT
1663549200000,2022-09-19 01:00:00,USDT/GBP,0.87704766,0.87704766,0.87338217,0.87574504,159.38559727999998,182.0
1663545600000,2022-09-19 00:00:00,USDT/GBP,0.87735918,0.87785814,0.87338151,0.87387056,541.7997472,620.0
1663542000000,2022-09-18 23:00:00,USDT/GBP,0.87405614,0.87856108,0.873776,0.87691466,654.17833636,746.0
1663538400000,2022-09-18 22:00:00,USDT/GBP,0.87743975,0.88246771,0.87396986,0.87752694,625.4001918730474,712.68489133
1663534800000,2022-09-18 21:00:00,USDT/GBP,0.87517428,0.88241127,0.87398946,0.87482498,553.1861231291891,632.33919444
1663531200000,2022-09-18 20:00:00,USDT/GBP,0.87774807,0.87873105,0.87388993,0.8768131,520.8269814,594.0
1663527600000,2022-09-18 19:00:00,USDT/GBP,0.87586676,0.87868215,0.87411768,0.87650976,546.06558048,623.0
1663524000000,2022-09-18 18:00:00,USDT/GBP,0.87772601,0.87875422,0.87391852,0.87631339,576.61421062,658.0
1663520400000,2022-09-18 17:00:00,USDT/GBP,0.87541251,0.87847981,0.87395208,0.8755022,410.6105318,469.0
1663516800000,2022-09-18 16:00:00,USDT/GBP,0.87600369,0.8786712,0.87391777,0.87536013,653.89401711,747.0
1663513200000,2022-09-18 15:00:00,USDT/GBP,0.87795497,0.8786931,0.87393393,0.8771819,613.1501481,699.0
1663509600000,2022-09-18 14:00:00,USDT/GBP,0.87800773,0.88233838,0.87391953,0.87437683,472.75471483792074,540.67616915
1663506000000,2022-09-18 13:00:00,USDT/GBP,0.8776765,0.87854063,0.87400002,0.87518585,592.50082045,677.0
1663502400000,2022-09-18 12:00:00,USDT/GBP,0.87632542,0.87846333,0.87387188,0.87551596,438.63349596,501.0
1663498800000,2022-09-18 11:00:00,USDT/GBP,0.87762012,0.87859063,0.87400138,0.8753715,614.5107929999999,702.0
1663495200000,2022-09-18 10:00:00,USDT/GBP,0.87504315,0.87857906,0.87390036,0.87610647,490.6196232,560.0
1663491600000,2022-09-18 09:00:00,USDT/GBP,0.87772114,0.87855296,0.87394262,0.87631655,598.52420365,683.0
1663488000000,2022-09-18 08:00:00,USDT/GBP,0.87419969,0.87815408,0.87390663,0.87424465,604.9772978,692.0
1663484400000,2022-09-18 07:00:00,USDT/GBP,0.87416891,0.87848218,0.8738615,0.87510368,421.79997376,482.0
1663480800000,2022-09-18 06:00:00,USDT/GBP,0.87585757,0.87861138,0.87384155,0.87602135,526.48883135,601.0
1663477200000,2022-09-18 05:00:00,USDT/GBP,0.8786663,0.87869155,0.87394906,0.87816838,530.41370152,604.0
1663473600000,2022-09-18 04:00:00,USDT/GBP,0.8760606,0.87868062,0.87392614,0.87697321,547.23128304,624.0
1663470000000,2022-09-18 03:00:00,USDT/GBP,0.87451338,0.87839044,0.87389219,0.8779694,598.7751308,682.0
1663466400000,2022-09-18 02:00:00,USDT/GBP,0.87760656,0.87871328,0.87419899,0.87497857,604.61019187,691.0
1663462800000,2022-09-18 01:00:00,USDT/GBP,0.87581407,0.8823926,0.87397267,0.87544175,547.3021378384582,625.17253471
1663459200000,2022-09-18 00:00:00,USDT/GBP,0.87825437,0.8786605,0.87433928,0.87713781,592.94515956,676.0
1663455600000,2022-09-17 23:00:00,USDT/GBP,0.87800386,0.87860723,0.8739226,0.87636409,532.82936672,608.0
1663452000000,2022-09-17 22:00:00,USDT/GBP,0.87774905,0.87866872,0.87390917,0.87515148,546.0945235199999,624.0
1663448400000,2022-09-17 21:00:00,USDT/GBP,0.87585501,0.88234411,0.86075274,0.87743349,610.0050421161278,695.2151349
1663444800000,2022-09-17 20:00:00,USDT/GBP,0.87352167,0.87681821,0.87335526,0.8756855,592.8390835,677.0
1663441200000,2022-09-17 19:00:00,USDT/GBP,0.87707452,0.87707637,0.87314712,0.87689393,547.1818123200001,624.0
1663437600000,2022-09-17 18:00:00,USDT/GBP,0.87446437,0.87706829,0.8734011,0.87422162,492.18677206,563.0
1663434000000,2022-09-17 17:00:00,USDT/GBP,0.87514338,0.87686224,0.87337529,0.87634168,543.3318416,620.0
1663430400000,2022-09-17 16:00:00,USDT/GBP,0.87326641,0.87712307,0.87307161,0.8755484,602.3772992,688.0
1663426800000,2022-09-17 15:00:00,USDT/GBP,0.87702164,0.87702164,0.87303894,0.8763255,467.957817,534.0
1663423200000,2022-09-17 14:00:00,USDT/GBP,0.87667009,0.87681503,0.87328319,0.87358211,560.83971462,642.0
1663419600000,2022-09-17 13:00:00,USDT/GBP,0.87686558,0.87704675,0.87308196,0.87520394,459.4820685,525.0
1663416000000,2022-09-17 12:00:00,USDT/GBP,0.87497809,0.87706056,0.8730722,0.87604184,491.45947223999997,561.0
1663412400000,2022-09-17 11:00:00,USDT/GBP,0.87347084,0.8766633,0.87304181,0.87450541,538.69533256,616.0
1663408800000,2022-09-17 10:00:00,USDT/GBP,0.87424825,0.87701403,0.87308303,0.87324723,540.54003537,619.0
1663405200000,2022-09-17 09:00:00,USDT/GBP,0.87305298,0.87676968,0.87304847,0.876302,559.080676,638.0
1663401600000,2022-09-17 08:00:00,USDT/GBP,0.87638308,0.87696267,0.87304822,0.87483155,601.00927485,687.0
1663398000000,2022-09-17 07:00:00,USDT/GBP,0.87348149,0.87705902,0.87306342,0.87544516,555.0322314399999,634.0
1663394400000,2022-09-17 06:00:00,USDT/GBP,0.87556859,0.87705243,0.87001588,0.8769261,671.9649318919312,766.2731579
1663390800000,2022-09-17 05:00:00,USDT/GBP,0.87521488,0.87702908,0.87306824,0.87514519,598.59930996,684.0
1663387200000,2022-09-17 04:00:00,USDT/GBP,0.87449854,0.87703062,0.87310129,0.87408432,665.17816752,761.0
1663383600000,2022-09-17 03:00:00,USDT/GBP,0.87621491,0.87700203,0.87316676,0.87331582,550.1889666,630.0
1663380000000,2022-09-17 02:00:00,USDT/GBP,0.8746913,0.87695942,0.87305777,0.87649637,560.08118043,639.0
1663376400000,2022-09-17 01:00:00,USDT/GBP,0.87637784,0.87688936,0.87315419,0.87622359,559.03065042,638.0
1663372800000,2022-09-17 00:00:00,USDT/GBP,0.87581992,0.87703914,0.87304612,0.87677345,706.6794007,806.0
1663369200000,2022-09-16 23:00:00,USDT/GBP,0.87699791,0.87699791,0.87305428,0.87619661,580.0421558200001,662.0
1663365600000,2022-09-16 22:00:00,USDT/GBP,0.87602722,0.880088,0.87304031,0.87571986,536.9318876879662,613.13202111
1663362000000,2022-09-16 21:00:00,USDT/GBP,0.874998,0.87700618,0.87299829,0.87505332,583.66056444,667.0
1663358400000,2022-09-16 20:00:00,USDT/GBP,0.87474134,0.87732585,0.87374329,0.87374329,554.8269891499999,635.0
1663354800000,2022-09-16 19:00:00,USDT/GBP,0.87514793,0.87709782,0.87380981,0.876434,459.251416,524.0
1663351200000,2022-09-16 18:00:00,USDT/GBP,0.87515393,0.8776634,0.87427676,0.87702823,599.0102810899999,683.0
1663347600000,2022-09-16 17:00:00,USDT/GBP,0.87494342,0.87752273,0.87418579,0.87562024,672.4763443200001,768.0
1663344000000,2022-09-16 16:00:00,USDT/GBP,0.87469532,0.87761784,0.8736774,0.8771825,545.607515,622.0
1663340400000,2022-09-16 15:00:00,USDT/GBP,0.87595701,0.87714431,0.87255305,0.87446493,434.60907021,497.0
1663336800000,2022-09-16 14:00:00,USDT/GBP,0.87586727,0.87741811,0.87288933,0.876537,622.34127,710.0
1663333200000,2022-09-16 13:00:00,USDT/GBP,0.87559664,0.87991201,0.87423941,0.87660926,481.5696799922356,549.35499996
