https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DIA,Volume USDT
1663459200,2022-09-18 00:00:00,DIA/USDT,0.3798,0.3809,0.3784,0.3809,188.0795,71.29619508
1663372800,2022-09-17 00:00:00,DIA/USDT,0.3763,0.4759,0.3755,0.3812,184221.5863,74758.50270827
1663286400,2022-09-16 00:00:00,DIA/USDT,0.3673,0.3789,0.3643,0.3763,27136.9227,10010.52106537
1663200000,2022-09-15 00:00:00,DIA/USDT,0.3834,0.3875,0.3653,0.3672,78014.4018,29192.58170285
1663113600,2022-09-14 00:00:00,DIA/USDT,0.3809,0.3881,0.3752,0.3818,43809.1336,16664.86263503
1663027200,2022-09-13 00:00:00,DIA/USDT,0.4017,0.4034,0.3804,0.384,67231.3267,26360.48872143
1662940800,2022-09-12 00:00:00,DIA/USDT,0.4051,0.4159,0.3963,0.4016,36257.9014,14747.61207849
1662854400,2022-09-11 00:00:00,DIA/USDT,0.4003,0.4294,0.3949,0.405,70414.5011,28827.9302163
1662768000,2022-09-10 00:00:00,DIA/USDT,0.3999,0.4042,0.3911,0.4026,21992.2875,8749.19463437
1662681600,2022-09-09 00:00:00,DIA/USDT,0.3805,0.4034,0.3788,0.4,46856.0076,18346.44294386
1662595200,2022-09-08 00:00:00,DIA/USDT,0.3737,0.3874,0.3702,0.3805,43395.3248,16344.64026363
1662508800,2022-09-07 00:00:00,DIA/USDT,0.3642,0.3766,0.36,0.3738,58522.207,21391.82859813
1662422400,2022-09-06 00:00:00,DIA/USDT,0.3804,0.3866,0.3657,0.3686,41493.3,15566.07788165
1662336000,2022-09-05 00:00:00,DIA/USDT,0.3865,0.3887,0.3758,0.3814,22973.1707,8761.67090669
1662249600,2022-09-04 00:00:00,DIA/USDT,0.3758,0.3887,0.3743,0.3887,20762.106,7933.11092523
1662163200,2022-09-03 00:00:00,DIA/USDT,0.3817,0.3836,0.3731,0.3792,6612.7578,2499.46375358
1662076800,2022-09-02 00:00:00,DIA/USDT,0.3772,0.3937,0.3718,0.3821,16478.3738,6227.54458158
1661990400,2022-09-01 00:00:00,DIA/USDT,0.377,0.3825,0.3608,0.381,72514.788,26874.2316052
1661904000,2022-08-31 00:00:00,DIA/USDT,0.3773,0.3905,0.3745,0.3784,32200.6396,12286.64977992
1661817600,2022-08-30 00:00:00,DIA/USDT,0.3901,0.3979,0.3706,0.3802,84012.6262,32389.44065693
1661731200,2022-08-29 00:00:00,DIA/USDT,0.3637,0.4299,0.3625,0.3912,118596.4437,46333.90912617
1661644800,2022-08-28 00:00:00,DIA/USDT,0.3653,0.3747,0.3616,0.3638,19235.9079,7075.47374235
1661558400,2022-08-27 00:00:00,DIA/USDT,0.367,0.3782,0.3627,0.3669,21045.7585,7787.95936607
1661472000,2022-08-26 00:00:00,DIA/USDT,0.4096,0.4096,0.3664,0.3711,79812.0055,31016.74786203
1661385600,2022-08-25 00:00:00,DIA/USDT,0.4007,0.4186,0.3978,0.4116,67188.9911,27311.36033089
1661299200,2022-08-24 00:00:00,DIA/USDT,0.4033,0.4115,0.3955,0.4008,23782.2801,9573.53418254
1661212800,2022-08-23 00:00:00,DIA/USDT,0.3883,0.4073,0.383,0.4069,16039.8885,6308.8928113
1661126400,2022-08-22 00:00:00,DIA/USDT,0.4101,0.4101,0.3772,0.3915,63869.27,24849.86357067
1661040000,2022-08-21 00:00:00,DIA/USDT,0.3982,0.415,0.3982,0.4121,38805.7139,15839.79831114
1660953600,2022-08-20 00:00:00,DIA/USDT,0.3882,0.4167,0.3818,0.4002,39456.5584,15933.53721883
1660867200,2022-08-19 00:00:00,DIA/USDT,0.449,0.449,0.3882,0.3891,40935.3719,16563.68588162
1660780800,2022-08-18 00:00:00,DIA/USDT,0.4584,0.4664,0.45,0.45,15316.6392,7029.38022711
1660694400,2022-08-17 00:00:00,DIA/USDT,0.4722,0.4909,0.4558,0.4587,33924.3813,15889.56450261
1660608000,2022-08-16 00:00:00,DIA/USDT,0.4758,0.4805,0.4632,0.4716,42190.5518,19910.83850473
1660521600,2022-08-15 00:00:00,DIA/USDT,0.4913,0.4983,0.4684,0.4758,59004.4636,28579.03181921
1660435200,2022-08-14 00:00:00,DIA/USDT,0.5325,0.5444,0.4817,0.4886,161015.3915,82114.87005798
1660348800,2022-08-13 00:00:00,DIA/USDT,0.4825,0.5847,0.4762,0.5356,318296.3103,171345.45512909
1660262400,2022-08-12 00:00:00,DIA/USDT,0.4769,0.4824,0.4569,0.4813,33594.8133,15946.23511401
1660176000,2022-08-11 00:00:00,DIA/USDT,0.4866,0.506,0.4733,0.4769,66313.7955,32429.23840605
1660089600,2022-08-10 00:00:00,DIA/USDT,0.48,0.5039,0.4622,0.4899,61855.341,29767.89130505
1660003200,2022-08-09 00:00:00,DIA/USDT,0.4787,0.486,0.4537,0.4793,38191.6702,17941.97470343
1659916800,2022-08-08 00:00:00,DIA/USDT,0.4751,0.4986,0.4673,0.4778,57416.8903,27690.77670655
1659830400,2022-08-07 00:00:00,DIA/USDT,0.4699,0.4841,0.4657,0.4751,19987.9996,9461.7219183
1659744000,2022-08-06 00:00:00,DIA/USDT,0.4798,0.4859,0.4697,0.4705,33620.2891,16001.53837545
1659657600,2022-08-05 00:00:00,DIA/USDT,0.4589,0.4805,0.4573,0.4799,82259.7871,38597.96418983
1659571200,2022-08-04 00:00:00,DIA/USDT,0.4616,0.4767,0.453,0.4548,33672.6243,15564.50058312
1659484800,2022-08-03 00:00:00,DIA/USDT,0.4527,0.4813,0.4401,0.4589,47043.1022,21960.48071415
1659398400,2022-08-02 00:00:00,DIA/USDT,0.4869,0.4962,0.4432,0.4535,227499.5313,106204.47309655
1659312000,2022-08-01 00:00:00,DIA/USDT,0.46,0.4892,0.4594,0.4892,143527.6729,68038.62128166
1659225600,2022-07-31 00:00:00,DIA/USDT,0.458,0.485,0.4504,0.46,85224.8236,40298.25422223
1659139200,2022-07-30 00:00:00,DIA/USDT,0.4855,0.5178,0.4425,0.4575,253044.5513,121081.20252074
1659052800,2022-07-29 00:00:00,DIA/USDT,0.4479,0.504,0.4426,0.4855,148834.2529,68991.73828673
1658966400,2022-07-28 00:00:00,DIA/USDT,0.4301,0.4916,0.4245,0.4443,286896.8563,129326.26614023
1658880000,2022-07-27 00:00:00,DIA/USDT,0.3974,0.4369,0.394,0.4297,53712.7033,22225.55448359
1658793600,2022-07-26 00:00:00,DIA/USDT,0.403,0.403,0.3822,0.3975,22452.90950172,8796.461620793012
1658707200,2022-07-25 00:00:00,DIA/USDT,0.4294,0.4303,0.403,0.4059,38803.5271,16128.05567285
1658620800,2022-07-24 00:00:00,DIA/USDT,0.4365,0.4386,0.4252,0.432,54270.7496,23446.52378434
1658534400,2022-07-23 00:00:00,DIA/USDT,0.4189,0.4355,0.4146,0.433,28684.6288,12195.98591339
1658448000,2022-07-22 00:00:00,DIA/USDT,0.4317,0.443,0.4173,0.4191,14716.3614,6297.21580951
1658361600,2022-07-21 00:00:00,DIA/USDT,0.4189,0.4337,0.405,0.4306,52644.1658,21941.00742032
1658275200,2022-07-20 00:00:00,DIA/USDT,0.448,0.4629,0.41,0.4189,43617.8633,19140.602055243462
1658188800,2022-07-19 00:00:00,DIA/USDT,0.4486,0.4591,0.4287,0.4452,75368.56316902,33699.143974787202
1658102400,2022-07-18 00:00:00,DIA/USDT,0.4366,0.4544,0.4245,0.4485,116830.23838595,51529.636682986273
1658016000,2022-07-17 00:00:00,DIA/USDT,0.4277,0.4466,0.4248,0.4367,104222.70280651,45183.997995273201
1657929600,2022-07-16 00:00:00,DIA/USDT,0.4073,0.4398,0.3953,0.4275,111655.80277185,46715.162125866609
