https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FALCONS,Volume USDT
1663459200,2022-09-18 00:00:00,FALCONS/USDT,0.004847,0.005071,0.004842,0.004993,175923.8625,877.4309150984
1663372800,2022-09-17 00:00:00,FALCONS/USDT,0.004728,0.005099,0.004713,0.004849,3469921.9661,17022.3813445927
1663286400,2022-09-16 00:00:00,FALCONS/USDT,0.00476,0.004816,0.004686,0.004731,2943217.5979,13957.5873426134
1663200000,2022-09-15 00:00:00,FALCONS/USDT,0.004809,0.0052,0.0047,0.00476,6422427.6262,31324.2774990505
1663113600,2022-09-14 00:00:00,FALCONS/USDT,0.004865,0.0052,0.004557,0.004811,6691320.5195,32267.8457245384
1663027200,2022-09-13 00:00:00,FALCONS/USDT,0.005207,0.00522,0.004769,0.004862,4966911.8015,24960.2389520583
1662940800,2022-09-12 00:00:00,FALCONS/USDT,0.005128,0.005318,0.00495,0.005204,7060197.5888,36109.8322143195
1662854400,2022-09-11 00:00:00,FALCONS/USDT,0.005396,0.005577,0.004901,0.005125,4809974.1478,25037.7917959814
1662768000,2022-09-10 00:00:00,FALCONS/USDT,0.005094,0.0059,0.005075,0.005398,9026173.6901,48262.7394377079
1662681600,2022-09-09 00:00:00,FALCONS/USDT,0.004961,0.0055,0.0048,0.005097,7434493.3364,38226.5961986736
1662595200,2022-09-08 00:00:00,FALCONS/USDT,0.005261,0.005299,0.004852,0.004959,5373758.1308,27265.2865505157
1662508800,2022-09-07 00:00:00,FALCONS/USDT,0.004952,0.005577,0.00467,0.005262,7979324.767,39828.6979327449
1662422400,2022-09-06 00:00:00,FALCONS/USDT,0.005143,0.00526,0.0045,0.00495,6555144.1246,32414.9109442207
1662336000,2022-09-05 00:00:00,FALCONS/USDT,0.00528,0.005299,0.005006,0.005148,2682978.6812,13844.6307604638
1662249600,2022-09-04 00:00:00,FALCONS/USDT,0.005246,0.005398,0.005072,0.005283,5196678.2288,27002.2828003461
1662163200,2022-09-03 00:00:00,FALCONS/USDT,0.005345,0.00577,0.005158,0.005248,5910925.2398,31938.4273533423
1662076800,2022-09-02 00:00:00,FALCONS/USDT,0.005089,0.00554,0.00507,0.005347,7568146.8058,40080.3683695883
1661990400,2022-09-01 00:00:00,FALCONS/USDT,0.00512,0.0052,0.00493,0.005088,4099154.9403,20815.9745517917
1661904000,2022-08-31 00:00:00,FALCONS/USDT,0.005114,0.005285,0.005,0.005121,4155252.5265,21393.2579874629
1661817600,2022-08-30 00:00:00,FALCONS/USDT,0.005328,0.005499,0.005001,0.005111,6042509.2303,31670.8378842546
1661731200,2022-08-29 00:00:00,FALCONS/USDT,0.00535,0.005599,0.005127,0.005319,6497113.1074,34575.6782757559
1661644800,2022-08-28 00:00:00,FALCONS/USDT,0.005015,0.0061,0.004957,0.005345,15347606.2603,86459.3636113869
1661558400,2022-08-27 00:00:00,FALCONS/USDT,0.0053,0.005388,0.00493,0.005017,6257973.83840015,32325.140019749365
1661472000,2022-08-26 00:00:00,FALCONS/USDT,0.005639,0.005868,0.0053,0.0053,7548273.8662,42409.1812132709
1661385600,2022-08-25 00:00:00,FALCONS/USDT,0.00613,0.006516,0.005526,0.005642,13227982.7034,80672.5824864965
1661299200,2022-08-24 00:00:00,FALCONS/USDT,0.00754,0.00759,0.005314,0.006117,24792644.2404,158453.8536714876
1661212800,2022-08-23 00:00:00,FALCONS/USDT,0.007749,0.007749,0.007528,0.007537,6944169.2608,52622.8541818655
1661126400,2022-08-22 00:00:00,FALCONS/USDT,0.007166,0.007863,0.007125,0.007725,15034097.6438,114471.8989221398
