https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LPT,Volume USDT
1663459200,2022-09-18 00:00:00,LPT/USDT,9.6408,9.6408,9.5554,9.5618,9.91584395,94.990970552407
1663455600,2022-09-17 23:00:00,LPT/USDT,9.6065,9.6364,9.5907,9.6272,0.78068478,7.503865215041
1663452000,2022-09-17 22:00:00,LPT/USDT,9.5714,9.6108,9.5714,9.5906,14.71349154,141.074058765807
1663448400,2022-09-17 21:00:00,LPT/USDT,9.5486,9.5797,9.5398,9.5522,1.87366807,17.920559960179
1663444800,2022-09-17 20:00:00,LPT/USDT,9.5252,9.5522,9.5175,9.5522,1.2676,12.07584755
1663441200,2022-09-17 19:00:00,LPT/USDT,9.5707,9.5707,9.4998,9.5206,107.59419481,1025.681152903811
1663437600,2022-09-17 18:00:00,LPT/USDT,9.6136,9.6143,9.5599,9.5606,45.39404172,434.823812124801
1663434000,2022-09-17 17:00:00,LPT/USDT,9.685,9.6934,9.5897,9.6095,4.41869373,42.635432207184
1663430400,2022-09-17 16:00:00,LPT/USDT,9.6442,9.6808,9.6298,9.6708,1.64824083,15.911121327908
1663426800,2022-09-17 15:00:00,LPT/USDT,9.6101,9.6276,9.6075,9.6084,8.2194,79.00028643
1663423200,2022-09-17 14:00:00,LPT/USDT,9.5508,9.6483,9.5508,9.623,27.65605522,266.542538349592
1663419600,2022-09-17 13:00:00,LPT/USDT,9.5281,9.57,9.5179,9.5579,51.98637358,497.435551187598
1663416000,2022-09-17 12:00:00,LPT/USDT,9.4921,9.5107,9.47,9.5107,6.03684192,57.408574844352
1663412400,2022-09-17 11:00:00,LPT/USDT,9.4869,9.5154,9.4868,9.4891,153.7446,1459.91874511
1663408800,2022-09-17 10:00:00,LPT/USDT,9.528,9.528,9.4723,9.4836,123.7628,1178.32321986
1663405200,2022-09-17 09:00:00,LPT/USDT,9.5449,9.5449,9.5138,9.5252,0.9438,8.98791538
1663401600,2022-09-17 08:00:00,LPT/USDT,9.5456,9.5707,9.5312,9.5312,45.9172,438.38672255
1663398000,2022-09-17 07:00:00,LPT/USDT,9.5093,9.5411,9.5034,9.5384,67.66360592,644.898054103312
1663394400,2022-09-17 06:00:00,LPT/USDT,9.4993,9.5498,9.4873,9.5109,251.09433245,2394.80293097101
1663390800,2022-09-17 05:00:00,LPT/USDT,9.5308,9.5308,9.482,9.4974,3.0760173,29.23419828211
1663387200,2022-09-17 04:00:00,LPT/USDT,9.5393,9.5821,9.535,9.5492,6.0849,58.08459529
1663383600,2022-09-17 03:00:00,LPT/USDT,9.5305,9.5398,9.5106,9.5316,8.55701446,81.54499222103
1663380000,2022-09-17 02:00:00,LPT/USDT,9.5108,9.5158,9.4957,9.4964,1.2219,11.61591243
1663376400,2022-09-17 01:00:00,LPT/USDT,9.4454,9.5326,9.4454,9.5269,52.72127739,498.113681619626
1663372800,2022-09-17 00:00:00,LPT/USDT,9.3779,9.5442,9.3772,9.4444,215.20282958,2036.871177437134
1663369200,2022-09-16 23:00:00,LPT/USDT,9.3989,9.4205,9.3375,9.383,631.18433538,5919.462986683304
1663365600,2022-09-16 22:00:00,LPT/USDT,9.4237,9.4465,9.4002,9.42,79.70060497,750.841582464054
1663362000,2022-09-16 21:00:00,LPT/USDT,9.5725,9.5725,9.4202,9.4237,44.03412305,417.241157716996
1663358400,2022-09-16 20:00:00,LPT/USDT,9.5561,9.6059,9.5359,9.5665,51.78718347,495.596155217083
1663354800,2022-09-16 19:00:00,LPT/USDT,9.5607,9.5865,9.5418,9.5708,3.16818511,30.31752395452
1663351200,2022-09-16 18:00:00,LPT/USDT,9.5529,9.6105,9.4856,9.5679,74.93997065,715.247324901341
1663347600,2022-09-16 17:00:00,LPT/USDT,9.4953,9.6208,9.4194,9.5449,70.63213549,674.89263068005
1663344000,2022-09-16 16:00:00,LPT/USDT,9.6063,9.6063,9.3895,9.5293,127.82355388,1210.261248091866
1663340400,2022-09-16 15:00:00,LPT/USDT,9.5519,9.6455,9.5388,9.5927,11.83334096,113.794716324704
1663336800,2022-09-16 14:00:00,LPT/USDT,9.4306,9.6309,9.3936,9.5996,30.47227091,291.179160299196
1663333200,2022-09-16 13:00:00,LPT/USDT,9.5174,9.5537,9.3951,9.4108,71.43125137,677.590547586308
1663329600,2022-09-16 12:00:00,LPT/USDT,9.5896,9.5951,9.4942,9.5233,32.78575051,312.001959569901
1663326000,2022-09-16 11:00:00,LPT/USDT,9.5277,9.6007,9.5083,9.5905,742.34643075,7101.778506542191
1663322400,2022-09-16 10:00:00,LPT/USDT,9.3794,9.6517,9.3595,9.5243,123.7918,1177.0350062
1663318800,2022-09-16 09:00:00,LPT/USDT,9.2503,9.3922,9.2503,9.3803,20.57306557,192.215256392171
1663315200,2022-09-16 08:00:00,LPT/USDT,9.2995,9.3149,9.1776,9.2098,88.51739227,817.848926230352
1663311600,2022-09-16 07:00:00,LPT/USDT,9.3035,9.319,9.2856,9.3049,47.7164,443.92011056
1663308000,2022-09-16 06:00:00,LPT/USDT,9.2279,9.3229,9.2279,9.2815,113.06699238,1053.759301535876
1663304400,2022-09-16 05:00:00,LPT/USDT,9.2874,9.3198,9.2652,9.2652,91.0264,845.01278106
1663300800,2022-09-16 04:00:00,LPT/USDT,9.2872,9.3405,9.2629,9.3057,75.16917605,698.70129000137
1663297200,2022-09-16 03:00:00,LPT/USDT,9.2275,9.2768,9.2055,9.272,16.29688341,151.065943418213
1663293600,2022-09-16 02:00:00,LPT/USDT,9.2557,9.2776,9.107,9.2089,267.75706028,2467.570204265161
1663290000,2022-09-16 01:00:00,LPT/USDT,9.325,9.3437,9.2326,9.2785,215.52381363,2000.177425970333
1663286400,2022-09-16 00:00:00,LPT/USDT,9.3005,9.3405,9.1507,9.3263,213.03654071,1973.493335145126
1663282800,2022-09-15 23:00:00,LPT/USDT,9.3127,9.3297,9.2466,9.2804,431.47101927,4011.312356889652
1663279200,2022-09-15 22:00:00,LPT/USDT,9.4271,9.4271,9.2404,9.3056,147.42456801,1381.071715996106
1663275600,2022-09-15 21:00:00,LPT/USDT,9.4717,9.4717,9.3858,9.4331,21.05262786,198.892964945116
1663272000,2022-09-15 20:00:00,LPT/USDT,9.4574,9.5137,9.3991,9.4889,146.1214,1381.86508716
1663268400,2022-09-15 19:00:00,LPT/USDT,9.4666,9.9916,9.4202,9.4567,1007.15682547,9872.792687832082
1663264800,2022-09-15 18:00:00,LPT/USDT,9.4833,9.5459,9.464,9.464,10.8225,102.90853377
1663261200,2022-09-15 17:00:00,LPT/USDT,9.5296,9.5507,9.4941,9.4941,40.32188907,384.058920239649
1663257600,2022-09-15 16:00:00,LPT/USDT,9.4305,9.4996,9.3806,9.4852,28.40864378,267.864865201818
1663254000,2022-09-15 15:00:00,LPT/USDT,9.3371,9.4265,9.3095,9.4105,58.70918083,549.574450462757
1663250400,2022-09-15 14:00:00,LPT/USDT,9.691,9.715,9.3695,9.3996,520.07098772,4911.61473301147
1663246800,2022-09-15 13:00:00,LPT/USDT,9.6909,9.696,9.608,9.696,80.47415849,776.253012159637
1663243200,2022-09-15 12:00:00,LPT/USDT,9.6937,9.7208,9.6352,9.674,16.74192589,161.980333324213
1663239600,2022-09-15 11:00:00,LPT/USDT,9.6387,9.6968,9.6095,9.6738,968.25155583,9384.554518430882
1663236000,2022-09-15 10:00:00,LPT/USDT,9.7184,9.7593,9.6293,9.6524,36.23046237,349.860909073207
1663232400,2022-09-15 09:00:00,LPT/USDT,9.7578,9.7766,9.7002,9.7332,24.9986444,243.123033266943
1663228800,2022-09-15 08:00:00,LPT/USDT,9.8234,9.8461,9.71,9.7595,60.16746856,588.09318163063
1663225200,2022-09-15 07:00:00,LPT/USDT,9.7697,9.9789,9.7697,9.8608,43.06948704,426.500631135248
1663221600,2022-09-15 06:00:00,LPT/USDT,9.654,9.8376,9.4394,9.7415,389.84056131,3742.57402258707
1663218000,2022-09-15 05:00:00,LPT/USDT,9.5935,9.6708,9.5443,9.6393,39.33886449,378.976002807248
