https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NGL,Volume BTC
1663372800,2022-09-17 00:00:00,NGL/BTC,0.00001223,0.00001303,0.00001207,0.00001286,515.9727,0.006470016185
1663286400,2022-09-16 00:00:00,NGL/BTC,0.00001226,0.00001272,0.00001145,0.00001245,6150.2363,0.073973516057
1663200000,2022-09-15 00:00:00,NGL/BTC,0.00001162,0.00003196,0.00001162,0.00001249,17424.0874,0.282744624486
1663113600,2022-09-14 00:00:00,NGL/BTC,0.00001145,0.00001332,0.00001109,0.00001143,4105.7436,0.049075409249
1663027200,2022-09-13 00:00:00,NGL/BTC,0.00001052,0.0000117,0.00000983,0.0000117,2381.5732,0.026315742878
1662940800,2022-09-12 00:00:00,NGL/BTC,0.00001091,0.00001091,0.0000101,0.0000101,419.0493,0.004318290185
1662854400,2022-09-11 00:00:00,NGL/BTC,0.00001071,0.00001111,0.00001045,0.00001045,306.3781,0.003299794468
1662768000,2022-09-10 00:00:00,NGL/BTC,0.00001112,0.00001126,0.00001075,0.00001075,628.7954,0.006961805453
1662681600,2022-09-09 00:00:00,NGL/BTC,0.0000118,0.00001182,0.00001081,0.00001113,3157.5867,0.035445472987
1662595200,2022-09-08 00:00:00,NGL/BTC,0.00001194,0.00001215,0.0000119,0.0000119,169.8505,0.002039570252
1662508800,2022-09-07 00:00:00,NGL/BTC,0.00001241,0.00001246,0.00001172,0.00001198,2086.3531,0.025077788828
1662422400,2022-09-06 00:00:00,NGL/BTC,0.00001161,0.00001242,0.00001154,0.00001242,443.0125,0.005379131811
1662336000,2022-09-05 00:00:00,NGL/BTC,0.00001177,0.00001196,0.0000117,0.0000117,218.8818,0.002590738605
1662249600,2022-09-04 00:00:00,NGL/BTC,0.00001157,0.00001311,0.00001137,0.00001173,1589.2981,0.018578605795
1662163200,2022-09-03 00:00:00,NGL/BTC,0.0000113,0.00001184,0.0000113,0.00001174,936.3542,0.01089052839
1662076800,2022-09-02 00:00:00,NGL/BTC,0.00001128,0.00001162,0.00001102,0.00001152,1040.4833,0.011720727838
1661990400,2022-09-01 00:00:00,NGL/BTC,0.00001116,0.00001157,0.00001101,0.00001157,346.9925,0.003939059845
1661904000,2022-08-31 00:00:00,NGL/BTC,0.00001138,0.00001138,0.00001069,0.00001105,294.4964,0.003243863555
1661817600,2022-08-30 00:00:00,NGL/BTC,0.00001125,0.00001144,0.00001101,0.00001144,181.6199,0.002048055283
1661731200,2022-08-29 00:00:00,NGL/BTC,0.00001179,0.00001185,0.00001091,0.00001125,1259.3033,0.01416439922
1661644800,2022-08-28 00:00:00,NGL/BTC,0.00001129,0.00001175,0.00001115,0.00001175,168.6443,0.001929024711
1661558400,2022-08-27 00:00:00,NGL/BTC,0.00001109,0.00001145,0.00001105,0.00001124,114.7746,0.001282732119
1661472000,2022-08-26 00:00:00,NGL/BTC,0.00001108,0.00001162,0.00001099,0.00001109,2406.1335,0.027211398809
1661385600,2022-08-25 00:00:00,NGL/BTC,0.0000112,0.00001146,0.00001094,0.00001106,1974.3743,0.021650086549
1661299200,2022-08-24 00:00:00,NGL/BTC,0.00001163,0.00001174,0.00001094,0.00001115,839.666,0.009332428376
1661212800,2022-08-23 00:00:00,NGL/BTC,0.00001157,0.00001172,0.0000111,0.00001168,275.0323,0.003168860725
1661126400,2022-08-22 00:00:00,NGL/BTC,0.0000115,0.00001158,0.00001104,0.00001116,167.6822,0.001902529021
1661040000,2022-08-21 00:00:00,NGL/BTC,0.00001161,0.00001328,0.00001108,0.00001108,4903.016,0.05852396334
1660953600,2022-08-20 00:00:00,NGL/BTC,0.0000112,0.00001246,0.00001111,0.00001137,4553.7327,0.053666267534
1660867200,2022-08-19 00:00:00,NGL/BTC,0.0000105,0.00001136,0.0000105,0.00001131,3061.6493,0.033091056415
1660780800,2022-08-18 00:00:00,NGL/BTC,0.0000105,0.00001067,0.00000989,0.00001044,930.6723,0.009546183782
1660694400,2022-08-17 00:00:00,NGL/BTC,0.00001079,0.00001103,0.00001014,0.00001014,3317.3178,0.03465364444
1660608000,2022-08-16 00:00:00,NGL/BTC,0.00001121,0.0000114,0.00001085,0.00001085,3085.2163,0.034161777348
1660521600,2022-08-15 00:00:00,NGL/BTC,0.00001077,0.00001188,0.00001056,0.00001172,1927.8137,0.0214219007
1660435200,2022-08-14 00:00:00,NGL/BTC,0.00001054,0.00001193,0.00001038,0.00001089,7951.5131,0.089007841284
1660348800,2022-08-13 00:00:00,NGL/BTC,0.00001042,0.00001095,0.00001037,0.00001062,729.4546,0.007749177533
1660262400,2022-08-12 00:00:00,NGL/BTC,0.00001098,0.00001098,0.00001046,0.00001055,5142.8562,0.05446480605
1660176000,2022-08-11 00:00:00,NGL/BTC,0.00001095,0.00001119,0.00001032,0.00001098,5700.4232,0.060987532649
1660089600,2022-08-10 00:00:00,NGL/BTC,0.00001088,0.00001109,0.00001048,0.00001065,7164.1879,0.077517283894
1660003200,2022-08-09 00:00:00,NGL/BTC,0.00001088,0.00001164,0.00001065,0.00001076,10446.8673,0.114417032844
1659916800,2022-08-08 00:00:00,NGL/BTC,0.00001099,0.000011,0.00001044,0.00001074,3403.3799,0.036296999277
1659830400,2022-08-07 00:00:00,NGL/BTC,0.00001093,0.00001105,0.00001075,0.00001099,3673.8155,0.039780460679
1659744000,2022-08-06 00:00:00,NGL/BTC,0.00001085,0.00001099,0.00001061,0.00001091,5937.7655,0.064235429767
1659657600,2022-08-05 00:00:00,NGL/BTC,0.00001087,0.00001106,0.00001068,0.00001085,6926.7296,0.07504627657
1659571200,2022-08-04 00:00:00,NGL/BTC,0.00001141,0.00001153,0.00001051,0.00001091,4961.2923,0.054220450833
1659484800,2022-08-03 00:00:00,NGL/BTC,0.00001218,0.00001222,0.00001107,0.00001143,7030.3863,0.079947627227
1659398400,2022-08-02 00:00:00,NGL/BTC,0.00001246,0.00001282,0.00001218,0.00001218,4487.6889,0.056248067915
1659312000,2022-08-01 00:00:00,NGL/BTC,0.0000128,0.00001284,0.00001239,0.00001246,2392.3387,0.030167337565
1659225600,2022-07-31 00:00:00,NGL/BTC,0.00001328,0.00001332,0.00001255,0.00001276,8294.5797,0.107178837215
1659139200,2022-07-30 00:00:00,NGL/BTC,0.00001254,0.00001434,0.00001247,0.00001326,15465.8319,0.204892685853
1659052800,2022-07-29 00:00:00,NGL/BTC,0.00001135,0.0000126,0.00001135,0.0000126,5386.6551,0.064782043846
1658966400,2022-07-28 00:00:00,NGL/BTC,0.0000116,0.00001169,0.000011,0.00001106,2876.3884,0.032170291411
1658880000,2022-07-27 00:00:00,NGL/BTC,0.00001195,0.00001338,0.00001137,0.00001161,4914.7234,0.058370085583
1658793600,2022-07-26 00:00:00,NGL/BTC,0.00001166,0.00001233,0.00001138,0.00001188,4396.6163,0.051390887145
1658707200,2022-07-25 00:00:00,NGL/BTC,0.00001189,0.00001222,0.00001132,0.00001175,2110.2775,0.024849848985
1658620800,2022-07-24 00:00:00,NGL/BTC,0.00001029,0.00001338,0.00001029,0.00001193,18122.1419,0.212043542239
1658534400,2022-07-23 00:00:00,NGL/BTC,0.00001017,0.00001095,0.00001014,0.00001031,2921.6854,0.030208343728
