https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FET,Volume BTC
1663459200,2022-09-18 00:00:00,FET/BTC,0.000004388,0.000004407,0.000004358,0.000004358,8486.8313,0.0370935019338
1663372800,2022-09-17 00:00:00,FET/BTC,0.000004389,0.0000046,0.000004388,0.000004417,549424.6913,2.4502549283565
1663286400,2022-09-16 00:00:00,FET/BTC,0.000004654,0.000004656,0.000004391,0.000004398,502735.1339,2.2960715483604
1663200000,2022-09-15 00:00:00,FET/BTC,0.000004535,0.000005022,0.000004409,0.000004637,828441.9869,3.8728056126875
1663113600,2022-09-14 00:00:00,FET/BTC,0.000004259,0.0000049,0.000004163,0.000004534,1051679.5437,4.7501490580537
1663027200,2022-09-13 00:00:00,FET/BTC,0.000004075,0.000004315,0.000004005,0.00000425,921560.3229,3.8545298810148
1662940800,2022-09-12 00:00:00,FET/BTC,0.0000044,0.000004504,0.000004034,0.000004101,803410.1825,3.4575236059862
1662854400,2022-09-11 00:00:00,FET/BTC,0.00000462,0.000004669,0.000004377,0.000004402,264036.5627,1.1835236158334
1662768000,2022-09-10 00:00:00,FET/BTC,0.00000445,0.000005244,0.000004366,0.000004636,1037413.4084,4.8100129295902
1662681600,2022-09-09 00:00:00,FET/BTC,0.000004836,0.000004914,0.000004242,0.000004456,1669830.6887,7.4069602391454
1662595200,2022-09-08 00:00:00,FET/BTC,0.000005043,0.000005332,0.000004725,0.000004836,688310.6582,3.3749286919227
1662508800,2022-09-07 00:00:00,FET/BTC,0.000004127,0.000005452,0.000004068,0.000005044,2775979.5767,13.9358009288278
1662422400,2022-09-06 00:00:00,FET/BTC,0.000004149,0.000004204,0.000004032,0.000004115,385962.1646,1.5848213285493
1662336000,2022-09-05 00:00:00,FET/BTC,0.000004141,0.00000417,0.000004088,0.000004149,400483.2683,1.6583990204084
1662249600,2022-09-04 00:00:00,FET/BTC,0.000004164,0.00000418,0.000004075,0.000004141,464689.9671,1.9327331540687
1662163200,2022-09-03 00:00:00,FET/BTC,0.000004084,0.000004257,0.000004043,0.000004182,58555.6142,0.243725874901
