https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATH,Volume USDT
1663545600000.0,2022-09-19 00:00:00,MATH/USDT,0.1155,0.1155,0.1155,0.1155,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,MATH/USDT,0.1179,0.1193,0.1124,0.1155,41696.338008658,4815.92704
1663372800000.0,2022-09-17 00:00:00,MATH/USDT,0.117,0.1229,0.1161,0.1179,19898.05767599661,2345.981
1663286400000.0,2022-09-16 00:00:00,MATH/USDT,0.1169,0.1213,0.1153,0.117,60787.06136752137,7112.08618
1663200000000.0,2022-09-15 00:00:00,MATH/USDT,0.1184,0.12,0.1154,0.1169,14339.744225834045,1676.3161
1663113600000.0,2022-09-14 00:00:00,MATH/USDT,0.1184,0.1278,0.1184,0.1184,20053.315033783783,2374.3125
1663027200000.0,2022-09-13 00:00:00,MATH/USDT,0.1226,0.1259,0.116,0.1184,26079.823226351353,3087.85107
1662940800000.0,2022-09-12 00:00:00,MATH/USDT,0.1248,0.1253,0.1226,0.1226,115.08384991843393,14.10928
1662854400000.0,2022-09-11 00:00:00,MATH/USDT,0.1267,0.13,0.1246,0.1248,15369.056009615386,1918.05819
1662768000000.0,2022-09-10 00:00:00,MATH/USDT,0.1249,0.1335,0.1221,0.1267,83891.25714285714,10629.02228
1662681600000.0,2022-09-09 00:00:00,MATH/USDT,0.122,0.1327,0.1215,0.1249,120875.65132105685,15097.36885
1662595200000.0,2022-09-08 00:00:00,MATH/USDT,0.1276,0.1307,0.1188,0.122,59699.882295081974,7283.38564
1662508800000.0,2022-09-07 00:00:00,MATH/USDT,0.1306,0.135,0.1205,0.1276,52023.992084639496,6638.26139
1662422400000.0,2022-09-06 00:00:00,MATH/USDT,0.1234,0.1521,0.1203,0.1306,152455.07419601837,19910.63269
1662336000000.0,2022-09-05 00:00:00,MATH/USDT,0.1321,0.1334,0.121,0.1234,49777.15696920583,6142.50117
1662249600000.0,2022-09-04 00:00:00,MATH/USDT,0.1339,0.1341,0.1227,0.1321,48212.8781983346,6368.92121
1662163200000.0,2022-09-03 00:00:00,MATH/USDT,0.1341,0.169,0.127,0.1339,329303.46587005234,44093.73408
1662076800000.0,2022-09-02 00:00:00,MATH/USDT,0.123,0.1689,0.12,0.1341,233653.53571961223,31332.93914
1661990400000.0,2022-09-01 00:00:00,MATH/USDT,0.1224,0.1264,0.1181,0.123,176572.41642276425,21718.40722
1661904000000.0,2022-08-31 00:00:00,MATH/USDT,0.1187,0.1291,0.1182,0.1225,68600.04832653061,8403.50592
1661817600000.0,2022-08-30 00:00:00,MATH/USDT,0.1302,0.1443,0.1153,0.1187,314604.83799494524,37343.59427
1661731200000.0,2022-08-29 00:00:00,MATH/USDT,0.1154,0.1517,0.1137,0.1302,542625.378187404,70649.82424
1661644800000.0,2022-08-28 00:00:00,MATH/USDT,0.1242,0.129,0.1124,0.1154,103064.85545927209,11893.68432
1661558400000.0,2022-08-27 00:00:00,MATH/USDT,0.132,0.1411,0.1181,0.1242,153022.3258454106,19005.37287
1661472000000.0,2022-08-26 00:00:00,MATH/USDT,0.1413,0.1525,0.1307,0.132,153946.54689393938,20320.94419
1661385600000.0,2022-08-25 00:00:00,MATH/USDT,0.1532,0.1684,0.1371,0.1413,84600.47707006369,11954.04741
1661299200000.0,2022-08-24 00:00:00,MATH/USDT,0.148,0.1677,0.1468,0.1532,72018.15071801566,11033.18069
1661212800000.0,2022-08-23 00:00:00,MATH/USDT,0.1499,0.1566,0.13,0.148,87037.40371621621,12881.53575
1661126400000.0,2022-08-22 00:00:00,MATH/USDT,0.1498,0.1533,0.1485,0.1499,12314.17024683122,1845.89412
1661040000000.0,2022-08-21 00:00:00,MATH/USDT,0.1509,0.1543,0.1487,0.1498,12676.71622162884,1898.97209
1660953600000.0,2022-08-20 00:00:00,MATH/USDT,0.1518,0.1559,0.1495,0.1509,8838.891318754142,1333.7887
1660867200000.0,2022-08-19 00:00:00,MATH/USDT,0.1584,0.1658,0.149,0.1518,19151.220750988145,2907.15531
1660780800000.0,2022-08-18 00:00:00,MATH/USDT,0.1555,0.161,0.1531,0.1584,4255.881944444444,674.1317
1660694400000.0,2022-08-17 00:00:00,MATH/USDT,0.1606,0.169,0.1541,0.1555,33405.02720257235,5194.48173
1660608000000.0,2022-08-16 00:00:00,MATH/USDT,0.1648,0.1655,0.1584,0.1606,42596.43848069738,6840.98802
1660521600000.0,2022-08-15 00:00:00,MATH/USDT,0.1696,0.1699,0.1641,0.1648,7466.674575242718,1230.50797
1660435200000.0,2022-08-14 00:00:00,MATH/USDT,0.1705,0.1766,0.166,0.1696,19367.20795990566,3284.67847
1660348800000.0,2022-08-13 00:00:00,MATH/USDT,0.1695,0.1738,0.1687,0.1705,9659.749032258063,1646.98721
