https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HORD,Volume USDT
1663459200,2022-09-18 00:00:00,HORD/USDT,0.01855,0.01855,0.0181,0.01825,33457.0387,607.93026914
1663372800,2022-09-17 00:00:00,HORD/USDT,0.01754,0.01878,0.01712,0.01858,1319862.9473,23607.416680847
1663286400,2022-09-16 00:00:00,HORD/USDT,0.01758,0.01804,0.01672,0.01741,725748.3569,12731.734064438
1663200000,2022-09-15 00:00:00,HORD/USDT,0.01915,0.01915,0.01689,0.01765,910699.1552,16141.110387427
1663113600,2022-09-14 00:00:00,HORD/USDT,0.01723,0.02056,0.01675,0.0193,3564236.6139,67190.158928045
1663027200,2022-09-13 00:00:00,HORD/USDT,0.01707,0.01781,0.01677,0.0172,881647.9624,15395.447994294
1662940800,2022-09-12 00:00:00,HORD/USDT,0.01804,0.01837,0.017,0.01716,437391.4825,7744.22814165
1662854400,2022-09-11 00:00:00,HORD/USDT,0.01867,0.01893,0.01776,0.01804,374077.8696,6867.342236389
1662768000,2022-09-10 00:00:00,HORD/USDT,0.01871,0.01971,0.01783,0.01868,1293634.3788,23928.463261971
1662681600,2022-09-09 00:00:00,HORD/USDT,0.02056,0.02202,0.01812,0.01855,3961146.1778,79501.414347667
1662595200,2022-09-08 00:00:00,HORD/USDT,0.01733,0.02408,0.01722,0.02056,10433631.9283,211992.570934046
1662508800,2022-09-07 00:00:00,HORD/USDT,0.01615,0.01774,0.016,0.01733,933015.0764,15632.897922311
1662422400,2022-09-06 00:00:00,HORD/USDT,0.01733,0.01753,0.016,0.0163,874158.5086,14652.134551748
1662336000,2022-09-05 00:00:00,HORD/USDT,0.01824,0.01898,0.01657,0.01733,2045672.4691,36306.115472408
1662249600,2022-09-04 00:00:00,HORD/USDT,0.01675,0.0197,0.01667,0.01839,6984356.4378,129337.395506261
1662163200,2022-09-03 00:00:00,HORD/USDT,0.01668,0.01725,0.01604,0.01675,1081823.8406,18047.863890013
1662076800,2022-09-02 00:00:00,HORD/USDT,0.01702,0.01748,0.01618,0.01668,853406.4035,14338.234402773
1661990400,2022-09-01 00:00:00,HORD/USDT,0.01695,0.01775,0.0163,0.0172,1464068.9362,24552.102763159
1661904000,2022-08-31 00:00:00,HORD/USDT,0.01631,0.0193,0.01631,0.01696,6354472.1487,113799.443691147
1661817600,2022-08-30 00:00:00,HORD/USDT,0.01669,0.01738,0.01554,0.01631,5134340.6222,84194.911390436
1661731200,2022-08-29 00:00:00,HORD/USDT,0.01558,0.02249,0.01451,0.01669,24438656.7816,453212.182239986
1661644800,2022-08-28 00:00:00,HORD/USDT,0.01376,0.04485,0.0135,0.01558,49697758.51428465,1044383.8740753432362
1661558400,2022-08-27 00:00:00,HORD/USDT,0.01419,0.0142,0.01336,0.01376,265790.3166,3650.412558258
1661472000,2022-08-26 00:00:00,HORD/USDT,0.01447,0.01544,0.014,0.01433,1449657.1858,21394.341210455
1661385600,2022-08-25 00:00:00,HORD/USDT,0.01488,0.01542,0.01413,0.01447,1727754.7625,25529.185369351
1661299200,2022-08-24 00:00:00,HORD/USDT,0.01744,0.01865,0.01438,0.01488,10697343.8008,176985.047059794
1661212800,2022-08-23 00:00:00,HORD/USDT,0.0143,0.03763,0.01391,0.0176,27119031.33551251,571456.4381586211346
1661126400,2022-08-22 00:00:00,HORD/USDT,0.0137,0.01507,0.01366,0.0143,3349024.6646,48207.501068442
1661040000,2022-08-21 00:00:00,HORD/USDT,0.01292,0.01452,0.01286,0.01366,2817611.9945,38535.397847027
1660953600,2022-08-20 00:00:00,HORD/USDT,0.01246,0.01306,0.01231,0.0128,961209.0264,12097.600172223
1660867200,2022-08-19 00:00:00,HORD/USDT,0.01311,0.01419,0.01246,0.01246,4597858.0526,61765.664668018
1660780800,2022-08-18 00:00:00,HORD/USDT,0.01196,0.01458,0.01195,0.01311,6700422.4035,87633.859103175
1660694400,2022-08-17 00:00:00,HORD/USDT,0.01203,0.0122,0.01193,0.01196,819911.0988,9908.542954801
1660608000,2022-08-16 00:00:00,HORD/USDT,0.012,0.01221,0.01194,0.01203,95436.746,1157.816807092
1660521600,2022-08-15 00:00:00,HORD/USDT,0.01239,0.01276,0.01154,0.01194,1229484.4799,14901.246198876
1660435200,2022-08-14 00:00:00,HORD/USDT,0.01279,0.01305,0.0123,0.01239,565459.4651,7053.878735437
1660348800,2022-08-13 00:00:00,HORD/USDT,0.01312,0.01327,0.01245,0.0128,693885.7709,8805.120970414
1660262400,2022-08-12 00:00:00,HORD/USDT,0.01285,0.01328,0.01247,0.01327,556420.8706,7101.226710512
1660176000,2022-08-11 00:00:00,HORD/USDT,0.01303,0.01342,0.01269,0.01272,564729.1091,7344.785772518
1660089600,2022-08-10 00:00:00,HORD/USDT,0.01251,0.01342,0.01232,0.0132,2122241.864,27689.56687524
1660003200,2022-08-09 00:00:00,HORD/USDT,0.01328,0.01369,0.01235,0.01251,2604696.1369,34048.75710568
1659916800,2022-08-08 00:00:00,HORD/USDT,0.01287,0.01391,0.01256,0.01347,1127046.4271,14928.0370786
1659830400,2022-08-07 00:00:00,HORD/USDT,0.01242,0.01318,0.01225,0.01287,985666.1819,12612.486682213
1659744000,2022-08-06 00:00:00,HORD/USDT,0.01266,0.0128,0.01214,0.01241,505864.3083,6265.062937302
1659657600,2022-08-05 00:00:00,HORD/USDT,0.01277,0.01335,0.01201,0.01266,2048830.8331,26214.87829105
1659571200,2022-08-04 00:00:00,HORD/USDT,0.01438,0.01469,0.01232,0.01277,3391633.5173,45086.250834393
1659484800,2022-08-03 00:00:00,HORD/USDT,0.01133,0.0227,0.01133,0.01439,24062012.2996,369997.72205378
1659398400,2022-08-02 00:00:00,HORD/USDT,0.01106,0.01158,0.01085,0.01143,265740.8914,2976.818046683
1659312000,2022-08-01 00:00:00,HORD/USDT,0.01176,0.01197,0.01074,0.01106,872878.4006,9758.873185717
1659225600,2022-07-31 00:00:00,HORD/USDT,0.01218,0.01271,0.01162,0.01162,1223275.3251,14840.418765336
1659139200,2022-07-30 00:00:00,HORD/USDT,0.01242,0.01385,0.01218,0.0122,2246964.5903,28755.912806951
