https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DCR,Volume BTC
1663459200,2022-09-18 00:00:00,DCR/BTC,0.00132919,0.00133334,0.00132205,0.001327,11.7566,0.015593168347
1663372800,2022-09-17 00:00:00,DCR/BTC,0.00130366,0.00135292,0.00128001,0.00131978,1453.7924,1.908755182717
1663286400,2022-09-16 00:00:00,DCR/BTC,0.00132613,0.0013287,0.00128813,0.00130121,257.2759,0.338072690454
1663200000,2022-09-15 00:00:00,DCR/BTC,0.00136682,0.00137641,0.00132613,0.00133333,268.647,0.361510314647
1663113600,2022-09-14 00:00:00,DCR/BTC,0.00138035,0.0014,0.00134064,0.0013745,566.699,0.783582126602
1663027200,2022-09-13 00:00:00,DCR/BTC,0.00129109,0.00138099,0.00127358,0.00137477,674.692,0.898473529107
1662940800,2022-09-12 00:00:00,DCR/BTC,0.00137641,0.00138174,0.00128304,0.0012929,644.0735,0.864015566158
1662854400,2022-09-11 00:00:00,DCR/BTC,0.00138482,0.00140207,0.00137362,0.00137754,526.9752,0.734631805831
1662768000,2022-09-10 00:00:00,DCR/BTC,0.00140565,0.00142927,0.00138413,0.00138873,751.5998,1.057612738721
1662681600,2022-09-09 00:00:00,DCR/BTC,0.0014844,0.00150147,0.00139829,0.00140208,617.3769,0.89773440309
1662595200,2022-09-08 00:00:00,DCR/BTC,0.00148637,0.00156244,0.00146486,0.00148627,2403.4541,3.594048544543
1662508800,2022-09-07 00:00:00,DCR/BTC,0.00148958,0.0014987,0.00146262,0.00148858,760.103,1.131777508202
1662422400,2022-09-06 00:00:00,DCR/BTC,0.00148552,0.00150398,0.00145,0.00148758,1727.8694,2.562348763867
1662336000,2022-09-05 00:00:00,DCR/BTC,0.00152609,0.00153925,0.00146861,0.00148376,364.8989,0.542998978728
1662249600,2022-09-04 00:00:00,DCR/BTC,0.00154636,0.001555,0.00148,0.00153154,1296.7837,1.99186182993
1662163200,2022-09-03 00:00:00,DCR/BTC,0.001525,0.00156117,0.0015089,0.00154635,118.0494,0.181201022516
1662076800,2022-09-02 00:00:00,DCR/BTC,0.00147978,0.00164478,0.0014776,0.001525,1680.0788,2.633915565508
1661990400,2022-09-01 00:00:00,DCR/BTC,0.00141756,0.00172598,0.00138375,0.00147077,2764.3314,4.164267364325
1661904000,2022-08-31 00:00:00,DCR/BTC,0.00142069,0.00144299,0.00141,0.00141394,479.5442,0.687531942163
1661817600,2022-08-30 00:00:00,DCR/BTC,0.0014157,0.00144299,0.00140749,0.00142222,969.1333,1.383296549635
1661731200,2022-08-29 00:00:00,DCR/BTC,0.0014177,0.00145905,0.00138981,0.00141505,812.3472,1.169574963373
1661644800,2022-08-28 00:00:00,DCR/BTC,0.00138942,0.00148758,0.00138287,0.0014177,1193.7296,1.705227251633
1661558400,2022-08-27 00:00:00,DCR/BTC,0.001435,0.00146216,0.00136987,0.00138943,396.5543,0.563788020512
1661472000,2022-08-26 00:00:00,DCR/BTC,0.00157472,0.00164707,0.00139909,0.00143583,1709.5118,2.54747959791
1661385600,2022-08-25 00:00:00,DCR/BTC,0.00148506,0.00171058,0.00141671,0.00155101,4940.7272,7.746753095363
1661299200,2022-08-24 00:00:00,DCR/BTC,0.00134381,0.00171058,0.00133583,0.00148637,1966.3929,2.870164198488
1661212800,2022-08-23 00:00:00,DCR/BTC,0.00134028,0.00135879,0.00132385,0.00134381,652.2706,0.874560653494
1661126400,2022-08-22 00:00:00,DCR/BTC,0.00136678,0.00137051,0.00129789,0.001337,171.2152,0.227613825716
1661040000,2022-08-21 00:00:00,DCR/BTC,0.00134306,0.00154236,0.00133846,0.00136688,853.6813,1.218959659244
1660953600,2022-08-20 00:00:00,DCR/BTC,0.00132928,0.00148129,0.00130807,0.00134941,1623.1188,2.202111103749
1660867200,2022-08-19 00:00:00,DCR/BTC,0.00131461,0.00133949,0.00125979,0.00132927,1306.0066,1.704705635003
1660780800,2022-08-18 00:00:00,DCR/BTC,0.00137989,0.0013939,0.00130953,0.00131461,345.4739,0.465106238831
1660694400,2022-08-17 00:00:00,DCR/BTC,0.00138275,0.00172632,0.00135922,0.00137476,1699.6434,2.485511789576
1660608000,2022-08-16 00:00:00,DCR/BTC,0.00135396,0.00138659,0.00130951,0.00138375,820.9372,1.121724156775
1660521600,2022-08-15 00:00:00,DCR/BTC,0.00139653,0.00141584,0.00134651,0.00135315,369.0768,0.507735132141
1660435200,2022-08-14 00:00:00,DCR/BTC,0.00146861,0.00147866,0.00138877,0.00139655,347.0932,0.502192397093
1660348800,2022-08-13 00:00:00,DCR/BTC,0.0014508,0.001582,0.00142072,0.00146861,1370.1587,2.027989913472
