https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BCH/USDT,111.8,112.375,111.575,111.7,664.4906130259624,74223.601475
1663459200000.0,2022-09-18 00:00:00,BCH/USDT,122.2,122.4,110.725,111.8,19201.919546958856,2146774.60535
1663372800000.0,2022-09-17 00:00:00,BCH/USDT,119.6,123.525,119.325,122.2,4815.881573036007,588500.728225
1663286400000.0,2022-09-16 00:00:00,BCH/USDT,117.625,120.925,116.125,119.6,10113.85470505853,1209617.022725
1663200000000.0,2022-09-15 00:00:00,BCH/USDT,120.05,123.05,116.05,117.625,25018.033232731137,2942746.159
1663113600000.0,2022-09-14 00:00:00,BCH/USDT,117.525,120.75,116.075,120.05,9281.374490837152,1114229.007625
1663027200000.0,2022-09-13 00:00:00,BCH/USDT,128.875,133.75,115.975,117.525,34205.73231078494,4020028.689825
1662940800000.0,2022-09-12 00:00:00,BCH/USDT,130.275,132.9,126.375,128.875,21930.818898351117,2826334.285525
1662854400000.0,2022-09-11 00:00:00,BCH/USDT,132.55,133.25,127.475,130.275,9273.576539052005,1208115.183625
1662768000000.0,2022-09-10 00:00:00,BCH/USDT,132.775,134.975,130.475,132.55,10194.234884006035,1351245.833875
1662681600000.0,2022-09-09 00:00:00,BCH/USDT,126.7,138.75,126.125,132.775,31146.499801167385,4135476.5111
1662595200000.0,2022-09-08 00:00:00,BCH/USDT,118.75,130.625,115.95,126.7,74222.30265489344,9403965.746375
1662508800000.0,2022-09-07 00:00:00,BCH/USDT,112.125,119.475,110.225,118.75,26826.813001684208,3185684.04395
1662422400000.0,2022-09-06 00:00:00,BCH/USDT,125.675,127.975,111.65,112.125,51620.7450245262,5787976.035875
1662336000000.0,2022-09-05 00:00:00,BCH/USDT,118.4,126.425,117.125,125.675,26905.7180370002,3381376.1143
1662249600000.0,2022-09-04 00:00:00,BCH/USDT,117.775,118.4,115.875,118.4,7762.832257390202,919119.339275
1662163200000.0,2022-09-03 00:00:00,BCH/USDT,116.5,119.3,115.925,117.775,6523.521855020165,768307.786475
1662076800000.0,2022-09-02 00:00:00,BCH/USDT,116.7,120.4,114.8,116.5,19861.50314935622,2313865.1169
1661990400000.0,2022-09-01 00:00:00,BCH/USDT,115.125,117.2,112.925,116.7,5743.686781705226,670288.247425
1661904000000.0,2022-08-31 00:00:00,BCH/USDT,114.625,117.925,114.325,115.125,4377.1064820846905,503914.38375
1661817600000.0,2022-08-30 00:00:00,BCH/USDT,119.575,120.65,111.925,114.625,12091.316680261723,1385967.174475
1661731200000.0,2022-08-29 00:00:00,BCH/USDT,112.6,119.95,110.875,119.575,24294.788464352914,2905049.330625
1661644800000.0,2022-08-28 00:00:00,BCH/USDT,115.3,121.3,111.725,112.6,16013.989875666075,1803175.26
1661558400000.0,2022-08-27 00:00:00,BCH/USDT,116.1,118.5,113.325,115.3,20358.44924869905,2347329.198375
1661472000000.0,2022-08-26 00:00:00,BCH/USDT,130.675,130.675,114.825,116.1,36550.19237209303,4243477.3344
1661385600000.0,2022-08-25 00:00:00,BCH/USDT,130.425,132.875,128.475,130.675,25261.141569925385,3300999.67465
1661299200000.0,2022-08-24 00:00:00,BCH/USDT,133.4,138.75,130.425,130.425,23313.679653632353,3040686.668825
1661212800000.0,2022-08-23 00:00:00,BCH/USDT,122.675,135.825,120.125,133.4,13283.640933845576,1772037.700575
1661126400000.0,2022-08-22 00:00:00,BCH/USDT,119.775,123.275,113.475,122.675,4953.8385337273285,607712.142125
1661040000000.0,2022-08-21 00:00:00,BCH/USDT,114.675,120.575,114.325,119.775,5982.542204967647,716558.9926
