https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REAP,Volume USDT
1663462800,2022-09-18 01:00:00,REAP/USDT,0.017283,0.017299,0.017174,0.017284,3488.6333,60.089533784
1663459200,2022-09-18 00:00:00,REAP/USDT,0.017056,0.017321,0.017,0.017184,68939.5391,1177.4253020585
1663455600,2022-09-17 23:00:00,REAP/USDT,0.017303,0.017321,0.01701,0.017095,47655.8191,817.8247568123
1663452000,2022-09-17 22:00:00,REAP/USDT,0.017234,0.01732,0.017053,0.017306,101895.5109,1761.1508745985
1663448400,2022-09-17 21:00:00,REAP/USDT,0.01719,0.01732,0.017,0.017189,52819.6566,905.2827463111
1663444800,2022-09-17 20:00:00,REAP/USDT,0.017316,0.017319,0.016895,0.017175,62157.927,1068.8652778964
1663441200,2022-09-17 19:00:00,REAP/USDT,0.017301,0.017319,0.016991,0.017315,66587.1561,1149.0108838387
1663437600,2022-09-17 18:00:00,REAP/USDT,0.01695,0.0173,0.016904,0.0173,48183.4004,824.9548211077
1663434000,2022-09-17 17:00:00,REAP/USDT,0.017357,0.017421,0.016772,0.016936,137143.0382,2330.3457649104
1663430400,2022-09-17 16:00:00,REAP/USDT,0.01751,0.017704,0.016636,0.017346,404995.4433,6901.7687178349
1663426800,2022-09-17 15:00:00,REAP/USDT,0.018392,0.019298,0.0174,0.017592,505320.4258,9140.7614478885
1663423200,2022-09-17 14:00:00,REAP/USDT,0.01812,0.018785,0.01805,0.018382,1410759.7921,25941.3006396891
1663419600,2022-09-17 13:00:00,REAP/USDT,0.018237,0.018288,0.018049,0.01815,85145.3367,1540.1224842181
1663416000,2022-09-17 12:00:00,REAP/USDT,0.018083,0.018347,0.017855,0.01825,193101.0952,3481.3418242038
1663412400,2022-09-17 11:00:00,REAP/USDT,0.018218,0.018602,0.018,0.018157,129880.0002,2369.6440654458
1663408800,2022-09-17 10:00:00,REAP/USDT,0.018171,0.019599,0.018101,0.018265,430176.4479,8113.5833501223
1663405200,2022-09-17 09:00:00,REAP/USDT,0.018405,0.019698,0.017901,0.018072,387669.3433,7206.880671801
1663401600,2022-09-17 08:00:00,REAP/USDT,0.018299,0.02212,0.018103,0.0184,1469848.5961,29393.9372127192
1663398000,2022-09-17 07:00:00,REAP/USDT,0.01999,0.0202,0.01705,0.018365,761399.645,14144.579911924
1663394400,2022-09-17 06:00:00,REAP/USDT,0.016746,0.01999,0.0163,0.01999,1302816.0498,22910.9177955204
