https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NMR,Volume BTC
1659225600,2022-07-31 00:00:00,NMR/BTC,0.00076103,0.00076103,0.00076103,0.00076103,0.00177283,2.32951409
1659088800,2022-07-29 10:00:00,NMR/BTC,0.00076804,0.00076804,0.00076804,0.00076804,0.00115127,1.49897627
1659058200,2022-07-29 01:30:00,NMR/BTC,0.00080606,0.00080606,0.00080606,0.00080606,0.00342109,4.244217
1659056400,2022-07-29 01:00:00,NMR/BTC,0.0007373,0.00073821,0.0007373,0.00073821,0.00522612,7.08801931
1659038400,2022-07-28 20:00:00,NMR/BTC,0.00074,0.00074,0.00074,0.00074,0.00014598,0.19727028
1658979000,2022-07-28 03:30:00,NMR/BTC,0.00072373,0.00072373,0.00072373,0.00072373,0.00024177,0.33407085
1658975400,2022-07-28 02:30:00,NMR/BTC,0.0007247,0.0007247,0.00072373,0.00072373,0.00197179,2.72382753
1658970000,2022-07-28 01:00:00,NMR/BTC,0.00073305,0.00073305,0.00073305,0.00073305,0.000101,0.13778051
1658966400,2022-07-28 00:00:00,NMR/BTC,0.00074411,0.00074411,0.00073305,0.00073305,0.00143967,1.9618947
1658944800,2022-07-27 18:00:00,NMR/BTC,0.00074411,0.00074411,0.00074411,0.00074411,0.00179513,2.4124577
1658939400,2022-07-27 16:30:00,NMR/BTC,0.00075,0.00075,0.00074411,0.00074411,0.00357824,4.78247982
1658935800,2022-07-27 15:30:00,NMR/BTC,0.00075879,0.00075879,0.00075879,0.00075879,0.00081625,1.07573429
1658928600,2022-07-27 13:30:00,NMR/BTC,0.00075878,0.00075878,0.00075878,0.00075878,0.00017736,0.23375488
1658923200,2022-07-27 12:00:00,NMR/BTC,0.00076003,0.00076003,0.00075878,0.00075878,0.00207612,2.73368898
1658916000,2022-07-27 10:00:00,NMR/BTC,0.00077466,0.00077466,0.00077466,0.00077466,0.00114938,1.48372193
1658878200,2022-07-26 23:30:00,NMR/BTC,0.00075878,0.00075878,0.00075878,0.00075878,0.00055445,0.73071429
1658876400,2022-07-26 23:00:00,NMR/BTC,0.00076816,0.00076816,0.00076816,0.00076816,0.00020957,0.27283017
1658872800,2022-07-26 22:00:00,NMR/BTC,0.00076816,0.00076816,0.00076816,0.00076816,0.00513141,6.68013413
1658871000,2022-07-26 21:30:00,NMR/BTC,0.00076816,0.00076816,0.00076816,0.00076816,0.00275763,3.58992136
1658824200,2022-07-26 08:30:00,NMR/BTC,0.00081069,0.00081069,0.00079901,0.00079901,0.002474,3.08041658
1658822400,2022-07-26 08:00:00,NMR/BTC,0.00081701,0.00081701,0.00081701,0.00081701,0.00033344,0.40813407
1658820600,2022-07-26 07:30:00,NMR/BTC,0.00081985,0.00081985,0.00081985,0.00081985,0.00022985,0.28036445
1658818800,2022-07-26 07:00:00,NMR/BTC,0.00082164,0.00082164,0.00082164,0.00082164,0.00516248,6.28314532
1658817000,2022-07-26 06:30:00,NMR/BTC,0.00085771,0.00085771,0.00085771,0.00085771,0.000101,0.11775542
1658809800,2022-07-26 04:30:00,NMR/BTC,0.00085771,0.00085771,0.00085771,0.00085771,0.00128488,1.49804712
1658808000,2022-07-26 04:00:00,NMR/BTC,0.00086094,0.00086094,0.00086094,0.00086094,0.00012213,0.14186097
1658806200,2022-07-26 03:30:00,NMR/BTC,0.00087236,0.00087236,0.00087236,0.00087236,0.00022462,0.2574862
1658802600,2022-07-26 02:30:00,NMR/BTC,0.00090582,0.00090582,0.00090582,0.00090582,0.02248655,24.82453201
