https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume ETH
1663459200,2022-09-18 00:00:00,MKR/ETH,0.4682,0.4682,0.4682,0.4682,0.0007,0.00032774
1663372800,2022-09-17 00:00:00,MKR/ETH,0.4695,0.4703,0.464,0.4677,0.135,0.06299791
1663286400,2022-09-16 00:00:00,MKR/ETH,0.4477,0.4661,0.4477,0.4661,2.5558,1.17755117
1663200000,2022-09-15 00:00:00,MKR/ETH,0.4266,0.4538,0.4266,0.4506,4.7198,2.06549852
1663113600,2022-09-14 00:00:00,MKR/ETH,0.442,0.4448,0.4285,0.4285,26.7485,11.70849012
1663027200,2022-09-13 00:00:00,MKR/ETH,0.4306,0.4485,0.4225,0.4404,5.2557,2.26806355
1662940800,2022-09-12 00:00:00,MKR/ETH,0.4261,0.4346,0.4232,0.4298,6.2954,2.68542902
1662854400,2022-09-11 00:00:00,MKR/ETH,0.4326,0.4378,0.426,0.4263,6.5979,2.84965995
1662768000,2022-09-10 00:00:00,MKR/ETH,0.4526,0.453,0.4311,0.4325,3.3443,1.46453669
1662681600,2022-09-09 00:00:00,MKR/ETH,0.4498,0.4598,0.4404,0.4503,10.4569,4.70521983
1662595200,2022-09-08 00:00:00,MKR/ETH,0.4553,0.4568,0.442,0.4438,3.4967,1.56514422
1662508800,2022-09-07 00:00:00,MKR/ETH,0.4628,0.4778,0.4489,0.4533,11.3792,5.32119938
1662422400,2022-09-06 00:00:00,MKR/ETH,0.4577,0.4756,0.4448,0.4667,19.6728,9.15411656
1662336000,2022-09-05 00:00:00,MKR/ETH,0.4758,0.4792,0.4556,0.456,1.3374,0.62102159
1662249600,2022-09-04 00:00:00,MKR/ETH,0.4754,0.4822,0.4722,0.4741,0.516,0.24671644
1662163200,2022-09-03 00:00:00,MKR/ETH,0.4752,0.4805,0.472,0.4787,0.5784,0.27520404
1662076800,2022-09-02 00:00:00,MKR/ETH,0.4782,0.4825,0.47,0.4758,1.4337,0.68242521
1661990400,2022-09-01 00:00:00,MKR/ETH,0.4916,0.4926,0.4759,0.4779,4.3959,2.14110318
1661904000,2022-08-31 00:00:00,MKR/ETH,0.513,0.513,0.4932,0.4932,1.0157,0.50624319
1661817600,2022-08-30 00:00:00,MKR/ETH,0.5234,0.5286,0.5067,0.5131,4.2751,2.22727579
1661731200,2022-08-29 00:00:00,MKR/ETH,0.513,0.5286,0.5125,0.5208,5.9822,3.14651789
1661644800,2022-08-28 00:00:00,MKR/ETH,0.513,0.5243,0.5052,0.5156,3.975,2.05938452
1661558400,2022-08-27 00:00:00,MKR/ETH,0.5052,0.5222,0.5034,0.5156,12.9922,6.71703367
1661472000,2022-08-26 00:00:00,MKR/ETH,0.5008,0.5156,0.493,0.5025,4.1074,2.10149624
1661385600,2022-08-25 00:00:00,MKR/ETH,0.5142,0.518,0.4914,0.4995,0.9985,0.50953143
1661299200,2022-08-24 00:00:00,MKR/ETH,0.5179,0.5237,0.5115,0.5159,3.796,1.98258533
