https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CARD,Volume USDT
1663459200,2022-09-18 00:00:00,CARD/USDT,0.001809,0.001853,0.001809,0.001836,911328.2513,1681.3326020039
1663372800,2022-09-17 00:00:00,CARD/USDT,0.00186,0.001977,0.001769,0.001793,11202110.8877,20947.5881223647
1663286400,2022-09-16 00:00:00,CARD/USDT,0.001928,0.002049,0.001806,0.001861,16444697.4035,31705.7479015381
1663200000,2022-09-15 00:00:00,CARD/USDT,0.002111,0.002168,0.001928,0.001928,5299524.7423,10664.2137511748
1663113600,2022-09-14 00:00:00,CARD/USDT,0.002008,0.002226,0.001999,0.002096,26044899.3218,54765.5307320153
1663027200,2022-09-13 00:00:00,CARD/USDT,0.002064,0.0032,0.001979,0.002023,138867391.51631912,329354.4228735804781
1662940800,2022-09-12 00:00:00,CARD/USDT,0.001843,0.002192,0.00182,0.002064,50120398.6779,101933.8530213453
1662854400,2022-09-11 00:00:00,CARD/USDT,0.001876,0.001929,0.001841,0.001841,2575630.8623,4872.8806875335
1662768000,2022-09-10 00:00:00,CARD/USDT,0.00179,0.00189,0.001741,0.00189,7508132.5573,13484.4096404634
1662681600,2022-09-09 00:00:00,CARD/USDT,0.001776,0.001878,0.00177,0.00179,15445735.7941,28149.6552494303
1662595200,2022-09-08 00:00:00,CARD/USDT,0.001853,0.0019,0.001751,0.001779,23291469.5941,42320.6140569832
1662508800,2022-09-07 00:00:00,CARD/USDT,0.001707,0.00205,0.001611,0.001861,48576434.0682,87208.9623068779
1662422400,2022-09-06 00:00:00,CARD/USDT,0.001761,0.001844,0.001616,0.001716,18903166.785,33174.0763709185
1662336000,2022-09-05 00:00:00,CARD/USDT,0.001731,0.001786,0.001688,0.001752,18473976.0144,31886.1644353413
1662249600,2022-09-04 00:00:00,CARD/USDT,0.001685,0.001809,0.001657,0.001738,26361755.8782,45243.3098202945
1662163200,2022-09-03 00:00:00,CARD/USDT,0.001689,0.001732,0.00168,0.001688,15884146.0629,27011.8334665539
1662076800,2022-09-02 00:00:00,CARD/USDT,0.001756,0.001797,0.001685,0.001695,24691574.4594,42870.1944330953
