https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STC,Volume BTC
1663372800,2022-09-17 00:00:00,STC/BTC,0.0000001945,0.0000001985,0.0000001889,0.0000001942,2755729.1408,0.54076955430718
1663286400,2022-09-16 00:00:00,STC/BTC,0.0000001993,0.000000203,0.0000001953,0.0000001977,3487642.899,0.70481251042471
1663200000,2022-09-15 00:00:00,STC/BTC,0.0000001945,0.000000199,0.0000001943,0.0000001985,2889804.428,0.56964434283727
1663113600,2022-09-14 00:00:00,STC/BTC,0.0000001945,0.000000199,0.0000001911,0.0000001945,3212702.7085,0.62412148432975
1663027200,2022-09-13 00:00:00,STC/BTC,0.0000001842,0.0000001959,0.0000001815,0.0000001959,4812966.4978,0.87698734322102
1662940800,2022-09-12 00:00:00,STC/BTC,0.0000001868,0.0000001889,0.0000001785,0.000000183,3157171.3504,0.58335252878562
1662854400,2022-09-11 00:00:00,STC/BTC,0.0000001864,0.0000001906,0.000000186,0.000000188,3041220.7335,0.57179358788956
1662768000,2022-09-10 00:00:00,STC/BTC,0.0000001935,0.000000196,0.0000001851,0.0000001878,4638203.9539,0.88599200870759
1662681600,2022-09-09 00:00:00,STC/BTC,0.0000002091,0.0000002092,0.0000001907,0.0000001932,4524727.295,0.91233417501686
1662595200,2022-09-08 00:00:00,STC/BTC,0.0000002125,0.0000002137,0.0000002091,0.0000002091,3945988.4833,0.83233210756554
1662508800,2022-09-07 00:00:00,STC/BTC,0.0000002139,0.0000002235,0.0000002091,0.000000211,3425485.7185,0.73821001177259
1662422400,2022-09-06 00:00:00,STC/BTC,0.0000002107,0.0000002237,0.000000204,0.0000002111,5272482.7628,1.09219893177075
1662336000,2022-09-05 00:00:00,STC/BTC,0.0000002011,0.0000002321,0.0000002011,0.0000002107,4003740.3338,0.81188908736306
1662249600,2022-09-04 00:00:00,STC/BTC,0.0000002019,0.0000002065,0.0000002011,0.0000002011,5013564.2215,1.02876492409288
1662163200,2022-09-03 00:00:00,STC/BTC,0.0000002026,0.000000207,0.0000002015,0.0000002016,5632434.5283,1.15680269756311
1662076800,2022-09-02 00:00:00,STC/BTC,0.0000002007,0.0000002112,0.0000001953,0.0000002009,7787034.7253,1.56107678438449
1661990400,2022-09-01 00:00:00,STC/BTC,0.0000002026,0.0000002123,0.0000001999,0.0000002003,5202766.2385,1.06305945757861
1661904000,2022-08-31 00:00:00,STC/BTC,0.0000002012,0.0000002036,0.0000001969,0.0000002036,5531171.4279,1.10034491967861
1661817600,2022-08-30 00:00:00,STC/BTC,0.0000001977,0.0000002063,0.0000001971,0.0000002016,9834049.9071,1.95000409688678
1661731200,2022-08-29 00:00:00,STC/BTC,0.0000002095,0.0000002096,0.0000001985,0.0000001985,6505915.8539,1.35602384438044
1661644800,2022-08-28 00:00:00,STC/BTC,0.0000002054,0.0000002104,0.0000002054,0.000000209,8052936.4381,1.66540545930165
