https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZRX
1663545600000,2022-09-19 00:00:00,ZRX/BTC,1.374e-05,1.386e-05,1.371e-05,1.386e-05,0.0016802414797014,121.22954399
1663459200000,2022-09-18 00:00:00,ZRX/BTC,1.451e-05,1.455e-05,1.363e-05,1.372e-05,0.10607335944829961,7731.29442043
1663372800000,2022-09-17 00:00:00,ZRX/BTC,1.43e-05,1.458e-05,1.417e-05,1.449e-05,0.0783284717726028,5405.69163372
1663286400000,2022-09-16 00:00:00,ZRX/BTC,1.427e-05,1.447e-05,1.412e-05,1.431e-05,0.0792195679900053,5535.95862963
1663200000000,2022-09-15 00:00:00,ZRX/BTC,1.448e-05,1.459e-05,1.406e-05,1.427e-05,0.0890434989019268,6239.90882284
1663113600000,2022-09-14 00:00:00,ZRX/BTC,1.432e-05,1.466e-05,1.418e-05,1.451e-05,0.1310833886878697,9034.00335547
1663027200000,2022-09-13 00:00:00,ZRX/BTC,1.43e-05,1.483e-05,1.396e-05,1.434e-05,0.658145223320769,45895.76173785
1662940800000,2022-09-12 00:00:00,ZRX/BTC,1.437e-05,1.499e-05,1.415e-05,1.43e-05,0.214056228963291,14968.96706037
1662854400000,2022-09-11 00:00:00,ZRX/BTC,1.443e-05,1.475e-05,1.413e-05,1.438e-05,0.20471430981365818,14236.043797889999
1662768000000,2022-09-10 00:00:00,ZRX/BTC,1.468e-05,1.49e-05,1.428e-05,1.438e-05,0.2932937012846054,20395.94584733
1662681600000,2022-09-09 00:00:00,ZRX/BTC,1.57e-05,1.579e-05,1.447e-05,1.466e-05,0.5078183674019661,34639.7249251
1662595200000,2022-09-08 00:00:00,ZRX/BTC,1.471e-05,1.582e-05,1.461e-05,1.574e-05,0.6741589199705591,42830.93519508
1662508800000,2022-09-07 00:00:00,ZRX/BTC,1.45e-05,1.487e-05,1.422e-05,1.469e-05,0.0982890405975738,6690.88091202
1662422400000,2022-09-06 00:00:00,ZRX/BTC,1.509e-05,1.534e-05,1.441e-05,1.45e-05,0.6000525159909951,41382.93213731
