https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,NEAR/USDT,3.914,3.925,3.878,3.882,74.02506439979392,287.3653
1663459200000.0,2022-09-18 00:00:00,NEAR/USDT,4.385,4.412,3.819,3.914,31545.879586101175,123470.5727
1663372800000.0,2022-09-17 00:00:00,NEAR/USDT,4.207,4.39,4.207,4.386,17848.313543091655,78282.7032
1663286400000.0,2022-09-16 00:00:00,NEAR/USDT,4.187,4.247,4.095,4.207,14230.098550035655,59866.0246
1663200000000.0,2022-09-15 00:00:00,NEAR/USDT,4.51,4.522,4.134,4.187,130186.71172677334,545091.762
1663113600000.0,2022-09-14 00:00:00,NEAR/USDT,4.416,4.545,4.343,4.51,120464.68155210644,543295.7138
1663027200000.0,2022-09-13 00:00:00,NEAR/USDT,5.095,5.1,4.407,4.416,187760.8949275362,829152.112
1662940800000.0,2022-09-12 00:00:00,NEAR/USDT,4.897,5.279,4.71,5.095,123175.43044160944,627578.8181
1662854400000.0,2022-09-11 00:00:00,NEAR/USDT,4.812,5.04,4.629,4.897,58184.568205023475,284929.8305
1662768000000.0,2022-09-10 00:00:00,NEAR/USDT,4.81,4.904,4.653,4.812,34001.23443474647,163613.9401
1662681600000.0,2022-09-09 00:00:00,NEAR/USDT,4.691,4.897,4.618,4.81,76978.63380457381,370267.2286
1662595200000.0,2022-09-08 00:00:00,NEAR/USDT,4.377,4.713,4.375,4.691,197736.03617565552,927579.7457
1662508800000.0,2022-09-07 00:00:00,NEAR/USDT,4.071,4.429,4.033,4.375,41648.44217142857,182211.9345
1662422400000.0,2022-09-06 00:00:00,NEAR/USDT,4.231,4.537,3.969,4.071,90282.41849668387,367539.7257
1662336000000.0,2022-09-05 00:00:00,NEAR/USDT,4.238,4.28,4.118,4.231,9061.743039470573,38340.2348
1662249600000.0,2022-09-04 00:00:00,NEAR/USDT,4.169,4.245,4.093,4.238,9419.126168003773,39918.2567
1662163200000.0,2022-09-03 00:00:00,NEAR/USDT,4.179,4.213,4.124,4.169,7066.465291436796,29460.0938
1662076800000.0,2022-09-02 00:00:00,NEAR/USDT,4.345,4.387,4.117,4.179,26994.03062933716,112808.054
1661990400000.0,2022-09-01 00:00:00,NEAR/USDT,4.374,4.428,4.188,4.345,31690.656041426926,137695.9005
1661904000000.0,2022-08-31 00:00:00,NEAR/USDT,4.198,4.562,4.194,4.374,43436.99746227709,189993.4269
1661817600000.0,2022-08-30 00:00:00,NEAR/USDT,4.032,4.29,3.956,4.198,36247.37439256789,152166.4777
1661731200000.0,2022-08-29 00:00:00,NEAR/USDT,3.763,4.056,3.694,4.032,38508.703397817466,155267.0921
1661644800000.0,2022-08-28 00:00:00,NEAR/USDT,3.919,3.938,3.74,3.763,15769.72104703694,59341.4603
1661558400000.0,2022-08-27 00:00:00,NEAR/USDT,3.935,3.975,3.827,3.919,10396.876039806073,40745.3572
