https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SLCL,Volume USDT
1663459200,2022-09-18 00:00:00,SLCL/USDT,0.0535,0.0538,0.0535,0.0538,1699.5138,91.20499898
1663372800,2022-09-17 00:00:00,SLCL/USDT,0.0545,0.0546,0.0529,0.0535,120889.1657,6473.84599543
1663286400,2022-09-16 00:00:00,SLCL/USDT,0.0584,0.0584,0.0535,0.0543,626542.5689,35013.63359897
1663200000,2022-09-15 00:00:00,SLCL/USDT,0.059,0.0618,0.0574,0.0584,761510.1599,45510.50322124
1663113600,2022-09-14 00:00:00,SLCL/USDT,0.0575,0.0623,0.0559,0.059,2650968.9467,157192.37247267
1663027200,2022-09-13 00:00:00,SLCL/USDT,0.0532,0.0663,0.0525,0.0576,6718716.3869,399297.28624681
1662940800,2022-09-12 00:00:00,SLCL/USDT,0.0517,0.0535,0.0501,0.0535,390374.0567,20231.93234298
1662854400,2022-09-11 00:00:00,SLCL/USDT,0.0518,0.0532,0.0508,0.0516,278511.192,14461.33768547
1662768000,2022-09-10 00:00:00,SLCL/USDT,0.0527,0.0529,0.0515,0.0518,66778.2238,3471.71649168
1662681600,2022-09-09 00:00:00,SLCL/USDT,0.0532,0.0534,0.0519,0.0529,225689.8061,11889.94043768
1662595200,2022-09-08 00:00:00,SLCL/USDT,0.0527,0.0534,0.0521,0.0532,79684.6583,4194.14295479
1662508800,2022-09-07 00:00:00,SLCL/USDT,0.0531,0.056,0.0521,0.0527,397135.8894,21315.99656734
1662422400,2022-09-06 00:00:00,SLCL/USDT,0.0549,0.0554,0.0528,0.0531,301273.8299,16234.80308806
1662336000,2022-09-05 00:00:00,SLCL/USDT,0.0573,0.06,0.0543,0.0552,935220.5434,53728.85937072
1662249600,2022-09-04 00:00:00,SLCL/USDT,0.055,0.0585,0.0547,0.057,694330.7752,39614.66559037
1662163200,2022-09-03 00:00:00,SLCL/USDT,0.0553,0.0556,0.0548,0.055,22721.7601,1255.73185999
1662076800,2022-09-02 00:00:00,SLCL/USDT,0.0558,0.0575,0.0548,0.0556,134039.5924,7497.25334898
1661990400,2022-09-01 00:00:00,SLCL/USDT,0.0576,0.0577,0.0549,0.0555,116482.1964,6518.28562691
1661904000,2022-08-31 00:00:00,SLCL/USDT,0.0577,0.0587,0.0563,0.0576,148363.771,8520.32224796
1661817600,2022-08-30 00:00:00,SLCL/USDT,0.0628,0.0631,0.0569,0.0575,552913.7962,33130.18861491
1661731200,2022-08-29 00:00:00,SLCL/USDT,0.0593,0.066,0.058,0.0628,1378732.4971,85734.38741612
1661644800,2022-08-28 00:00:00,SLCL/USDT,0.0582,0.0621,0.0581,0.0593,354626.2266,21374.79583524
1661558400,2022-08-27 00:00:00,SLCL/USDT,0.0578,0.06,0.0578,0.0582,125743.6214,7433.21323293
