https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFUND,Volume USDT
1663459200,2022-09-18 00:00:00,SFUND/USDT,2.3574,2.3628,2.3263,2.3309,65283.2564,152905.81844554
1663372800,2022-09-17 00:00:00,SFUND/USDT,2.292,2.389,2.2876,2.3555,762731.4606,1778340.40799086
1663286400,2022-09-16 00:00:00,SFUND/USDT,2.2112,2.3996,2.2004,2.2925,695611.7813,1600928.68300912
1663200000,2022-09-15 00:00:00,SFUND/USDT,2.4108,2.435,2.1835,2.2055,782250.4801,1805628.14272791
1663113600,2022-09-14 00:00:00,SFUND/USDT,2.2232,2.4793,2.2225,2.3965,721253.3461,1713183.75232614
1663027200,2022-09-13 00:00:00,SFUND/USDT,2.4598,2.462,2.1647,2.2256,758762.1168,1755072.06141296
1662940800,2022-09-12 00:00:00,SFUND/USDT,2.64,2.6866,2.4331,2.4598,736753.1295,1863585.24497301
1662854400,2022-09-11 00:00:00,SFUND/USDT,2.8392,3.1598,2.5709,2.6498,683030.1763375,1906442.031103249182
1662768000,2022-09-10 00:00:00,SFUND/USDT,2.4555,2.85,2.4362,2.8324,647946.2171,1684395.55374268
1662681600,2022-09-09 00:00:00,SFUND/USDT,2.303,2.7499,2.2595,2.4555,734489.6063,1791902.04275057
1662595200,2022-09-08 00:00:00,SFUND/USDT,2.1006,2.3601,2.0629,2.3067,831177.5319,1745071.48185116
1662508800,2022-09-07 00:00:00,SFUND/USDT,2.0117,2.1533,1.98,2.1018,842334.2888,1679920.68225509
1662422400,2022-09-06 00:00:00,SFUND/USDT,2.0467,2.1618,2.0001,2.0041,837431.5995,1741920.63192614
1662336000,2022-09-05 00:00:00,SFUND/USDT,2.0279,2.0717,1.9919,2.0521,884390.5789,1780260.97958332
1662249600,2022-09-04 00:00:00,SFUND/USDT,2.0104,2.0543,1.9717,2.0271,848515.4775,1696832.66438229
1662163200,2022-09-03 00:00:00,SFUND/USDT,2.0062,2.0483,1.9749,2.0094,910962.4498,1821749.15260559
1662076800,2022-09-02 00:00:00,SFUND/USDT,2.0075,2.061,1.993,2.0097,896914.8857,1808946.63255064
1661990400,2022-09-01 00:00:00,SFUND/USDT,2.0297,2.102,1.9628,2.01,881779.6478,1783578.86240932
1661904000,2022-08-31 00:00:00,SFUND/USDT,2.0215,2.1291,2.0194,2.0384,416969.84307988,863581.76683126233
1661817600,2022-08-30 00:00:00,SFUND/USDT,1.9824,2.0639,1.913,2.0199,891891.45574606,1779661.782291852165
1661731200,2022-08-29 00:00:00,SFUND/USDT,1.9362,2.014,1.9001,1.9805,820902.58895467,1596434.572566959489
1661644800,2022-08-28 00:00:00,SFUND/USDT,1.9632,2.036,1.9241,1.942,929304.1089247,1820339.834163908054
1661558400,2022-08-27 00:00:00,SFUND/USDT,1.9493,2.0041,1.9248,1.962,894006.84533468,1754685.006244209769
1661472000,2022-08-26 00:00:00,SFUND/USDT,2.1428,2.1785,1.9331,1.9346,924288.90004388,1905269.103963697884
1661385600,2022-08-25 00:00:00,SFUND/USDT,2.1422,2.2215,2.1337,2.1526,845882.84157055,1828444.611247222813
1661299200,2022-08-24 00:00:00,SFUND/USDT,2.1683,2.1685,2.1195,2.1462,848787.83630822,1826909.25389122843
1661212800,2022-08-23 00:00:00,SFUND/USDT,2.183,2.2351,2.1025,2.1682,784182.03319827,1693362.003533831594
1661126400,2022-08-22 00:00:00,SFUND/USDT,2.1824,2.2104,2.1136,2.1798,803953.35850341,1748103.38797151702
1661040000,2022-08-21 00:00:00,SFUND/USDT,2.0568,2.1942,2.0535,2.1829,819238.68795953,1757107.742331105216
1660953600,2022-08-20 00:00:00,SFUND/USDT,2.0517,2.1556,2.0303,2.0576,825012.55096187,1716661.293827569601
1660867200,2022-08-19 00:00:00,SFUND/USDT,2.303,2.3075,2.0203,2.0475,804069.01085127,1691183.452522095619
1660780800,2022-08-18 00:00:00,SFUND/USDT,2.4925,2.5277,2.2701,2.3009,766509.31904621,1880742.226621221516
1660694400,2022-08-17 00:00:00,SFUND/USDT,2.6589,2.7419,2.4915,2.4926,723235.2496531,1866156.316836554082
1660608000,2022-08-16 00:00:00,SFUND/USDT,2.6784,2.7596,2.6205,2.6653,673403.12478621,1795314.908755864432
1660521600,2022-08-15 00:00:00,SFUND/USDT,2.6246,2.7631,2.6031,2.6776,655559.5632928,1747300.884885303539
1660435200,2022-08-14 00:00:00,SFUND/USDT,2.8521,2.9274,2.624,2.6269,686132.69800156,1946992.510312048963
1660348800,2022-08-13 00:00:00,SFUND/USDT,2.8569,2.9599,2.8227,2.8529,602440.35768047,1736944.375982816023
