https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XTZBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,XTZBEAR/USDT,1.5e-07,1.5e-07,1.4e-07,1.4e-07,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,XTZBEAR/USDT,1.3e-07,1.5e-07,1.3e-07,1.5e-07,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,XTZBEAR/USDT,1.3e-07,1.3e-07,1.3e-07,1.3e-07,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,XTZBEAR/USDT,1.3e-07,1.3e-07,1.3e-07,1.3e-07,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,XTZBEAR/USDT,1.3e-07,1.3e-07,1.3e-07,1.3e-07,15000000.0,1.95
1663113600000.0,2022-09-14 00:00:00,XTZBEAR/USDT,1.5e-07,1.5e-07,1.2e-07,1.3e-07,76461538.46153846,9.94
1663027200000.0,2022-09-13 00:00:00,XTZBEAR/USDT,1.1e-07,1.5e-07,1e-07,1.5e-07,99000000.0,14.85
1662940800000.0,2022-09-12 00:00:00,XTZBEAR/USDT,1e-07,1.1e-07,1e-07,1.1e-07,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,XTZBEAR/USDT,1.2e-07,1.2e-07,1e-07,1e-07,2000000.0000000002,0.2
1662768000000.0,2022-09-10 00:00:00,XTZBEAR/USDT,1.3e-07,1.3e-07,1.2e-07,1.2e-07,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,XTZBEAR/USDT,1.4e-07,1.4e-07,1.2e-07,1.3e-07,0.0,0.0
1662595200000.0,2022-09-08 00:00:00,XTZBEAR/USDT,1.6e-07,1.6e-07,1.4e-07,1.4e-07,0.0,0.0
1662508800000.0,2022-09-07 00:00:00,XTZBEAR/USDT,1.8e-07,1.9e-07,1.6e-07,1.6e-07,0.0,0.0
1662422400000.0,2022-09-06 00:00:00,XTZBEAR/USDT,1.6e-07,1.8e-07,1.5e-07,1.8e-07,0.0,0.0
1662336000000.0,2022-09-05 00:00:00,XTZBEAR/USDT,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0,0.0
1662249600000.0,2022-09-04 00:00:00,XTZBEAR/USDT,1.8e-07,1.8e-07,1.6e-07,1.6e-07,8000000.0,1.28
1662163200000.0,2022-09-03 00:00:00,XTZBEAR/USDT,1.9e-07,1.9e-07,1.8e-07,1.8e-07,0.0,0.0
1662076800000.0,2022-09-02 00:00:00,XTZBEAR/USDT,1.7e-07,1.9e-07,1.6e-07,1.9e-07,0.0,0.0
1661990400000.0,2022-09-01 00:00:00,XTZBEAR/USDT,1.8e-07,1.9e-07,1.7e-07,1.7e-07,0.0,0.0
1661904000000.0,2022-08-31 00:00:00,XTZBEAR/USDT,1.9e-07,1.9e-07,1.6e-07,1.8e-07,0.0,0.0
1661817600000.0,2022-08-30 00:00:00,XTZBEAR/USDT,1.8e-07,1.9e-07,1.7e-07,1.9e-07,0.0,0.0
1661731200000.0,2022-08-29 00:00:00,XTZBEAR/USDT,2e-07,2e-07,1.8e-07,1.8e-07,0.0,0.0
1661644800000.0,2022-08-28 00:00:00,XTZBEAR/USDT,1.9e-07,2e-07,1.9e-07,2e-07,0.0,0.0
1661558400000.0,2022-08-27 00:00:00,XTZBEAR/USDT,1.8e-07,2e-07,1.7e-07,1.9e-07,23999999.999999996,4.56
1661472000000.0,2022-08-26 00:00:00,XTZBEAR/USDT,1.5e-07,1.8e-07,1.5e-07,1.8e-07,0.0,0.0
1661385600000.0,2022-08-25 00:00:00,XTZBEAR/USDT,1.5e-07,1.5e-07,1.5e-07,1.5e-07,0.0,0.0
1661299200000.0,2022-08-24 00:00:00,XTZBEAR/USDT,1.5e-07,1.7e-07,1.5e-07,1.5e-07,0.0,0.0
1661212800000.0,2022-08-23 00:00:00,XTZBEAR/USDT,1.6e-07,1.9e-07,1.5e-07,1.5e-07,8533333.333333334,1.28
