https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KZT,Volume ETH
1663549200000,2022-09-19 01:00:00,ETH/KZT,678205.27,688824.64,655350.49,677511.71,225137.14123299997,0.3323
1663545600000,2022-09-19 00:00:00,ETH/KZT,681360.96,688859.99,653240.48,686589.36,675329.294496,0.9836
1663542000000,2022-09-18 23:00:00,ETH/KZT,675710.73,688632.37,644825.08,672748.18,677188.317988,1.0066
1663538400000,2022-09-18 22:00:00,ETH/KZT,670578.01,689127.66,654246.33,683098.36,692183.568188,1.0133
1663534800000,2022-09-18 21:00:00,ETH/KZT,681430.45,688736.94,652837.42,681481.53,573125.96673,0.841
1663531200000,2022-09-18 20:00:00,ETH/KZT,680966.21,688673.69,637377.02,663007.34,707561.4332479999,1.0672
1663527600000,2022-09-18 19:00:00,ETH/KZT,669467.92,689176.57,652879.12,673837.48,561104.469596,0.8327
1663524000000,2022-09-18 18:00:00,ETH/KZT,670698.57,687557.34,643501.75,658818.1,629368.93093,0.9553
1663520400000,2022-09-18 17:00:00,ETH/KZT,685171.04,689010.4,653025.61,676833.84,649015.969176,0.9589
1663516800000,2022-09-18 16:00:00,ETH/KZT,684814.0,688466.03,652891.29,674388.56,668049.307536,0.9906
1663513200000,2022-09-18 15:00:00,ETH/KZT,685655.57,689325.06,653039.49,653894.11,513437.655172,0.7852
1663509600000,2022-09-18 14:00:00,ETH/KZT,678867.42,688484.06,653721.6,686061.96,679201.3404,0.99
1663506000000,2022-09-18 13:00:00,ETH/KZT,657737.82,688305.75,653121.86,658191.28,562161.172248,0.8541
1663502400000,2022-09-18 12:00:00,ETH/KZT,685237.76,689330.89,653145.12,683909.19,620715.9808439999,0.9076
1663498800000,2022-09-18 11:00:00,ETH/KZT,684444.56,688173.83,653062.7,663401.51,632619.679936,0.9536
1663495200000,2022-09-18 10:00:00,ETH/KZT,682957.19,696694.25,650001.0,674831.95,743883.8391060114,1.10232457
1663491600000,2022-09-18 09:00:00,ETH/KZT,693711.25,696265.63,670686.94,693421.45,602444.55576,0.8688
1663488000000,2022-09-18 08:00:00,ETH/KZT,679865.9,699434.25,671223.11,693432.38,639899.4002639999,0.9228
1663484400000,2022-09-18 07:00:00,ETH/KZT,698951.1,700453.18,678855.87,681784.02,593015.740596,0.8698
1663480800000,2022-09-18 06:00:00,ETH/KZT,683014.51,699829.77,678889.03,680401.12,518805.854,0.7625
1663477200000,2022-09-18 05:00:00,ETH/KZT,687248.59,699736.62,678583.64,682327.89,625626.4423410001,0.9169
1663473600000,2022-09-18 04:00:00,ETH/KZT,695181.06,700485.83,678635.23,686119.57,583133.0225429999,0.8499
1663470000000,2022-09-18 03:00:00,ETH/KZT,686529.95,699221.75,678560.89,698620.88,671793.8382080001,0.9616
1663466400000,2022-09-18 02:00:00,ETH/KZT,696545.86,700200.13,678558.7,688904.24,605477.936536,0.8789
1663462800000,2022-09-18 01:00:00,ETH/KZT,679531.71,700407.27,678630.48,681760.84,663353.2973199999,0.973
1663459200000,2022-09-18 00:00:00,ETH/KZT,693742.51,699685.87,679064.08,692085.81,568825.327239,0.8219
1663455600000,2022-09-17 23:00:00,ETH/KZT,694800.48,700160.59,678574.71,692315.92,703600.669496,1.0163
1663452000000,2022-09-17 22:00:00,ETH/KZT,678599.77,700186.1,678599.77,680532.48,658211.014656,0.9672
