https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MNET,Volume USDT
1663459200,2022-09-18 00:00:00,MNET/USDT,0.001618,0.001618,0.001602,0.001603,13484.7018,21.6167407518
1663372800,2022-09-17 00:00:00,MNET/USDT,0.001597,0.001748,0.001596,0.001615,134718952.0851,222889.5476211638
1663286400,2022-09-16 00:00:00,MNET/USDT,0.00161,0.00162,0.001534,0.001587,175148765.856,277565.3309701397
1663200000,2022-09-15 00:00:00,MNET/USDT,0.00154,0.00218,0.0015,0.00161,293669012.31201723,483507.80576813474137
1663113600,2022-09-14 00:00:00,MNET/USDT,0.001567,0.001619,0.001504,0.00154,224207022.3953,350985.3189937715
1663027200,2022-09-13 00:00:00,MNET/USDT,0.001645,0.001723,0.001555,0.001567,185439226.4992,301731.7861122869
1662940800,2022-09-12 00:00:00,MNET/USDT,0.001747,0.001753,0.00161,0.001645,220566779.1977,369704.7907937498
1662854400,2022-09-11 00:00:00,MNET/USDT,0.001719,0.00181,0.001691,0.001747,212128198.3243,369559.688123826
1662768000,2022-09-10 00:00:00,MNET/USDT,0.001734,0.00177,0.001635,0.001719,156673815.1003,269719.2655029377
1662681600,2022-09-09 00:00:00,MNET/USDT,0.001734,0.001853,0.001732,0.001737,160207128.0279,284232.0592335548
1662595200,2022-09-08 00:00:00,MNET/USDT,0.001695,0.00185,0.001605,0.001735,154639964.7297,261366.0930187875
1662508800,2022-09-07 00:00:00,MNET/USDT,0.001607,0.00194,0.001553,0.001694,265908001.8306,439419.1046008565
1662422400,2022-09-06 00:00:00,MNET/USDT,0.001833,0.001839,0.001581,0.001607,214026411.482,367166.0127065225
1662336000,2022-09-05 00:00:00,MNET/USDT,0.001863,0.002075,0.001827,0.001833,225559254.8711,433463.1462205029
1662249600,2022-09-04 00:00:00,MNET/USDT,0.001665,0.00198,0.001602,0.001863,256823506.034,445551.9592015025
1662163200,2022-09-03 00:00:00,MNET/USDT,0.001606,0.001859,0.001537,0.001665,236389090.2923,385543.886278782
1662076800,2022-09-02 00:00:00,MNET/USDT,0.001654,0.001672,0.001581,0.001606,235632221.9518,382759.9589030825
1661990400,2022-09-01 00:00:00,MNET/USDT,0.001653,0.00176,0.001561,0.001654,205067567.6715,341109.3887015547
1661904000,2022-08-31 00:00:00,MNET/USDT,0.00174,0.00178,0.001623,0.001653,130666867.45525575,226102.67022023235624
1661817600,2022-08-30 00:00:00,MNET/USDT,0.001839,0.001855,0.001716,0.00174,208570037.68776979,370747.38622294900305
1661731200,2022-08-29 00:00:00,MNET/USDT,0.001794,0.001892,0.001725,0.001839,201771348.48620797,363013.70755596089676
1661644800,2022-08-28 00:00:00,MNET/USDT,0.001818,0.001954,0.00178,0.001794,212225475.15699722,386393.62278476992392
1661558400,2022-08-27 00:00:00,MNET/USDT,0.001887,0.001911,0.001742,0.001818,202791280.60708473,373853.15254212238526
1661472000,2022-08-26 00:00:00,MNET/USDT,0.002172,0.002184,0.001865,0.001887,184952751.74951723,385029.5919785426702
1661385600,2022-08-25 00:00:00,MNET/USDT,0.002214,0.002219,0.00214,0.002172,153709275.24356269,333190.57823778435688
1661299200,2022-08-24 00:00:00,MNET/USDT,0.002204,0.002248,0.00215,0.002214,162569601.18413024,356660.45053027951965
1661212800,2022-08-23 00:00:00,MNET/USDT,0.002168,0.002231,0.00213,0.002204,161722064.63038144,352130.38440991397587
1661126400,2022-08-22 00:00:00,MNET/USDT,0.002321,0.002329,0.002148,0.002168,161938436.15574153,366797.45400149154016
1661040000,2022-08-21 00:00:00,MNET/USDT,0.002172,0.002328,0.00213,0.002321,153842847.46238892,336867.01135620959854
1660953600,2022-08-20 00:00:00,MNET/USDT,0.002173,0.002266,0.00213,0.00217,169967103.49280635,374894.67046774376836
1660867200,2022-08-19 00:00:00,MNET/USDT,0.002518,0.00253,0.00216,0.002173,159251164.38320741,368101.65619463171097
1660780800,2022-08-18 00:00:00,MNET/USDT,0.002498,0.002624,0.00245,0.002518,146922759.97782731,373592.30599396502657
1660694400,2022-08-17 00:00:00,MNET/USDT,0.002593,0.002985,0.002435,0.002497,182593695.51565129,489529.38566225431831
1660608000,2022-08-16 00:00:00,MNET/USDT,0.002467,0.002695,0.002452,0.002593,144625141.92782232,373662.16897301907051
1660521600,2022-08-15 00:00:00,MNET/USDT,0.002441,0.002578,0.002379,0.002467,150309643.46163084,368533.73592562901461
1660435200,2022-08-14 00:00:00,MNET/USDT,0.002573,0.002617,0.002397,0.00244,75130942.48054672,191015.94759130564876
1660348800,2022-08-13 00:00:00,MNET/USDT,0.002662,0.002673,0.002551,0.002551,91802463.94433045,242622.35122478576715
1660262400,2022-08-12 00:00:00,MNET/USDT,0.002629,0.00274,0.002598,0.002662,130071259.30032199,344606.62347712953781
1660176000,2022-08-11 00:00:00,MNET/USDT,0.00279,0.002825,0.002597,0.00263,97023672.50461464,264187.32820111418136
1660089600,2022-08-10 00:00:00,MNET/USDT,0.002599,0.0028,0.002523,0.00279,121644805.36113303,319385.76257909655353
1660003200,2022-08-09 00:00:00,MNET/USDT,0.002628,0.00285,0.002528,0.0026,147158901.36781951,384875.24376258868384
1659916800,2022-08-08 00:00:00,MNET/USDT,0.002555,0.00278,0.002456,0.002628,141049794.16755907,365506.32961118062868
