https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TLOS,Volume BTC
1663459200,2022-09-18 00:00:00,TLOS/BTC,0.000008892,0.000008947,0.000008892,0.000008922,18896.485,0.1687301779967
1663372800,2022-09-17 00:00:00,TLOS/BTC,0.000009021,0.000009024,0.00000887,0.000008889,443147.9253,3.9670152098307
1663286400,2022-09-16 00:00:00,TLOS/BTC,0.000009154,0.000009209,0.000009018,0.000009018,457882.2624,4.1675585873262
1663200000,2022-09-15 00:00:00,TLOS/BTC,0.000008952,0.00000921,0.000008919,0.000009155,477384.7339,4.3149672268335
1663113600,2022-09-14 00:00:00,TLOS/BTC,0.00000894,0.000009158,0.000008811,0.000008948,505889.0373,4.5197012038798
1663027200,2022-09-13 00:00:00,TLOS/BTC,0.000008278,0.000009034,0.000008088,0.000008936,503944.4234,4.2679772016135
1662940800,2022-09-12 00:00:00,TLOS/BTC,0.000008698,0.000008747,0.000008206,0.000008282,519507.6254,4.4247487327353
1662854400,2022-09-11 00:00:00,TLOS/BTC,0.000008766,0.000008838,0.000008679,0.000008695,463058.7541,4.0556783226309
1662768000,2022-09-10 00:00:00,TLOS/BTC,0.000008742,0.00000893,0.000008633,0.000008766,456533.0435,4.0148919394148
1662681600,2022-09-09 00:00:00,TLOS/BTC,0.000009447,0.000009447,0.00000869,0.00000873,475361.7644,4.2568575502504
1662595200,2022-09-08 00:00:00,TLOS/BTC,0.000009481,0.000009568,0.000009424,0.000009449,443325.3499,4.2059612768768
1662508800,2022-09-07 00:00:00,TLOS/BTC,0.00000957,0.000009696,0.000009422,0.000009485,440168.9362,4.2154434097926
1662422400,2022-09-06 00:00:00,TLOS/BTC,0.000009266,0.00000962,0.000009167,0.00000957,462890.0935,4.3219305265525
1662336000,2022-09-05 00:00:00,TLOS/BTC,0.000009038,0.000009284,0.000009036,0.000009257,448770.4487,4.088539002453
1662249600,2022-09-04 00:00:00,TLOS/BTC,0.000009159,0.000009177,0.00000904,0.000009046,478663.0569,4.3636067242627
1662163200,2022-09-03 00:00:00,TLOS/BTC,0.000009185,0.000009225,0.000009088,0.000009179,445273.5399,4.0874019842719
1662076800,2022-09-02 00:00:00,TLOS/BTC,0.000009083,0.000009256,0.000009036,0.000009185,409813.4249,3.7389227181353
1661990400,2022-09-01 00:00:00,TLOS/BTC,0.000009121,0.000009318,0.000009009,0.000009083,463594.8331,4.2467056955552
1661904000,2022-08-31 00:00:00,TLOS/BTC,0.000009523,0.000009535,0.000008906,0.000009123,490327.9515,4.5463406717054
1661817600,2022-08-30 00:00:00,TLOS/BTC,0.000009523,0.00000988,0.000009414,0.000009526,497337.9376,4.7777582179092
1661731200,2022-08-29 00:00:00,TLOS/BTC,0.000009752,0.000009757,0.000009309,0.000009517,496617.5434,4.762912221364
1661644800,2022-08-28 00:00:00,TLOS/BTC,0.000009613,0.0000098,0.000009571,0.000009724,499001.4941,4.8224509253106
1661558400,2022-08-27 00:00:00,TLOS/BTC,0.000009726,0.000009771,0.000009504,0.000009612,478869.5143,4.6072873671041
1661472000,2022-08-26 00:00:00,TLOS/BTC,0.000009572,0.00000976,0.000009351,0.000009747,497759.221,4.7808806027208
1661385600,2022-08-25 00:00:00,TLOS/BTC,0.000009676,0.00000976,0.000009479,0.000009566,480054.5989,4.6151333004714
1661299200,2022-08-24 00:00:00,TLOS/BTC,0.000009691,0.000009731,0.000009286,0.000009645,492277.6843,4.657160245645
1661212800,2022-08-23 00:00:00,TLOS/BTC,0.000009428,0.00000978,0.000009355,0.00000969,471115.1734,4.4826915276591
1661126400,2022-08-22 00:00:00,TLOS/BTC,0.000009464,0.00000961,0.00000925,0.000009416,484441.5211,4.5700246217592
1661040000,2022-08-21 00:00:00,TLOS/BTC,0.000009189,0.000009539,0.000009154,0.000009463,453528.4766,4.1982375179153
1660953600,2022-08-20 00:00:00,TLOS/BTC,0.000009313,0.000009313,0.000009133,0.000009193,472889.1542,4.3417746994898
1660867200,2022-08-19 00:00:00,TLOS/BTC,0.000009225,0.00000942,0.000009083,0.000009286,490438.7699,4.5139644348671
1660780800,2022-08-18 00:00:00,TLOS/BTC,0.000008874,0.00000931,0.00000884,0.000009236,498587.9669,4.5086143700152
1660694400,2022-08-17 00:00:00,TLOS/BTC,0.000009074,0.0000092,0.00000886,0.000008879,474253.7877,4.2870165515539
1660608000,2022-08-16 00:00:00,TLOS/BTC,0.000008835,0.000009078,0.000008726,0.000009074,424228.3051,3.7809170492388
1660521600,2022-08-15 00:00:00,TLOS/BTC,0.000008448,0.000008874,0.000008316,0.000008815,499554.7296,4.3085410139632
1660435200,2022-08-14 00:00:00,TLOS/BTC,0.00000863,0.000008637,0.000008214,0.000008445,455298.2435,3.8382768038234
1660348800,2022-08-13 00:00:00,TLOS/BTC,0.000008629,0.000008866,0.000008553,0.000008632,492629.0355,4.2758580908934
1660262400,2022-08-12 00:00:00,TLOS/BTC,0.000007937,0.00000941,0.000007907,0.000008631,526863.9001,4.2827326697887
1660176000,2022-08-11 00:00:00,TLOS/BTC,0.000007859,0.00000796,0.000007626,0.000007932,474604.9786,3.7014072502473
1660089600,2022-08-10 00:00:00,TLOS/BTC,0.000007892,0.000007958,0.000007781,0.000007865,536065.0588,4.2314889289338
1660003200,2022-08-09 00:00:00,TLOS/BTC,0.000007915,0.000008006,0.000007795,0.000007891,554984.555,4.390851929098
