https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SUTER,Volume USDT
1663462800,2022-09-18 01:00:00,SUTER/USDT,0.0007879,0.0007967,0.0007879,0.000789,665448.7225,527.00120206304
1663459200,2022-09-18 00:00:00,SUTER/USDT,0.0007848,0.000788,0.0007796,0.0007879,221733.3607,174.37834310507
1663455600,2022-09-17 23:00:00,SUTER/USDT,0.0007974,0.0007974,0.0007796,0.0007796,890928.9814,699.31112486798
1663452000,2022-09-17 22:00:00,SUTER/USDT,0.0007953,0.0008099,0.0007897,0.0007974,464921.0435,372.09090798191
1663448400,2022-09-17 21:00:00,SUTER/USDT,0.0008033,0.0008055,0.0007896,0.0007999,3217670.0985,2551.77990808131
1663444800,2022-09-17 20:00:00,SUTER/USDT,0.0008075,0.000809,0.0007985,0.0007997,1831488.9091,1470.92501175388
1663441200,2022-09-17 19:00:00,SUTER/USDT,0.0008353,0.0008399,0.0007985,0.0008073,6955297.7069,5717.20351327544
1663437600,2022-09-17 18:00:00,SUTER/USDT,0.0008113,0.0008488,0.0008094,0.0008399,7189962.0532,5944.29097063317
1663434000,2022-09-17 17:00:00,SUTER/USDT,0.0008113,0.0008279,0.0007931,0.0008099,5528939.8803,4494.09477605179
1663430400,2022-09-17 16:00:00,SUTER/USDT,0.0007769,0.0008183,0.0007769,0.00081,5395070.5788,4320.50847175131
1663426800,2022-09-17 15:00:00,SUTER/USDT,0.0007764,0.0007912,0.0007764,0.0007769,4445361.0398,3462.396493774
1663423200,2022-09-17 14:00:00,SUTER/USDT,0.0007769,0.0007769,0.0007722,0.0007722,411842.9783,318.67172112524
1663419600,2022-09-17 13:00:00,SUTER/USDT,0.0007674,0.0007829,0.0007662,0.0007769,1470213.2382,1140.09613455815
1663416000,2022-09-17 12:00:00,SUTER/USDT,0.0007771,0.0007829,0.0007642,0.0007713,2148105.6475,1659.47614232511
1663412400,2022-09-17 11:00:00,SUTER/USDT,0.0007806,0.0007879,0.000777,0.000777,1411901.9892,1105.79231220639
1663408800,2022-09-17 10:00:00,SUTER/USDT,0.000784,0.0007888,0.0007778,0.0007833,663943.1711,517.54841773324
1663405200,2022-09-17 09:00:00,SUTER/USDT,0.0007915,0.0007964,0.0007805,0.0007805,1561412.7106,1227.08294263524
1663401600,2022-09-17 08:00:00,SUTER/USDT,0.0008,0.0008125,0.0007752,0.0007915,6607631.3357,5203.96041958055
1663398000,2022-09-17 07:00:00,SUTER/USDT,0.0007714,0.0008084,0.0007714,0.0008,3995351.9354,3151.18151806488
1663394400,2022-09-17 06:00:00,SUTER/USDT,0.0007823,0.0007888,0.000768,0.0007714,863291.2036,673.71666847882
1663390800,2022-09-17 05:00:00,SUTER/USDT,0.0007664,0.0007831,0.0007552,0.0007831,3424596.5472,2637.89022054332
1663387200,2022-09-17 04:00:00,SUTER/USDT,0.00076,0.000768,0.0007445,0.0007664,6433342.326,4893.57575308299
1663383600,2022-09-17 03:00:00,SUTER/USDT,0.0007512,0.0007692,0.0007512,0.000759,819818.0745,627.60129730312
1663380000,2022-09-17 02:00:00,SUTER/USDT,0.000747,0.0007726,0.0007441,0.0007441,2762415.4148,2093.87386033882
1663376400,2022-09-17 01:00:00,SUTER/USDT,0.0007499,0.0007535,0.0007449,0.000747,1315802.4999,984.18050097053
1663372800,2022-09-17 00:00:00,SUTER/USDT,0.000756,0.000762,0.0007442,0.0007498,2166102.274,1621.54732846995
1663369200,2022-09-16 23:00:00,SUTER/USDT,0.0007557,0.0007639,0.0007555,0.0007593,426333.0348,323.54068069524
1663365600,2022-09-16 22:00:00,SUTER/USDT,0.0007664,0.0007797,0.0007554,0.0007555,927346.0672,709.73642754093
1663362000,2022-09-16 21:00:00,SUTER/USDT,0.0007475,0.0007664,0.0007475,0.0007664,3496384.3336,2662.43412824911
1663358400,2022-09-16 20:00:00,SUTER/USDT,0.0007491,0.0007532,0.000747,0.0007475,1595996.8822,1192.8956687486
1663354800,2022-09-16 19:00:00,SUTER/USDT,0.000747,0.0007595,0.0007402,0.0007529,4228916.6735,3151.94771601354
1663351200,2022-09-16 18:00:00,SUTER/USDT,0.0007428,0.0007573,0.0007402,0.000747,1358975.7573,1015.6024494497
1663347600,2022-09-16 17:00:00,SUTER/USDT,0.0007546,0.0007617,0.0007401,0.000747,3746552.2922,2790.41926676538
1663344000,2022-09-16 16:00:00,SUTER/USDT,0.0007899,0.0007899,0.0007424,0.0007535,4838160.0859,3751.5464198655
1663340400,2022-09-16 15:00:00,SUTER/USDT,0.0008073,0.0008189,0.0007802,0.0007848,8951319.7606,7097.58601717427
1663336800,2022-09-16 14:00:00,SUTER/USDT,0.0007803,0.0008075,0.0007753,0.000807,8523522.3703,6778.51630168498
1663333200,2022-09-16 13:00:00,SUTER/USDT,0.000753,0.0007803,0.000743,0.00078,6993591.3366,5394.30330278928
1663329600,2022-09-16 12:00:00,SUTER/USDT,0.0007638,0.0007778,0.0007404,0.000753,7462541.3474,5691.26398639375
1663326000,2022-09-16 11:00:00,SUTER/USDT,0.0007848,0.0007911,0.0007541,0.0007638,3508270.005,2691.50211188623
1663322400,2022-09-16 10:00:00,SUTER/USDT,0.000768,0.00079,0.0007541,0.00079,4614708.3669,3555.4655958577
1663318800,2022-09-16 09:00:00,SUTER/USDT,0.0008131,0.000819,0.00076,0.0007729,17516124.4996,13819.4019673122
1663315200,2022-09-16 08:00:00,SUTER/USDT,0.0008193,0.0008198,0.0008,0.000813,3811667.0341,3066.66301491736
1663311600,2022-09-16 07:00:00,SUTER/USDT,0.00081,0.0008199,0.000808,0.0008153,587997.4288,476.92641412992
1663308000,2022-09-16 06:00:00,SUTER/USDT,0.000814,0.0008222,0.00081,0.000812,619013.0031,503.43428984276
1663304400,2022-09-16 05:00:00,SUTER/USDT,0.0008273,0.0008335,0.00081,0.00081,3331336.7798,2726.03371661522
1663300800,2022-09-16 04:00:00,SUTER/USDT,0.0008332,0.0008368,0.0008151,0.0008327,3688252.1761,3042.40954374352
1663297200,2022-09-16 03:00:00,SUTER/USDT,0.0008334,0.0008384,0.0008151,0.0008384,4736183.6068,3927.4909202624
1663293600,2022-09-16 02:00:00,SUTER/USDT,0.0008226,0.000838,0.0008141,0.0008339,1085325.2318,894.36050753836
1663290000,2022-09-16 01:00:00,SUTER/USDT,0.0008352,0.0008392,0.0008164,0.0008226,3874556.1999,3181.0301386539
1663286400,2022-09-16 00:00:00,SUTER/USDT,0.0008511,0.0008558,0.00083,0.00083,1829276.9536,1525.14230193141
1663282800,2022-09-15 23:00:00,SUTER/USDT,0.0008575,0.0008713,0.0008379,0.0008511,2805365.3044,2378.99658897233
1663279200,2022-09-15 22:00:00,SUTER/USDT,0.000873,0.0008773,0.000835,0.000857,3925948.7464,3370.49794807923
