https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPI,Volume USDT
1656288000,2022-06-27 00:00:00,DPI/USDT,80.78,81.47,80.78,81.39,1.7362,140.66147
1656284400,2022-06-26 23:00:00,DPI/USDT,82.63,82.63,81,81.12,0.5398,43.864323
1656280800,2022-06-26 22:00:00,DPI/USDT,84.58,84.58,82.25,82.25,0.1493,12.341966
1656277200,2022-06-26 21:00:00,DPI/USDT,85.44,85.55,85,85,0.0507,4.32105
1656273600,2022-06-26 20:00:00,DPI/USDT,84.28,85.99,84.28,85.99,0.0773,6.574522
1656270000,2022-06-26 19:00:00,DPI/USDT,83.01,84.06,83.01,83.61,0.5829,48.978493
1656266400,2022-06-26 18:00:00,DPI/USDT,83.71,83.71,82.52,83.09,2.2272,184.699672
1656262800,2022-06-26 17:00:00,DPI/USDT,84.69,84.69,83.34,84.23,0.0313,2.637694
1656259200,2022-06-26 16:00:00,DPI/USDT,84.39,84.93,84.32,84.93,0.0249,2.103956
1656255600,2022-06-26 15:00:00,DPI/USDT,85,85,83.34,83.38,3.43851194,289.5901175572
1656252000,2022-06-26 14:00:00,DPI/USDT,85.44,85.44,85.17,85.17,0.0204,1.740033
1656248400,2022-06-26 13:00:00,DPI/USDT,85.63,85.63,85.11,85.11,0.0846,7.20512
1656244800,2022-06-26 12:00:00,DPI/USDT,87.81,87.87,85.99,85.99,0.251,21.95099
1656241200,2022-06-26 11:00:00,DPI/USDT,85.01,87.19,85.01,87.19,0.97244,84.3973238
1656237600,2022-06-26 10:00:00,DPI/USDT,85.11,85.11,84.66,84.77,0.0754,6.391627
1656234000,2022-06-26 09:00:00,DPI/USDT,85.65,85.65,85,85,0.0363,3.090762
1656230400,2022-06-26 08:00:00,DPI/USDT,85.63,86,85.63,86,0.0066,0.565713
1656226800,2022-06-26 07:00:00,DPI/USDT,85.97,85.99,85.63,85.63,0.1976,16.985716
1656223200,2022-06-26 06:00:00,DPI/USDT,85.05,85.55,85.05,85.21,1.102,93.729672
1656219600,2022-06-26 05:00:00,DPI/USDT,84.86,84.86,84.86,84.86,0.0075,0.63645
1656216000,2022-06-26 04:00:00,DPI/USDT,84.92,85.06,84.92,85.06,0.0031,0.263504
1656212400,2022-06-26 03:00:00,DPI/USDT,84.3,84.54,84.3,84.35,0.0123,1.038528
1656208800,2022-06-26 02:00:00,DPI/USDT,84.57,84.57,84.41,84.41,0.0058,0.49009
1656205200,2022-06-26 01:00:00,DPI/USDT,85.78,85.82,84.44,84.44,0.0254,2.168608
1656201600,2022-06-26 00:00:00,DPI/USDT,85.05,85.05,85.05,85.05,0.0028,0.23814
1656198000,2022-06-25 23:00:00,DPI/USDT,84.99,85.19,84.56,84.56,0.0212,1.803018
1656194400,2022-06-25 22:00:00,DPI/USDT,85.63,85.63,84.92,84.92,0.0194,1.658666
1656190800,2022-06-25 21:00:00,DPI/USDT,83.46,85.55,83.46,85.55,3.0407,258.733327
1656187200,2022-06-25 20:00:00,DPI/USDT,83.17,83.37,82.92,83.21,1.7002,141.583669
1656183600,2022-06-25 19:00:00,DPI/USDT,82.81,83.34,82.81,83.28,0.08933842,7.4335696176
1656180000,2022-06-25 18:00:00,DPI/USDT,81.61,82.43,81.6,82.43,1.4251,117.457463
1656176400,2022-06-25 17:00:00,DPI/USDT,81.19,81.92,80.9,81.92,0.8205,66.603641
1656172800,2022-06-25 16:00:00,DPI/USDT,80.62,80.79,80.62,80.79,0.0084,0.678024
1656169200,2022-06-25 15:00:00,DPI/USDT,81.62,82.23,81.18,81.18,0.0219,1.785024
1656165600,2022-06-25 14:00:00,DPI/USDT,81.95,82.25,81.79,81.9,1.4775,121.204838
1656162000,2022-06-25 13:00:00,DPI/USDT,81.4,82.14,80.95,82.14,0.2206,17.883826
1656158400,2022-06-25 12:00:00,DPI/USDT,83.92,83.92,81.25,81.25,3.9848,328.092304
1656154800,2022-06-25 11:00:00,DPI/USDT,84.72,84.72,83.76,83.76,0.0123,1.036534
1656151200,2022-06-25 10:00:00,DPI/USDT,84.86,85,84.44,84.68,2.9599,251.584158
1656147600,2022-06-25 09:00:00,DPI/USDT,84.71,85.1,84.71,85.1,0.0197,1.669294
1656144000,2022-06-25 08:00:00,DPI/USDT,85.96,86.04,85,85,6.4363,549.711028
1656140400,2022-06-25 07:00:00,DPI/USDT,84.8,85.89,84.8,85.83,0.7422,63.469168
1656136800,2022-06-25 06:00:00,DPI/USDT,84.17,84.17,84.17,84.17,0.1781,14.990677
1656133200,2022-06-25 05:00:00,DPI/USDT,83.95,84.83,83.95,84.83,0.0303,2.559336
1656129600,2022-06-25 04:00:00,DPI/USDT,83.93,83.97,83.68,83.68,0.14590192,12.2494432224
1656126000,2022-06-25 03:00:00,DPI/USDT,83.17,83.9,83.17,83.82,12.5005,1045.245972
1656122400,2022-06-25 02:00:00,DPI/USDT,84.69,84.69,83.02,83.06,0.1172,9.75134
1656118800,2022-06-25 01:00:00,DPI/USDT,84.11,84.98,83.82,84.98,0.0609,5.131892
1656115200,2022-06-25 00:00:00,DPI/USDT,83.44,84.27,82.96,84.27,0.0411,3.431032
1656111600,2022-06-24 23:00:00,DPI/USDT,84.52,84.75,84.14,84.75,4.8266,407.796242
1656108000,2022-06-24 22:00:00,DPI/USDT,84.45,85.87,84.45,84.7,0.5591,47.47473
1656104400,2022-06-24 21:00:00,DPI/USDT,83.1,84.58,83.1,84.58,0.0251,2.114008
1656100800,2022-06-24 20:00:00,DPI/USDT,83.32,84.43,83.32,83.4,0.0749,6.28526
1656097200,2022-06-24 19:00:00,DPI/USDT,83.44,83.71,83.43,83.43,0.41653807,34.8325588397
1656093600,2022-06-24 18:00:00,DPI/USDT,82.16,83.34,82.02,83.34,0.8935674,73.4708182684
1656090000,2022-06-24 17:00:00,DPI/USDT,82.95,83.06,82.08,82.24,0.711,58.964498
1656086400,2022-06-24 16:00:00,DPI/USDT,82.48,82.48,82.13,82.13,0.0268,2.207153
1656082800,2022-06-24 15:00:00,DPI/USDT,82.97,82.97,82.25,82.55,0.1698,14.022388
1656079200,2022-06-24 14:00:00,DPI/USDT,82.25,84.17,81.18,82.98,7.13399736,591.751124824
1656075600,2022-06-24 13:00:00,DPI/USDT,83.37,84.09,82.25,82.25,2.34677016,196.3980876176
1656072000,2022-06-24 12:00:00,DPI/USDT,82,83.87,82,83.5,26.27693111,2187.2120513087
1656068400,2022-06-24 11:00:00,DPI/USDT,81,82.88,81,82.88,0.0265,2.17007
1656064800,2022-06-24 10:00:00,DPI/USDT,80.35,80.35,80.35,80.35,0.0121,0.972235
1656061200,2022-06-24 09:00:00,DPI/USDT,81.07,81.07,80.12,80.12,0.026,2.097891
1656057600,2022-06-24 08:00:00,DPI/USDT,80.37,81.18,80.33,81.18,0.0175,1.412805
1656054000,2022-06-24 07:00:00,DPI/USDT,79.62,80.48,79.54,80.48,0.026,2.079912
1656050400,2022-06-24 06:00:00,DPI/USDT,80.13,80.13,79.59,79.59,0.0156,1.244916
1656046800,2022-06-24 05:00:00,DPI/USDT,80.42,81.24,80.12,80.12,3.4951,281.982349
1656043200,2022-06-24 04:00:00,DPI/USDT,81.53,81.9,80.55,80.55,0.0604,4.928714
1656039600,2022-06-24 03:00:00,DPI/USDT,83.08,83.08,81.63,81.63,2.4379,199.012477
1656036000,2022-06-24 02:00:00,DPI/USDT,81.88,83.71,81.88,83.23,2.3249,191.525116
1656032400,2022-06-24 01:00:00,DPI/USDT,81.63,82.44,81.63,82.44,0.0184,1.506042
1656028800,2022-06-24 00:00:00,DPI/USDT,81.82,82.48,81.5,81.5,6.6436,546.02689
1656025200,2022-06-23 23:00:00,DPI/USDT,80.22,81.62,80.22,81.58,0.0384,3.110364
1656021600,2022-06-23 22:00:00,DPI/USDT,79.67,81,79.67,80.65,5.7013,456.058881
1656018000,2022-06-23 21:00:00,DPI/USDT,79.58,79.58,79.37,79.45,4.2086,334.159829
1656014400,2022-06-23 20:00:00,DPI/USDT,79.11,80.12,79.08,80.12,1.1522,91.245839
1656010800,2022-06-23 19:00:00,DPI/USDT,76.97,79.08,76.97,79.08,2.4942,196.461696
1656007200,2022-06-23 18:00:00,DPI/USDT,76.76,77.14,76.76,77.14,0.0173,1.32905
1656003600,2022-06-23 17:00:00,DPI/USDT,76.36,77,76.36,77,0.3978,30.385882
1656000000,2022-06-23 16:00:00,DPI/USDT,76.85,77.36,76.85,77.25,10.7491,831.167408
1655996400,2022-06-23 15:00:00,DPI/USDT,78.8,78.8,77.03,77.77,4.7027,363.748333
1655992800,2022-06-23 14:00:00,DPI/USDT,78.84,79.28,78.84,79.28,0.0151,1.193036
1655989200,2022-06-23 13:00:00,DPI/USDT,79.55,80.23,78.82,78.82,4.90539931,390.373223572
1655985600,2022-06-23 12:00:00,DPI/USDT,80.44,80.99,79.75,80.02,47.4769,3833.444166
1655982000,2022-06-23 11:00:00,DPI/USDT,80.68,80.68,79.94,79.94,4.07324215,327.698015802
1655978400,2022-06-23 10:00:00,DPI/USDT,79.08,81.18,79.08,80.98,11.1645,899.863636
1655974800,2022-06-23 09:00:00,DPI/USDT,78.51,78.51,78.18,78.18,0.0105,0.821319
1655971200,2022-06-23 08:00:00,DPI/USDT,77.62,78.46,77.62,78.46,0.013,1.011244
1655967600,2022-06-23 07:00:00,DPI/USDT,78.91,78.91,78.32,78.32,1.0727471,84.08650306
1655964000,2022-06-23 06:00:00,DPI/USDT,77.3,78.64,77.3,78.64,0.6348,49.882023
1655960400,2022-06-23 05:00:00,DPI/USDT,77.99,77.99,77.7,77.7,1.0798,84.213225
1655956800,2022-06-23 04:00:00,DPI/USDT,77.26,77.51,76.66,77.51,1.1317,87.169602
1655953200,2022-06-23 03:00:00,DPI/USDT,77.75,77.75,77.75,77.75,0.0095,0.738625
1655949600,2022-06-23 02:00:00,DPI/USDT,77.82,78.6,77.82,78.6,0.0219,1.714242
1655946000,2022-06-23 01:00:00,DPI/USDT,77.26,78.05,77.26,78.04,1.5258,119.042442
1655942400,2022-06-23 00:00:00,DPI/USDT,74.39,77.78,74.27,77.78,5.9919,463.104222
1655938800,2022-06-22 23:00:00,DPI/USDT,76.58,76.58,75.04,75.04,0.0364,2.77396
1655935200,2022-06-22 22:00:00,DPI/USDT,75.7,76.03,75.51,76.03,0.0325,2.463971
1655931600,2022-06-22 21:00:00,DPI/USDT,75.26,75.26,75.26,75.26,0.0165,1.24179
1655928000,2022-06-22 20:00:00,DPI/USDT,76.32,76.32,75,75,3.05,229.999877
1655924400,2022-06-22 19:00:00,DPI/USDT,76.7,76.7,76.03,76.32,2.5024,191.926845
1655920800,2022-06-22 18:00:00,DPI/USDT,77.2,77.37,77.2,77.37,0.028,2.162501
1655917200,2022-06-22 17:00:00,DPI/USDT,77.16,77.44,76.97,77.44,0.4151,32.117938
1655913600,2022-06-22 16:00:00,DPI/USDT,76.03,77.03,75.9,77.03,1.3698,104.605018
1655910000,2022-06-22 15:00:00,DPI/USDT,78.42,78.42,77.03,77.03,0.0418,3.242996
1655906400,2022-06-22 14:00:00,DPI/USDT,78.15,79.46,78.15,79.24,2.6424,208.393406
1655902800,2022-06-22 13:00:00,DPI/USDT,76.03,78.11,76.03,78.11,1.5739,122.006827
1655899200,2022-06-22 12:00:00,DPI/USDT,75.74,76.38,75.04,75.04,1.418,108.109992
1655895600,2022-06-22 11:00:00,DPI/USDT,75.22,76.51,75.15,76.51,2.5402,191.746221
1655892000,2022-06-22 10:00:00,DPI/USDT,75.57,75.6,74.9,75.27,0.0232,1.746267
1655888400,2022-06-22 09:00:00,DPI/USDT,74.37,75.63,74.37,75.63,0.0472,3.540041
1655884800,2022-06-22 08:00:00,DPI/USDT,73.1,74.06,73.1,74.06,0.0356,2.61342
1655881200,2022-06-22 07:00:00,DPI/USDT,74.62,74.62,73.24,73.24,0.0671,4.940843
1655877600,2022-06-22 06:00:00,DPI/USDT,75.04,75.04,74.06,74.42,0.3904,28.925068
1655874000,2022-06-22 05:00:00,DPI/USDT,75.87,76.1,75.32,75.32,2.2009,166.843125
1655870400,2022-06-22 04:00:00,DPI/USDT,74.58,75.36,74.28,75.36,9.5598,715.124507
1655866800,2022-06-22 03:00:00,DPI/USDT,74.63,75,73.4,73.4,27.4446,2039.352407
1655863200,2022-06-22 02:00:00,DPI/USDT,74.06,74.37,73.68,74.06,0.5889,43.569504
1655859600,2022-06-22 01:00:00,DPI/USDT,72.95,75.47,71.32,74.33,11.270016,843.90304928
1655856000,2022-06-22 00:00:00,DPI/USDT,72.26,72.95,71.32,72.95,0.143,10.338422
1655852400,2022-06-21 23:00:00,DPI/USDT,72,74.06,72,74.06,0.0695,5.025896
1655848800,2022-06-21 22:00:00,DPI/USDT,73.21,73.21,71.21,71.21,0.8609869,62.471974355
1655845200,2022-06-21 21:00:00,DPI/USDT,70.6,74.97,69.01,74.89,32.97393773,2397.7699642197
1655841600,2022-06-21 20:00:00,DPI/USDT,73.1,73.1,70,70,9.0616,634.582015
1655838000,2022-06-21 19:00:00,DPI/USDT,72.62,74.52,70.13,73.1,1.026,72.954523
1655834400,2022-06-21 18:00:00,DPI/USDT,71.21,75.84,70.43,72.62,30.43437726,2275.593874846
1655830800,2022-06-21 17:00:00,DPI/USDT,79.25,79.56,70.01,70.05,92.11523538,6722.8275567371
1655827200,2022-06-21 16:00:00,DPI/USDT,78.81,98.49,78.57,79.35,118.42601168,10316.4641747435
1655823600,2022-06-21 15:00:00,DPI/USDT,78,78.25,78,78,0.2521,19.70035
1655820000,2022-06-21 14:00:00,DPI/USDT,73.1,82.98,73.1,78.05,27.90620131,2142.7028176866
1655816400,2022-06-21 13:00:00,DPI/USDT,74.06,75.65,73.1,73.1,0.0438,3.27754
1655812800,2022-06-21 12:00:00,DPI/USDT,73.1,73.1,72.32,72.32,0.0134,0.976108
1655809200,2022-06-21 11:00:00,DPI/USDT,74.06,75.95,74.06,74.06,16.1189,1221.132416
1655805600,2022-06-21 10:00:00,DPI/USDT,75.04,75.63,74.06,75.63,0.0353,2.663291
1655802000,2022-06-21 09:00:00,DPI/USDT,75.04,76.23,73.09,75.3,1.0682,78.254207
1655798400,2022-06-21 08:00:00,DPI/USDT,74.06,76.03,74.06,76.03,10.0763,755.819549
1655794800,2022-06-21 07:00:00,DPI/USDT,75,75,72.46,72.46,0.0887,6.593252
1655791200,2022-06-21 06:00:00,DPI/USDT,74.21,75.04,74.21,75,9.1369,684.684191
1655787600,2022-06-21 05:00:00,DPI/USDT,72.54,75,72.54,74.16,18.52792876,1366.588494865
1655784000,2022-06-21 04:00:00,DPI/USDT,72.29,72.29,71.59,71.71,0.5151,37.230885
1655780400,2022-06-21 03:00:00,DPI/USDT,71.87,72.15,71.36,71.63,6.8181,490.804663
1655776800,2022-06-21 02:00:00,DPI/USDT,68.46,71.34,68,71.34,6.41873944,454.46882724
1655773200,2022-06-21 01:00:00,DPI/USDT,68.46,70,68.46,70,0.1267,8.835337
1655769600,2022-06-21 00:00:00,DPI/USDT,69.36,69.36,67.57,67.57,0.0689,4.681301
1655766000,2022-06-20 23:00:00,DPI/USDT,68.46,70.99,68.46,70.99,26.75955114,1877.4960604286
1655762400,2022-06-20 22:00:00,DPI/USDT,67.25,67.25,67.25,67.25,0.029,1.95025
1655758800,2022-06-20 21:00:00,DPI/USDT,69.36,70.49,67.25,68.46,5.05369409,353.8163876405
1655755200,2022-06-20 20:00:00,DPI/USDT,70.28,70.91,67,67.57,40.11359522,2785.1902363227
1655751600,2022-06-20 19:00:00,DPI/USDT,68,70.2,68,70.2,8.56606014,601.1994274014
1655748000,2022-06-20 18:00:00,DPI/USDT,68,68,68,68,1.0646,72.3928
1655744400,2022-06-20 17:00:00,DPI/USDT,68.25,68.25,68.02,68.02,0.0153,1.040844
1655740800,2022-06-20 16:00:00,DPI/USDT,68.25,68.25,68.25,68.25,0.0107,0.730275
1655737200,2022-06-20 15:00:00,DPI/USDT,68.46,69.36,68.25,68.25,0.1161,7.932419
1655733600,2022-06-20 14:00:00,DPI/USDT,70.28,71,68.46,70.28,1.08616056,75.53517576
1655730000,2022-06-20 13:00:00,DPI/USDT,70.28,71.02,69,69,1.4601,100.86122
1655726400,2022-06-20 12:00:00,DPI/USDT,71.35,71.35,69.05,69.05,8.2152,577.681592
1655722800,2022-06-20 11:00:00,DPI/USDT,74.6,75.87,69.01,71.25,45.81581637,3252.6433539893
1655719200,2022-06-20 10:00:00,DPI/USDT,68.46,77.99,67.57,75.86,86.02552135,6209.5650321671
1655715600,2022-06-20 09:00:00,DPI/USDT,69.36,70,65.81,69.36,3.40711928,232.9773486
1655712000,2022-06-20 08:00:00,DPI/USDT,64.11,69,63.27,69,9.91370584,672.50860344
1655708400,2022-06-20 07:00:00,DPI/USDT,64.22,65.82,64.22,65.82,0.1496,9.611312
1655704800,2022-06-20 06:00:00,DPI/USDT,62.45,66,62.45,64.11,4.85889416,317.87764656
1655701200,2022-06-20 05:00:00,DPI/USDT,63.27,63.27,61,62.45,1.6054,97.984768
1655697600,2022-06-20 04:00:00,DPI/USDT,63.47,64.11,62.56,63.27,0.0366,2.325341
1655694000,2022-06-20 03:00:00,DPI/USDT,61.03,64,61.03,64,1.0849,68.923348
1655690400,2022-06-20 02:00:00,DPI/USDT,60.84,64,60.84,61.03,9.2695,585.651264
1655686800,2022-06-20 01:00:00,DPI/USDT,60.95,60.95,60.03,60.03,0.101,6.090398
1655683200,2022-06-20 00:00:00,DPI/USDT,61.64,62.45,60,62.45,2.099,130.035768
1655679600,2022-06-19 23:00:00,DPI/USDT,61.75,62.99,61.75,62.99,0.0825,5.102311
1655676000,2022-06-19 22:00:00,DPI/USDT,64.11,64.11,61.23,61.64,1.1194,69.1086
1655672400,2022-06-19 21:00:00,DPI/USDT,61.75,65,60.05,65,25.14991769,1594.8245114962
1655668800,2022-06-19 20:00:00,DPI/USDT,59.27,63,57.75,63,2.9737,178.078503
1655665200,2022-06-19 19:00:00,DPI/USDT,60.53,61.87,59.27,59.27,9.1863,557.636881
1655661600,2022-06-19 18:00:00,DPI/USDT,59.38,60.67,59.27,60.67,0.1214,7.218148
1655658000,2022-06-19 17:00:00,DPI/USDT,59.27,61.2,56.3,60.05,33.15960516,1891.2694297818
1655654400,2022-06-19 16:00:00,DPI/USDT,56.25,60.89,56.01,58.5,5.4827611,329.9952049105
1655650800,2022-06-19 15:00:00,DPI/USDT,57.1,57.1,56.99,56.99,0.0549,3.133525
1655647200,2022-06-19 14:00:00,DPI/USDT,56.25,60.39,56.25,57.74,32.58277335,1902.6367182866
1655643600,2022-06-19 13:00:00,DPI/USDT,57.59,57.74,57.59,57.74,0.0345,1.98741
1655640000,2022-06-19 12:00:00,DPI/USDT,57.1,57.74,56.99,57.74,0.0248,1.418128
1655636400,2022-06-19 11:00:00,DPI/USDT,53.39,58.5,53,58.5,2.2705,122.032005
1655632800,2022-06-19 10:00:00,DPI/USDT,58.5,58.99,54,54,2.2435,131.39225
1655629200,2022-06-19 09:00:00,DPI/USDT,55.37,57.99,55.37,57.68,13.025,748.103071
1655625600,2022-06-19 08:00:00,DPI/USDT,53.29,56.19,53.29,54.8,0.0986,5.473865
1655622000,2022-06-19 07:00:00,DPI/USDT,55.11,55.98,53.39,54.09,1.00301012,56.0553295176
1655618400,2022-06-19 06:00:00,DPI/USDT,53.29,55.11,53.29,54.09,0.0365,1.980378
1655614800,2022-06-19 05:00:00,DPI/USDT,54.09,54.8,53.29,53.29,0.0397,2.140877
1655611200,2022-06-19 04:00:00,DPI/USDT,55.52,55.52,53.29,53.29,0.074,3.980314
1655607600,2022-06-19 03:00:00,DPI/USDT,54.09,56.91,54.09,55.52,16.7901,954.687892
1655604000,2022-06-19 02:00:00,DPI/USDT,55.53,55.53,53.29,53.32,7.518,414.886542
1655600400,2022-06-19 01:00:00,DPI/USDT,55.53,55.53,55.53,55.53,0.016,0.88848
1655596800,2022-06-19 00:00:00,DPI/USDT,56.97,56.97,55.53,55.53,0.0495,2.807631
1655593200,2022-06-18 23:00:00,DPI/USDT,55.77,55.77,55.53,55.53,13.614,756.639811
1655589600,2022-06-18 22:00:00,DPI/USDT,55.77,55.77,55.77,55.77,0.0934,5.208918
1655586000,2022-06-18 21:00:00,DPI/USDT,52.69,57.37,52.69,56.25,5.00016847,284.3356571239
1655582400,2022-06-18 20:00:00,DPI/USDT,53.39,57.23,50.4,50.4,25.1841,1301.539749
1655578800,2022-06-18 19:00:00,DPI/USDT,53.39,55.48,51,54.09,9.0476,466.348341
1655575200,2022-06-18 18:00:00,DPI/USDT,54,56.99,52.01,53.39,2.7694,147.383338
1655571600,2022-06-18 17:00:00,DPI/USDT,56.99,56.99,54,54,0.117,6.415335
1655568000,2022-06-18 16:00:00,DPI/USDT,56.99,57.95,52.05,57.7,10.94647014,630.203896613
1655564400,2022-06-18 15:00:00,DPI/USDT,54.29,57.53,51.53,55.52,4.6766,246.217799
1655560800,2022-06-18 14:00:00,DPI/USDT,56.25,57.74,54.8,54.8,0.0543,3.045363
