https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ERTHA,Volume USDT
1663459200,2022-09-18 00:00:00,ERTHA/USDT,0.00422,0.00422,0.00408,0.0041,213294.2669,875.020559458
1663372800,2022-09-17 00:00:00,ERTHA/USDT,0.00376,0.00468,0.0037,0.00423,17295342.536,69446.430407184
1663286400,2022-09-16 00:00:00,ERTHA/USDT,0.00399,0.00399,0.00356,0.00378,18557611.1061,69167.132605266
1663200000,2022-09-15 00:00:00,ERTHA/USDT,0.00402,0.00432,0.00385,0.004,17591799.3274,71624.436614611
1663113600,2022-09-14 00:00:00,ERTHA/USDT,0.00437,0.00439,0.004,0.00402,15651794.8595,65361.921429193
1663027200,2022-09-13 00:00:00,ERTHA/USDT,0.00455,0.00458,0.00427,0.00438,14644050.0722,64569.441152226
1662940800,2022-09-12 00:00:00,ERTHA/USDT,0.00481,0.00481,0.0043,0.00456,14052019.4425,63639.350581478
1662854400,2022-09-11 00:00:00,ERTHA/USDT,0.00447,0.00503,0.00444,0.00484,19383590.8652,89894.760827384
1662768000,2022-09-10 00:00:00,ERTHA/USDT,0.00436,0.00586,0.00434,0.00446,26181963.3529,127161.278020183
1662681600,2022-09-09 00:00:00,ERTHA/USDT,0.0044,0.00485,0.00417,0.00435,16385212.385,73694.659532965
1662595200,2022-09-08 00:00:00,ERTHA/USDT,0.00454,0.00602,0.0044,0.00442,31811376.2816,152365.682897664
1662508800,2022-09-07 00:00:00,ERTHA/USDT,0.00481,0.00493,0.0045,0.00454,13266487.1849,61993.468843803
1662422400,2022-09-06 00:00:00,ERTHA/USDT,0.00587,0.00629,0.00476,0.0048,16625347.999,87841.329116303
1662336000,2022-09-05 00:00:00,ERTHA/USDT,0.00518,0.01285,0.00511,0.00588,71198930.31671494,505731.081076501821
1662249600,2022-09-04 00:00:00,ERTHA/USDT,0.0051,0.00598,0.00439,0.00521,13435188.8721,68546.635952739
1662163200,2022-09-03 00:00:00,ERTHA/USDT,0.00482,0.00629,0.00477,0.00508,19763071.835,102070.845567214
1662076800,2022-09-02 00:00:00,ERTHA/USDT,0.00445,0.00502,0.00442,0.00484,14515209.0177,67579.684787648
1661990400,2022-09-01 00:00:00,ERTHA/USDT,0.00484,0.00487,0.00422,0.00442,15845977.8472,73948.140789748
1661904000,2022-08-31 00:00:00,ERTHA/USDT,0.00493,0.00537,0.00479,0.00483,5698006.8392,28577.572073772
1661817600,2022-08-30 00:00:00,ERTHA/USDT,0.00509,0.00848,0.00469,0.00493,30191062.4306,170117.27268464
1661731200,2022-08-29 00:00:00,ERTHA/USDT,0.00554,0.00565,0.00499,0.00509,13661445.0903,72225.939744547
1661644800,2022-08-28 00:00:00,ERTHA/USDT,0.00584,0.00669,0.00554,0.00557,12689851.8334,76093.781559685
1661558400,2022-08-27 00:00:00,ERTHA/USDT,0.00509,0.00603,0.00503,0.00583,13290632.0937,74424.634837876
1661472000,2022-08-26 00:00:00,ERTHA/USDT,0.00593,0.00612,0.00479,0.00506,13989969.3815,79786.382269524
1661385600,2022-08-25 00:00:00,ERTHA/USDT,0.0059,0.00643,0.00576,0.00594,11815009.5895,70541.25029953
1661299200,2022-08-24 00:00:00,ERTHA/USDT,0.00594,0.00619,0.00574,0.0059,10494207.0487,62396.160572083
1661212800,2022-08-23 00:00:00,ERTHA/USDT,0.00598,0.00617,0.00573,0.00594,11077366.3652,65187.296314385
1661126400,2022-08-22 00:00:00,ERTHA/USDT,0.00604,0.00639,0.00592,0.00599,11710038.8403,71664.03140366
1661040000,2022-08-21 00:00:00,ERTHA/USDT,0.00611,0.00635,0.00587,0.00603,11632146.871,70266.097709691
1660953600,2022-08-20 00:00:00,ERTHA/USDT,0.006,0.00681,0.00598,0.00614,10978428.1655,68373.159407185
1660867200,2022-08-19 00:00:00,ERTHA/USDT,0.00651,0.00659,0.00578,0.00603,11021188.5178,68919.97293652
1660780800,2022-08-18 00:00:00,ERTHA/USDT,0.00703,0.00707,0.00632,0.00651,10581451.0312,70123.316051089
1660694400,2022-08-17 00:00:00,ERTHA/USDT,0.00735,0.00767,0.00687,0.00703,9450898.6025,68217.122324844
1660608000,2022-08-16 00:00:00,ERTHA/USDT,0.00739,0.00774,0.00728,0.00735,9532580.7912,70790.257547917
1660521600,2022-08-15 00:00:00,ERTHA/USDT,0.00748,0.0078,0.0072,0.00736,7818304.7607,58530.518385686
1660435200,2022-08-14 00:00:00,ERTHA/USDT,0.00749,0.0089,0.00731,0.00743,27952756.206,221951.426168417
1660348800,2022-08-13 00:00:00,ERTHA/USDT,0.00752,0.0076,0.00728,0.0075,8378570.9686,62535.045710743
1660262400,2022-08-12 00:00:00,ERTHA/USDT,0.00761,0.00797,0.00731,0.00756,9307869.1401,69639.708469956
1660176000,2022-08-11 00:00:00,ERTHA/USDT,0.00752,0.0079,0.00739,0.00761,9257374.3942,70335.086099269
1660089600,2022-08-10 00:00:00,ERTHA/USDT,0.00731,0.00764,0.00723,0.00752,9245540.3786,67917.010154911
1660003200,2022-08-09 00:00:00,ERTHA/USDT,0.00754,0.00776,0.00717,0.0073,8060354.8346,60063.702979393
1659916800,2022-08-08 00:00:00,ERTHA/USDT,0.00797,0.00807,0.00729,0.00756,8679255.0107,66493.48811252
1659830400,2022-08-07 00:00:00,ERTHA/USDT,0.0076,0.008,0.00742,0.00796,7699778.7405,59406.116881772
1659744000,2022-08-06 00:00:00,ERTHA/USDT,0.00783,0.00809,0.00695,0.0076,10084439.4705799,77772.351364271064
1659657600,2022-08-05 00:00:00,ERTHA/USDT,0.00796,0.0081,0.00759,0.00781,8430098.8244,66058.582535265
1659571200,2022-08-04 00:00:00,ERTHA/USDT,0.00798,0.0082,0.00782,0.00796,8757492.6405,69890.292552013
1659484800,2022-08-03 00:00:00,ERTHA/USDT,0.0079,0.0083,0.00786,0.00799,8103110.0869,64772.012509201
1659398400,2022-08-02 00:00:00,ERTHA/USDT,0.00775,0.0083,0.0076,0.00793,9545548.3901,74570.252205757
1659312000,2022-08-01 00:00:00,ERTHA/USDT,0.00788,0.00799,0.00755,0.00777,8790156.1575,67667.695046712
1659225600,2022-07-31 00:00:00,ERTHA/USDT,0.00765,0.0082,0.00751,0.00792,8869802.5901,68515.944761744
1659139200,2022-07-30 00:00:00,ERTHA/USDT,0.0078,0.00815,0.00753,0.00766,8094441.0209,62703.395029808
1659052800,2022-07-29 00:00:00,ERTHA/USDT,0.00802,0.00813,0.00754,0.00776,9187391.3617,71900.569048125
1658966400,2022-07-28 00:00:00,ERTHA/USDT,0.0084,0.0089,0.00775,0.00802,8239074.2413,66685.064787993
1658880000,2022-07-27 00:00:00,ERTHA/USDT,0.00784,0.00864,0.00764,0.00842,8329241.9289,67637.270342822
1658793600,2022-07-26 00:00:00,ERTHA/USDT,0.00788,0.00943,0.0076,0.00791,12669986.04043212,105941.65769690808
1658707200,2022-07-25 00:00:00,ERTHA/USDT,0.00809,0.00811,0.00772,0.00788,8561832.1906,67647.907203581
1658620800,2022-07-24 00:00:00,ERTHA/USDT,0.00794,0.0085,0.00785,0.0081,8617207.2677,70164.92146235
