https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CELR,Volume USDT
1663459200,2022-09-18 00:00:00,CELR/USDT,0.01692,0.01694,0.01674,0.01694,420991.7047,7101.657482774
1663372800,2022-09-17 00:00:00,CELR/USDT,0.01647,0.01711,0.01647,0.01693,974418.8958,16447.00760434
1663286400,2022-09-16 00:00:00,CELR/USDT,0.01663,0.01669,0.01602,0.01647,658165.5483,10801.066516357
1663200000,2022-09-15 00:00:00,CELR/USDT,0.01729,0.01729,0.0162,0.0165,758896.9227,12592.738160407
1663113600,2022-09-14 00:00:00,CELR/USDT,0.01682,0.01743,0.01669,0.01727,604865.809,10321.772054514
1663027200,2022-09-13 00:00:00,CELR/USDT,0.0184,0.01863,0.01673,0.01681,1993621.9194,35235.845690853
1662940800,2022-09-12 00:00:00,CELR/USDT,0.01853,0.01948,0.01813,0.01848,1290288.7649,24210.712161721
1662854400,2022-09-11 00:00:00,CELR/USDT,0.01884,0.019,0.01823,0.01858,1403475.7375,26157.527822004
1662768000,2022-09-10 00:00:00,CELR/USDT,0.01879,0.01914,0.01841,0.01871,612594.4946,11484.141590712
1662681600,2022-09-09 00:00:00,CELR/USDT,0.01772,0.01999,0.01772,0.01882,2624827.8086,48653.628323451
1662595200,2022-09-08 00:00:00,CELR/USDT,0.01743,0.01784,0.0169,0.01765,1237168.4187,21684.431152146
1662508800,2022-09-07 00:00:00,CELR/USDT,0.01571,0.01773,0.0156,0.01756,2140790.8937,35982.043728574
1662422400,2022-09-06 00:00:00,CELR/USDT,0.01781,0.01825,0.01574,0.01574,2327139.1391,39497.935837721
1662336000,2022-09-05 00:00:00,CELR/USDT,0.01791,0.01812,0.01732,0.01782,2305708.6478,40587.332602006
1662249600,2022-09-04 00:00:00,CELR/USDT,0.01751,0.01797,0.01716,0.01783,2284346.8495,40175.659273307
1662163200,2022-09-03 00:00:00,CELR/USDT,0.01731,0.01753,0.01711,0.0174,662938.1872,11472.186396464
1662076800,2022-09-02 00:00:00,CELR/USDT,0.01747,0.01799,0.01694,0.01727,1436542.5046,25090.149212502
1661990400,2022-09-01 00:00:00,CELR/USDT,0.01734,0.01752,0.01665,0.01747,2157840.3452,37314.251103357
1661904000,2022-08-31 00:00:00,CELR/USDT,0.01736,0.01925,0.01727,0.01736,3249040.2595,57799.516430893
1661817600,2022-08-30 00:00:00,CELR/USDT,0.01809,0.01848,0.01676,0.01722,1831086.7122,32469.643489666
1661731200,2022-08-29 00:00:00,CELR/USDT,0.01726,0.01808,0.01694,0.01808,634943.5726,11053.486949628
1661644800,2022-08-28 00:00:00,CELR/USDT,0.01814,0.0183,0.01713,0.01713,1002504.8191,17973.628378892
1661558400,2022-08-27 00:00:00,CELR/USDT,0.01776,0.01843,0.01775,0.01819,1026118.7041,18557.275202776
1661472000,2022-08-26 00:00:00,CELR/USDT,0.02008,0.02015,0.01746,0.01772,1509772.1621,28040.828569019
1661385600,2022-08-25 00:00:00,CELR/USDT,0.01983,0.02076,0.01977,0.02019,914938.1683,18467.334506993
1661299200,2022-08-24 00:00:00,CELR/USDT,0.0198,0.02041,0.01922,0.01978,2229127.1866,44266.541750289
1661212800,2022-08-23 00:00:00,CELR/USDT,0.01914,0.01996,0.01879,0.01974,924470.6931,18049.22855365
1661126400,2022-08-22 00:00:00,CELR/USDT,0.02017,0.02017,0.01841,0.0191,866665.4979,16414.71157075
1661040000,2022-08-21 00:00:00,CELR/USDT,0.01957,0.02058,0.01937,0.02016,566330.5093,11332.48529522
1660953600,2022-08-20 00:00:00,CELR/USDT,0.01985,0.02038,0.01877,0.01947,1347319.347,26396.100885743
1660867200,2022-08-19 00:00:00,CELR/USDT,0.02111,0.0217,0.01936,0.0198,4840234.2921,98898.748470084
1660780800,2022-08-18 00:00:00,CELR/USDT,0.02277,0.02368,0.02075,0.02115,5968545.77834194,137237.9707098378684
1660694400,2022-08-17 00:00:00,CELR/USDT,0.0251,0.0257,0.02215,0.02277,6701976.6594,160268.762410737
1660608000,2022-08-16 00:00:00,CELR/USDT,0.0246,0.02809,0.0241,0.0251,18281639.5849,460241.137964913
1660521600,2022-08-15 00:00:00,CELR/USDT,0.0271,0.02824,0.02413,0.02464,21249514.4797,554365.659441549
1660435200,2022-08-14 00:00:00,CELR/USDT,0.0258,0.0279,0.02557,0.02712,5720585.3295,153632.104698687
1660348800,2022-08-13 00:00:00,CELR/USDT,0.02682,0.02706,0.02542,0.02572,3545273.7275,92025.097660888
1660262400,2022-08-12 00:00:00,CELR/USDT,0.02622,0.02741,0.02547,0.0268,10060594.9195,264873.960171136
1660176000,2022-08-11 00:00:00,CELR/USDT,0.0247,0.02717,0.02401,0.02623,10055144.3386,254542.927794486
1660089600,2022-08-10 00:00:00,CELR/USDT,0.0222,0.02599,0.02136,0.02469,12544496.4292,295849.484403444
1660003200,2022-08-09 00:00:00,CELR/USDT,0.02328,0.02403,0.02168,0.0222,12673875.8056,283115.438705513
1659916800,2022-08-08 00:00:00,CELR/USDT,0.0225,0.0237,0.0224,0.02328,5238352.0861,121718.416522621
1659830400,2022-08-07 00:00:00,CELR/USDT,0.02221,0.02314,0.02171,0.02248,2115700.7765,47839.15146243
1659744000,2022-08-06 00:00:00,CELR/USDT,0.02245,0.02285,0.02199,0.0222,1890572.9965,42385.967284216
1659657600,2022-08-05 00:00:00,CELR/USDT,0.02224,0.02399,0.02059,0.02243,9113680.0728,205653.014465659
1659571200,2022-08-04 00:00:00,CELR/USDT,0.02027,0.0224,0.02024,0.02225,7851238.1097,167135.421622643
1659484800,2022-08-03 00:00:00,CELR/USDT,0.02021,0.02121,0.01928,0.02024,5309737.6036,109817.282227843
1659398400,2022-08-02 00:00:00,CELR/USDT,0.02331,0.02332,0.01961,0.02016,9415828.5477,197534.237275149
1659312000,2022-08-01 00:00:00,CELR/USDT,0.02045,0.0233,0.02013,0.02328,8124344.9685,173355.928589811
1659225600,2022-07-31 00:00:00,CELR/USDT,0.02039,0.02305,0.02006,0.02049,6024379.1544,126874.168879521
1659139200,2022-07-30 00:00:00,CELR/USDT,0.0202,0.0223,0.01961,0.02042,7627895.3258,159824.566048479
1659052800,2022-07-29 00:00:00,CELR/USDT,0.01952,0.02078,0.01843,0.02015,16028984.9927,323569.00046035
1658966400,2022-07-28 00:00:00,CELR/USDT,0.01809,0.01999,0.01756,0.01952,8207835.9228,154793.542867028
1658880000,2022-07-27 00:00:00,CELR/USDT,0.01657,0.01809,0.01624,0.01809,5325474.1841,91018.198390134
1658793600,2022-07-26 00:00:00,CELR/USDT,0.01712,0.0178,0.01601,0.01653,10938147.5842,180621.521878705
1658707200,2022-07-25 00:00:00,CELR/USDT,0.01913,0.022,0.01703,0.01703,25383296.02082093,483796.787039842644
1658620800,2022-07-24 00:00:00,CELR/USDT,0.01789,0.0196,0.01772,0.01921,3932897.1522,74559.348482576
1658534400,2022-07-23 00:00:00,CELR/USDT,0.01703,0.0182,0.017,0.01781,2609129.9576,45959.530013354
1658448000,2022-07-22 00:00:00,CELR/USDT,0.01786,0.01899,0.01685,0.01703,5531611.75037396,100122.9392642643524
