https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume CRON
1663545600000,2022-09-19 00:00:00,CRON/BTC,7.98e-06,8.02e-06,7.97e-06,8e-06,0.01217361555856,1521.70194482
1663459200000,2022-09-18 00:00:00,CRON/BTC,8.03e-06,8.18e-06,7.96e-06,7.98e-06,0.2603823760741728,32629.37043536
1663372800000,2022-09-17 00:00:00,CRON/BTC,8.13e-06,8.17e-06,8.01e-06,8.02e-06,0.2472843768491104,30833.46344752
1663286400000,2022-09-16 00:00:00,CRON/BTC,8.05e-06,8.13e-06,8e-06,8.13e-06,0.2314919510775024,28473.79472048
1663200000000,2022-09-15 00:00:00,CRON/BTC,8.31e-06,8.36e-06,8e-06,8.05e-06,0.3064468185326415,38067.92776803
1663113600000,2022-09-14 00:00:00,CRON/BTC,8.44e-06,8.6e-06,8.3e-06,8.31e-06,0.2443923565980681,29409.42919351
1663027200000,2022-09-13 00:00:00,CRON/BTC,8.02e-06,8.45e-06,7.96e-06,8.44e-06,0.3129677260696912,37081.48413148
1662940800000,2022-09-12 00:00:00,CRON/BTC,8.26e-06,8.32e-06,7.99e-06,8.01e-06,0.25614783544217395,31978.5062974
1662854400000,2022-09-11 00:00:00,CRON/BTC,8.29e-06,8.39e-06,8.17e-06,8.26e-06,0.15579107477705942,18860.90493669
1662768000000,2022-09-10 00:00:00,CRON/BTC,8.17e-06,8.36e-06,8.1e-06,8.3e-06,0.173337590196944,20884.04701168
1662681600000,2022-09-09 00:00:00,CRON/BTC,8.57e-06,8.57e-06,8.15e-06,8.17e-06,0.24847393748736238,30412.96664472
1662595200000,2022-09-08 00:00:00,CRON/BTC,8.59e-06,8.65e-06,8.48e-06,8.56e-06,0.41385409010570956,48347.44043291
1662508800000,2022-09-07 00:00:00,CRON/BTC,8.53e-06,8.66e-06,8.4e-06,8.59e-06,0.40054652886088843,46629.39800476
1662422400000,2022-09-06 00:00:00,CRON/BTC,8.31e-06,9.29e-06,8.3e-06,8.53e-06,0.466067237390667,54638.5975839
1662336000000,2022-09-05 00:00:00,CRON/BTC,8.39e-06,8.59e-06,8.29e-06,8.3e-06,0.385579184215103,46455.32339941
1662249600000,2022-09-04 00:00:00,CRON/BTC,8.06e-06,8.55e-06,8.02e-06,8.4e-06,0.32843600369034,39099.52424885
1662163200000,2022-09-03 00:00:00,CRON/BTC,8.11e-06,8.21e-06,8.01e-06,8.06e-06,0.28325305445536586,35143.05886543
1662076800000,2022-09-02 00:00:00,CRON/BTC,8.36e-06,8.57e-06,8.02e-06,8.12e-06,0.3490104291584344,42981.57994562
1661990400000,2022-09-01 00:00:00,CRON/BTC,8.86e-06,8.93e-06,8.35e-06,8.38e-06,0.4192492898968098,50029.74819771
1661904000000,2022-08-31 00:00:00,CRON/BTC,9.08e-06,9.13e-06,8.75e-06,8.86e-06,0.34344030627174543,38763.01425189
1661817600000,2022-08-30 00:00:00,CRON/BTC,9.17e-06,9.44e-06,8.82e-06,9.06e-06,0.3214827837371016,35483.75096436
1661731200000,2022-08-29 00:00:00,CRON/BTC,8.84e-06,9.21e-06,8.72e-06,9.16e-06,0.324808286426896,35459.4199156
1661644800000,2022-08-28 00:00:00,CRON/BTC,9.05e-06,9.12e-06,8.39e-06,8.84e-06,0.31095071606372804,35175.4203692
1661558400000,2022-08-27 00:00:00,CRON/BTC,9.03e-06,9.25e-06,8.91e-06,9.05e-06,0.3116031964792825,34431.29242865
1661472000000,2022-08-26 00:00:00,CRON/BTC,8.57e-06,9.06e-06,8.35e-06,9.04e-06,0.4626385117663832,51176.82652283
1661385600000,2022-08-25 00:00:00,CRON/BTC,8.36e-06,8.59e-06,8.3e-06,8.57e-06,0.28310624151144154,33034.56727088
1661299200000,2022-08-24 00:00:00,CRON/BTC,8.27e-06,8.38e-06,8.16e-06,8.36e-06,0.27539413595476636,32941.88229124
1661212800000,2022-08-23 00:00:00,CRON/BTC,8.17e-06,8.38e-06,8.03e-06,8.26e-06,0.2833619871623632,34305.32532232
1661126400000,2022-08-22 00:00:00,CRON/BTC,8.1e-06,8.14e-06,8.09e-06,8.13e-06,0.0097801461,1202.97
