https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DMG,Volume USDT
1663545600000.0,2022-09-19 00:00:00,DMG/USDT,0.009,0.009,0.009,0.009,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,DMG/USDT,0.009,0.009,0.009,0.009,6.9,0.0621
1663372800000.0,2022-09-17 00:00:00,DMG/USDT,0.009,0.009,0.009,0.009,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,DMG/USDT,0.009,0.009,0.009,0.009,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,DMG/USDT,0.009,0.01,0.008,0.009,40660.100000000006,365.9409
1663113600000.0,2022-09-14 00:00:00,DMG/USDT,0.01,0.01,0.009,0.009,100753.83333333334,906.7845
1663027200000.0,2022-09-13 00:00:00,DMG/USDT,0.01,0.01,0.009,0.01,10688.65,106.8865
1662940800000.0,2022-09-12 00:00:00,DMG/USDT,0.01,0.01,0.009,0.01,105777.32,1057.7732
1662854400000.0,2022-09-11 00:00:00,DMG/USDT,0.011,0.011,0.009,0.01,2.32,0.0232
1662768000000.0,2022-09-10 00:00:00,DMG/USDT,0.009,0.011,0.009,0.011,24540.9,269.9499
1662681600000.0,2022-09-09 00:00:00,DMG/USDT,0.011,0.011,0.009,0.009,41690.03333333334,375.2103
1662595200000.0,2022-09-08 00:00:00,DMG/USDT,0.01,0.016,0.008,0.011,78291958.54545455,861211.544
1662508800000.0,2022-09-07 00:00:00,DMG/USDT,0.009,0.01,0.009,0.01,2122.9700000000003,21.2297
1662422400000.0,2022-09-06 00:00:00,DMG/USDT,0.009,0.01,0.009,0.009,0.21111111111111114,0.0019
1662336000000.0,2022-09-05 00:00:00,DMG/USDT,0.009,0.01,0.009,0.009,4243.022222222222,38.1872
1662249600000.0,2022-09-04 00:00:00,DMG/USDT,0.009,0.009,0.009,0.009,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,DMG/USDT,0.009,0.01,0.009,0.009,7402.2444444444445,66.6202
1662076800000.0,2022-09-02 00:00:00,DMG/USDT,0.009,0.011,0.009,0.009,16439.555555555555,147.956
1661990400000.0,2022-09-01 00:00:00,DMG/USDT,0.011,0.011,0.009,0.009,21376.31111111111,192.3868
1661904000000.0,2022-08-31 00:00:00,DMG/USDT,0.01,0.011,0.01,0.011,13572.500000000002,149.2975
1661817600000.0,2022-08-30 00:00:00,DMG/USDT,0.01,0.01,0.01,0.01,10000.0,100.0
1661731200000.0,2022-08-29 00:00:00,DMG/USDT,0.01,0.01,0.01,0.01,60457.6,604.576
1661644800000.0,2022-08-28 00:00:00,DMG/USDT,0.01,0.01,0.01,0.01,41118.200000000004,411.182
1661558400000.0,2022-08-27 00:00:00,DMG/USDT,0.011,0.011,0.01,0.01,704.6999999999999,7.047
1661472000000.0,2022-08-26 00:00:00,DMG/USDT,0.011,0.011,0.011,0.011,0.0,0.0
1661385600000.0,2022-08-25 00:00:00,DMG/USDT,0.011,0.013,0.009,0.011,11117507.190909091,122292.5791
1661299200000.0,2022-08-24 00:00:00,DMG/USDT,0.011,0.011,0.009,0.011,104935.80909090908,1154.2939
1661212800000.0,2022-08-23 00:00:00,DMG/USDT,0.011,0.011,0.011,0.011,2702.5,29.7275
1661126400000.0,2022-08-22 00:00:00,DMG/USDT,0.009,0.011,0.009,0.011,1111.118181818182,12.2223
1661040000000.0,2022-08-21 00:00:00,DMG/USDT,0.009,0.009,0.009,0.009,1090.8,9.8172
1660953600000.0,2022-08-20 00:00:00,DMG/USDT,0.009,0.009,0.009,0.009,2500.0,22.5
1660867200000.0,2022-08-19 00:00:00,DMG/USDT,0.011,0.011,0.009,0.009,118996.52222222222,1070.9687
1660780800000.0,2022-08-18 00:00:00,DMG/USDT,0.01,0.011,0.01,0.011,6657.072727272728,73.2278
1660694400000.0,2022-08-17 00:00:00,DMG/USDT,0.011,0.011,0.01,0.01,5402.82,54.0282
1660608000000.0,2022-08-16 00:00:00,DMG/USDT,0.011,0.011,0.011,0.011,0.0,0.0
1660521600000.0,2022-08-15 00:00:00,DMG/USDT,0.011,0.011,0.01,0.011,2832.1545454545458,31.1537
1660435200000.0,2022-08-14 00:00:00,DMG/USDT,0.01,0.013,0.01,0.011,5171.536363636364,56.8869
1660348800000.0,2022-08-13 00:00:00,DMG/USDT,0.011,0.017,0.009,0.01,67893657.03,678936.5703
