https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume USDT
1663462800,2022-09-18 01:00:00,FTT/USDT,24.451,24.486,24.443,24.486,13.10553705,320.56615237421
1663459200,2022-09-18 00:00:00,FTT/USDT,24.643,24.643,24.431,24.452,23.30330761,570.88988589222
1663455600,2022-09-17 23:00:00,FTT/USDT,24.6,24.655,24.588,24.646,48.47373822,1192.74636327012
1663452000,2022-09-17 22:00:00,FTT/USDT,24.491,24.621,24.491,24.601,8.16857351,200.68666312933
1663448400,2022-09-17 21:00:00,FTT/USDT,24.563,24.569,24.439,24.506,103.23483191,2529.13417197127
1663444800,2022-09-17 20:00:00,FTT/USDT,24.497,24.556,24.47,24.556,26.80707507,656.29759641427
1663441200,2022-09-17 19:00:00,FTT/USDT,24.557,24.557,24.464,24.501,143.71277972,3521.17542937268
1663437600,2022-09-17 18:00:00,FTT/USDT,24.576,24.604,24.511,24.548,75.47372699,1853.75244885365
1663434000,2022-09-17 17:00:00,FTT/USDT,24.597,24.655,24.527,24.579,45.15586081,1110.96841155626
1663430400,2022-09-17 16:00:00,FTT/USDT,24.377,24.597,24.377,24.597,100.17639873,2456.73298315033
1663426800,2022-09-17 15:00:00,FTT/USDT,24.312,24.438,24.287,24.377,118.24306164,2886.20268751643
1663423200,2022-09-17 14:00:00,FTT/USDT,24.206,24.332,24.196,24.332,80.48592356,1954.57763767522
1663419600,2022-09-17 13:00:00,FTT/USDT,24.164,24.225,24.154,24.219,240.21245929,5811.49371207904
1663416000,2022-09-17 12:00:00,FTT/USDT,24.13,24.183,24.053,24.164,98.99290434,2387.94814075339
1663412400,2022-09-17 11:00:00,FTT/USDT,24.18,24.18,24.109,24.116,32.03758809,772.8028442431
1663408800,2022-09-17 10:00:00,FTT/USDT,24.231,24.235,24.11,24.17,221.41308343,5360.1594134457
1663405200,2022-09-17 09:00:00,FTT/USDT,24.244,24.253,24.201,24.222,24.72614096,598.96956103041
1663401600,2022-09-17 08:00:00,FTT/USDT,24.222,24.25,24.203,24.238,16.75037443,405.8490945669
