https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAPPX,Volume USDT
1663459200,2022-09-18 00:00:00,DAPPX/USDT,0.005591,0.005599,0.005432,0.005517,1912348.7988,10562.7357973809
1663372800,2022-09-17 00:00:00,DAPPX/USDT,0.005375,0.006201,0.005316,0.005595,57912397.7411,325054.1120138776
1663286400,2022-09-16 00:00:00,DAPPX/USDT,0.005163,0.0062,0.00505,0.005374,62167375.2188,333704.0881149517
1663200000,2022-09-15 00:00:00,DAPPX/USDT,0.005548,0.005548,0.005001,0.005166,48643820.1071,253913.0951456329
1663113600,2022-09-14 00:00:00,DAPPX/USDT,0.005501,0.006702,0.00512,0.005549,92112204.4024,522985.4333157967
1663027200,2022-09-13 00:00:00,DAPPX/USDT,0.005101,0.0065,0.00495,0.005502,85066743.3897,467326.4513806574
1662940800,2022-09-12 00:00:00,DAPPX/USDT,0.005066,0.008109,0.004981,0.0051,153065547.1124,947590.7684671804
1662854400,2022-09-11 00:00:00,DAPPX/USDT,0.005057,0.0055,0.004951,0.005066,48403152.3887,247205.5699269826
1662768000,2022-09-10 00:00:00,DAPPX/USDT,0.004924,0.006803,0.004526,0.005058,85281592.9994,448112.1388631241
1662681600,2022-09-09 00:00:00,DAPPX/USDT,0.005018,0.005634,0.00451,0.004926,59236751.3109,298497.7473862889
1662595200,2022-09-08 00:00:00,DAPPX/USDT,0.006067,0.006095,0.00491,0.005019,77313963.1744,427411.9227440189
1662508800,2022-09-07 00:00:00,DAPPX/USDT,0.011605,0.0138,0.00565,0.00609,256876521.7393,2206240.5590482849
1662422400,2022-09-06 00:00:00,DAPPX/USDT,0.00392,0.014,0.00386,0.0117,215559520.46144293,1677462.17848499123687
1662336000,2022-09-05 00:00:00,DAPPX/USDT,0.003802,0.00404,0.00361,0.003918,29250660.7616,111158.5363551826
1662249600,2022-09-04 00:00:00,DAPPX/USDT,0.003724,0.00464,0.003724,0.0038,30132176.7182,117746.9789839825
1662163200,2022-09-03 00:00:00,DAPPX/USDT,0.003713,0.003925,0.003646,0.003724,22704895.3924,84781.1832612416
1662076800,2022-09-02 00:00:00,DAPPX/USDT,0.003761,0.00399,0.00364,0.003713,30679797.9103,116277.6611186001
1661990400,2022-09-01 00:00:00,DAPPX/USDT,0.003612,0.00426,0.003489,0.003761,32183278.8672,117328.553869437
1661904000,2022-08-31 00:00:00,DAPPX/USDT,0.003797,0.003951,0.003517,0.003613,24536497.6229,92248.8609560109
1661817600,2022-08-30 00:00:00,DAPPX/USDT,0.003841,0.004049,0.00376,0.003796,17605067.0231,67689.9616518723
1661731200,2022-08-29 00:00:00,DAPPX/USDT,0.003916,0.003981,0.003812,0.003839,17739941.6136,69203.9572580468
1661644800,2022-08-28 00:00:00,DAPPX/USDT,0.004238,0.0043,0.00389,0.003916,19824735.1283,79658.1891227782
1661558400,2022-08-27 00:00:00,DAPPX/USDT,0.00787,0.00839,0.003831,0.004239,72197121.9237,327946.2713165636
1661472000,2022-08-26 00:00:00,DAPPX/USDT,0.003958,0.00847,0.003379,0.007805,29132285.57143492,130294.42865310966753
1661385600,2022-08-25 00:00:00,DAPPX/USDT,0.004213,0.004228,0.0039,0.003958,17347009.3981,70318.1891203807
1661299200,2022-08-24 00:00:00,DAPPX/USDT,0.004267,0.004345,0.00413,0.004212,16415960.3788,68731.0419200801
1661212800,2022-08-23 00:00:00,DAPPX/USDT,0.004377,0.00445,0.004084,0.004267,18312033.4687,78661.6067581169
1661126400,2022-08-22 00:00:00,DAPPX/USDT,0.004249,0.00463,0.004217,0.004376,18011012.2404,78512.1954016969
1661040000,2022-08-21 00:00:00,DAPPX/USDT,0.004368,0.004589,0.00418,0.004249,17923507.6052,76634.7888012366
1660953600,2022-08-20 00:00:00,DAPPX/USDT,0.004233,0.00464,0.004186,0.004367,19595620.8269,84861.0445982164
1660867200,2022-08-19 00:00:00,DAPPX/USDT,0.00446,0.004492,0.004,0.004235,18588165.9762,78815.423409832
1660780800,2022-08-18 00:00:00,DAPPX/USDT,0.004469,0.005222,0.00423,0.004461,19494329.3918,88356.5421382847
1660694400,2022-08-17 00:00:00,DAPPX/USDT,0.004633,0.0047,0.004338,0.004467,18746742.7221,84811.8433440626
