https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE3S,Volume USDT
1663462800,2022-09-18 01:00:00,AAVE3S/USDT,0.0739,0.0739,0.0735,0.0736,6872.7377,506.75732906
1663459200,2022-09-18 00:00:00,AAVE3S/USDT,0.0723,0.0745,0.0723,0.0743,19820.111,1457.92700018
1663455600,2022-09-17 23:00:00,AAVE3S/USDT,0.0732,0.0732,0.0719,0.0722,26838.9569,1936.50240851
1663452000,2022-09-17 22:00:00,AAVE3S/USDT,0.0746,0.0746,0.073,0.073,11781.5336,868.89870851
1663448400,2022-09-17 21:00:00,AAVE3S/USDT,0.0738,0.075,0.0738,0.0743,81124.5782,6075.28189329
1663444800,2022-09-17 20:00:00,AAVE3S/USDT,0.0735,0.0735,0.0735,0.0735,0,0
1663441200,2022-09-17 19:00:00,AAVE3S/USDT,0.0735,0.0737,0.0735,0.0735,646.7581,47.56104731
1663437600,2022-09-17 18:00:00,AAVE3S/USDT,0.0732,0.0734,0.0731,0.0731,1686.1669,123.42571519
1663434000,2022-09-17 17:00:00,AAVE3S/USDT,0.0734,0.0739,0.0722,0.0732,24095.6931,1756.59607371
1663430400,2022-09-17 16:00:00,AAVE3S/USDT,0.0753,0.0753,0.0734,0.0735,48367.9157,3570.35549441
1663426800,2022-09-17 15:00:00,AAVE3S/USDT,0.0754,0.0754,0.0747,0.0752,99075.9194,7413.32518599
1663423200,2022-09-17 14:00:00,AAVE3S/USDT,0.0777,0.0777,0.0755,0.0755,8948.6,684.97536506
1663419600,2022-09-17 13:00:00,AAVE3S/USDT,0.0782,0.0782,0.0777,0.0779,5443.2093,423.18832468
1663416000,2022-09-17 12:00:00,AAVE3S/USDT,0.0782,0.0792,0.0778,0.0778,11940.47,941.02466609
1663412400,2022-09-17 11:00:00,AAVE3S/USDT,0.0776,0.0782,0.0776,0.0782,717.283,55.98984335
1663408800,2022-09-17 10:00:00,AAVE3S/USDT,0.0764,0.0779,0.0762,0.0772,7327.0249,568.00077239
1663405200,2022-09-17 09:00:00,AAVE3S/USDT,0.0768,0.0768,0.0764,0.0768,8690.2429,664.01430239
1663401600,2022-09-17 08:00:00,AAVE3S/USDT,0.077,0.077,0.0765,0.0765,917.9034,70.2573522
1663398000,2022-09-17 07:00:00,AAVE3S/USDT,0.0783,0.0783,0.077,0.0772,1570.0949,121.49212823
1663394400,2022-09-17 06:00:00,AAVE3S/USDT,0.0782,0.0788,0.0778,0.0788,1153.039,90.57645512
1663390800,2022-09-17 05:00:00,AAVE3S/USDT,0.0766,0.0786,0.0766,0.0783,3458.0193,267.68674014
1663387200,2022-09-17 04:00:00,AAVE3S/USDT,0.0772,0.0772,0.0757,0.0764,3063.4465,233.72209071
1663383600,2022-09-17 03:00:00,AAVE3S/USDT,0.0774,0.0776,0.0773,0.0776,387.257,30.032038
1663380000,2022-09-17 02:00:00,AAVE3S/USDT,0.0763,0.0778,0.0763,0.0778,2475.2192,190.77670495
1663376400,2022-09-17 01:00:00,AAVE3S/USDT,0.0771,0.0771,0.0758,0.0758,15939.5944,1218.98089577
1663372800,2022-09-17 00:00:00,AAVE3S/USDT,0.0786,0.0786,0.0745,0.0771,33687.855,2557.70121861
1663369200,2022-09-16 23:00:00,AAVE3S/USDT,0.0786,0.0797,0.0784,0.0785,20478.0075,1616.14356363
1663365600,2022-09-16 22:00:00,AAVE3S/USDT,0.0777,0.0786,0.0771,0.0786,91023.4364,7081.69363492
1663362000,2022-09-16 21:00:00,AAVE3S/USDT,0.0773,0.0778,0.0755,0.0776,18957.1474,1456.8840667
1663358400,2022-09-16 20:00:00,AAVE3S/USDT,0.0798,0.08,0.0773,0.0773,33016.0076,2589.02526878
1663354800,2022-09-16 19:00:00,AAVE3S/USDT,0.0806,0.0807,0.0798,0.0798,22628.8013,1818.83600286
1663351200,2022-09-16 18:00:00,AAVE3S/USDT,0.0822,0.0833,0.0806,0.0813,36648.2796,3013.97823601
1663347600,2022-09-16 17:00:00,AAVE3S/USDT,0.0814,0.0845,0.081,0.0826,47425.4487,3961.38091301
1663344000,2022-09-16 16:00:00,AAVE3S/USDT,0.0789,0.0843,0.0789,0.0819,46427.014,3831.28509151
1663340400,2022-09-16 15:00:00,AAVE3S/USDT,0.0794,0.0798,0.0774,0.0786,50982.8254,4006.04528436
1663336800,2022-09-16 14:00:00,AAVE3S/USDT,0.0833,0.0835,0.0773,0.0792,157961.0808,12408.29139347
1663333200,2022-09-16 13:00:00,AAVE3S/USDT,0.0799,0.0843,0.078,0.0832,50972.3801,4083.23153588
1663329600,2022-09-16 12:00:00,AAVE3S/USDT,0.0775,0.0806,0.0762,0.0799,56477.4244,4355.53225017
1663326000,2022-09-16 11:00:00,AAVE3S/USDT,0.0798,0.0805,0.0776,0.0776,48009.8155,3801.97434904
1663322400,2022-09-16 10:00:00,AAVE3S/USDT,0.0813,0.0825,0.0798,0.08,7261.9478,587.5544654
1663318800,2022-09-16 09:00:00,AAVE3S/USDT,0.0833,0.0834,0.0808,0.0813,18500.7914,1522.81979037
1663315200,2022-09-16 08:00:00,AAVE3S/USDT,0.0802,0.084,0.0802,0.084,16548.386,1357.96458993
1663311600,2022-09-16 07:00:00,AAVE3S/USDT,0.0795,0.0802,0.0793,0.0796,497.9912,39.66742568
1663308000,2022-09-16 06:00:00,AAVE3S/USDT,0.0796,0.0804,0.079,0.0801,7811.624,620.14891105
1663304400,2022-09-16 05:00:00,AAVE3S/USDT,0.0793,0.08,0.079,0.08,40662.0562,3214.19561521
1663300800,2022-09-16 04:00:00,AAVE3S/USDT,0.0809,0.0809,0.0793,0.0793,9097.8532,725.04951509
1663297200,2022-09-16 03:00:00,AAVE3S/USDT,0.0821,0.0823,0.0809,0.0809,5342.0835,438.66528515
1663293600,2022-09-16 02:00:00,AAVE3S/USDT,0.0805,0.0828,0.0805,0.0814,12796.4079,1050.22097985
1663290000,2022-09-16 01:00:00,AAVE3S/USDT,0.0796,0.0806,0.0791,0.0805,89804.8226,7170.1780702
1663286400,2022-09-16 00:00:00,AAVE3S/USDT,0.0811,0.0842,0.0794,0.0798,71046.4447,5805.97328715
1663282800,2022-09-15 23:00:00,AAVE3S/USDT,0.0806,0.082,0.0804,0.0813,31433.7629,2551.51717564
1663279200,2022-09-15 22:00:00,AAVE3S/USDT,0.0794,0.082,0.0794,0.0808,19809.2542,1605.3653421
1663275600,2022-09-15 21:00:00,AAVE3S/USDT,0.0788,0.0797,0.0784,0.0789,91181.6423,7182.03222073
1663272000,2022-09-15 20:00:00,AAVE3S/USDT,0.0791,0.0799,0.0782,0.0783,37957.1293,2982.62999631
1663268400,2022-09-15 19:00:00,AAVE3S/USDT,0.0793,0.0815,0.0784,0.0792,158641.2997,12603.23294384
1663264800,2022-09-15 18:00:00,AAVE3S/USDT,0.0777,0.0793,0.0771,0.0793,131662.1094,10278.03029429
1663261200,2022-09-15 17:00:00,AAVE3S/USDT,0.0776,0.0777,0.0766,0.0773,50263.315,3874.14363663
1663257600,2022-09-15 16:00:00,AAVE3S/USDT,0.0803,0.0804,0.0775,0.0776,22098.761,1731.9550316
1663254000,2022-09-15 15:00:00,AAVE3S/USDT,0.081,0.0826,0.0788,0.0798,113293.9459,9088.00682796
1663250400,2022-09-15 14:00:00,AAVE3S/USDT,0.0737,0.0828,0.0735,0.081,156161.2267,12222.37538768
1663246800,2022-09-15 13:00:00,AAVE3S/USDT,0.0737,0.0757,0.0737,0.0738,91956.4705,6908.25290238
1663243200,2022-09-15 12:00:00,AAVE3S/USDT,0.0738,0.0749,0.0725,0.0731,30331.5167,2218.54694546
1663239600,2022-09-15 11:00:00,AAVE3S/USDT,0.0753,0.076,0.0732,0.0732,15724.2642,1176.84025658
1663236000,2022-09-15 10:00:00,AAVE3S/USDT,0.0738,0.0753,0.0726,0.0753,30561.2161,2264.19914719
1663232400,2022-09-15 09:00:00,AAVE3S/USDT,0.0732,0.0745,0.0732,0.0737,46443.3023,3431.29598939
1663228800,2022-09-15 08:00:00,AAVE3S/USDT,0.0712,0.0748,0.0711,0.0732,47157.7143,3475.92628748
1663225200,2022-09-15 07:00:00,AAVE3S/USDT,0.0739,0.0739,0.0676,0.0705,100415.6476,7077.04843646
1663221600,2022-09-15 06:00:00,AAVE3S/USDT,0.0745,0.0777,0.0715,0.0739,91256.2694,6868.77748961
1663218000,2022-09-15 05:00:00,AAVE3S/USDT,0.076,0.0765,0.0739,0.0739,19068.1512,1425.16475464
1663214400,2022-09-15 04:00:00,AAVE3S/USDT,0.0755,0.0777,0.0749,0.076,46789.5136,3580.9762752
1663210800,2022-09-15 03:00:00,AAVE3S/USDT,0.0724,0.0766,0.0724,0.076,47545.5004,3585.51996683
1663207200,2022-09-15 02:00:00,AAVE3S/USDT,0.0715,0.0754,0.0714,0.0725,53598.7203,3936.13178387
1663203600,2022-09-15 01:00:00,AAVE3S/USDT,0.0702,0.0735,0.0701,0.0711,16141.7746,1166.84660817
1663200000,2022-09-15 00:00:00,AAVE3S/USDT,0.0691,0.0721,0.0691,0.0703,14996.6957,1062.93384123
1663196400,2022-09-14 23:00:00,AAVE3S/USDT,0.0684,0.0702,0.0684,0.0691,5542.3617,383.22116571
1663192800,2022-09-14 22:00:00,AAVE3S/USDT,0.0703,0.0708,0.0677,0.068,39324.5634,2735.61881608
1663189200,2022-09-14 21:00:00,AAVE3S/USDT,0.0733,0.075,0.0701,0.0701,30941.9398,2226.42288363
1663185600,2022-09-14 20:00:00,AAVE3S/USDT,0.0733,0.0738,0.0728,0.0736,32593.7815,2384.08984521
1663182000,2022-09-14 19:00:00,AAVE3S/USDT,0.0728,0.0738,0.0723,0.0734,55980.352,4078.68605335
1663178400,2022-09-14 18:00:00,AAVE3S/USDT,0.068,0.0729,0.068,0.0723,112081.2371,7941.23273104
1663174800,2022-09-14 17:00:00,AAVE3S/USDT,0.0673,0.068,0.0659,0.068,7633.6348,509.05966004
1663171200,2022-09-14 16:00:00,AAVE3S/USDT,0.0664,0.0679,0.0664,0.0673,235391.4981,15756.10720734
1663167600,2022-09-14 15:00:00,AAVE3S/USDT,0.0653,0.0664,0.0651,0.0664,34540.5616,2274.21963215
1663164000,2022-09-14 14:00:00,AAVE3S/USDT,0.066,0.0676,0.0648,0.0656,23565.532,1555.84108135
1663160400,2022-09-14 13:00:00,AAVE3S/USDT,0.0656,0.0686,0.065,0.0656,36390.7039,2443.62024047
1663156800,2022-09-14 12:00:00,AAVE3S/USDT,0.0684,0.07,0.0635,0.0654,67340.6921,4444.89995721
1663153200,2022-09-14 11:00:00,AAVE3S/USDT,0.0667,0.0691,0.0666,0.0678,14064.1765,955.2181411
1663149600,2022-09-14 10:00:00,AAVE3S/USDT,0.0668,0.0676,0.0667,0.0667,1130.5741,76.00020647
1663146000,2022-09-14 09:00:00,AAVE3S/USDT,0.0669,0.0678,0.0664,0.067,15432.3858,1030.89836345
1663142400,2022-09-14 08:00:00,AAVE3S/USDT,0.0684,0.0694,0.0663,0.0665,68295.8308,4642.10463486
1663138800,2022-09-14 07:00:00,AAVE3S/USDT,0.0666,0.0695,0.0655,0.068,53539.3035,3563.76633084
1663135200,2022-09-14 06:00:00,AAVE3S/USDT,0.0656,0.0671,0.0653,0.0671,21592.8137,1427.34942877
1663131600,2022-09-14 05:00:00,AAVE3S/USDT,0.0653,0.066,0.0652,0.066,6528.6741,428.03429006
1663128000,2022-09-14 04:00:00,AAVE3S/USDT,0.0666,0.0674,0.0653,0.0653,9736.3581,644.59514841
1663124400,2022-09-14 03:00:00,AAVE3S/USDT,0.0666,0.0674,0.0656,0.0666,20854.776,1384.73405108
1663120800,2022-09-14 02:00:00,AAVE3S/USDT,0.0677,0.0678,0.0661,0.0662,47435.7839,3176.67088498
1663117200,2022-09-14 01:00:00,AAVE3S/USDT,0.0693,0.0693,0.0679,0.0679,30718.4781,2095.77161112
1663113600,2022-09-14 00:00:00,AAVE3S/USDT,0.071,0.0724,0.0692,0.0692,46603.7826,3306.19322157
1663110000,2022-09-13 23:00:00,AAVE3S/USDT,0.0697,0.0716,0.0697,0.071,85975.1283,6035.28607417
1663106400,2022-09-13 22:00:00,AAVE3S/USDT,0.068,0.0701,0.068,0.0697,53449.1315,3694.86317549
1663102800,2022-09-13 21:00:00,AAVE3S/USDT,0.0674,0.0694,0.067,0.0677,61380.4621,4186.84629198
1663099200,2022-09-13 20:00:00,AAVE3S/USDT,0.0669,0.0673,0.0657,0.0672,22684.2816,1504.87807722
1663095600,2022-09-13 19:00:00,AAVE3S/USDT,0.0689,0.0702,0.0664,0.0664,112588.7546,7702.44725192
1663092000,2022-09-13 18:00:00,AAVE3S/USDT,0.0653,0.0689,0.0652,0.0689,43420.3934,2907.9688674
1663088400,2022-09-13 17:00:00,AAVE3S/USDT,0.0657,0.066,0.0647,0.0649,106031.3315,6926.55644683
1663084800,2022-09-13 16:00:00,AAVE3S/USDT,0.0662,0.0669,0.0649,0.0657,193008.3578,12593.11197168
1663081200,2022-09-13 15:00:00,AAVE3S/USDT,0.0666,0.0674,0.0652,0.0662,185607.2851,12262.49556988
1663077600,2022-09-13 14:00:00,AAVE3S/USDT,0.0652,0.0683,0.0644,0.0667,126003.8825,8307.27113631
1663074000,2022-09-13 13:00:00,AAVE3S/USDT,0.0644,0.0658,0.0634,0.0652,119363.6228,7727.77022512
1663070400,2022-09-13 12:00:00,AAVE3S/USDT,0.0535,0.0653,0.0521,0.0643,773183.0792,45505.95320793
1663066800,2022-09-13 11:00:00,AAVE3S/USDT,0.0543,0.0546,0.0532,0.0535,53024.7842,2874.07614271
1663063200,2022-09-13 10:00:00,AAVE3S/USDT,0.0563,0.0565,0.054,0.0542,39769.4174,2215.09845168
1663059600,2022-09-13 09:00:00,AAVE3S/USDT,0.0548,0.0564,0.054,0.056,38210.3715,2117.98478855
1663056000,2022-09-13 08:00:00,AAVE3S/USDT,0.0548,0.0552,0.0543,0.0552,1932.2794,105.82809335
1663052400,2022-09-13 07:00:00,AAVE3S/USDT,0.0557,0.056,0.0539,0.0547,12488.2312,686.96996404
1663048800,2022-09-13 06:00:00,AAVE3S/USDT,0.0558,0.0573,0.0545,0.0557,62117.5519,3460.32604409
1663045200,2022-09-13 05:00:00,AAVE3S/USDT,0.0555,0.0564,0.0549,0.0561,37274.3774,2075.97862014
1663041600,2022-09-13 04:00:00,AAVE3S/USDT,0.0555,0.0565,0.0544,0.056,70071.9415,3885.25604607
1663038000,2022-09-13 03:00:00,AAVE3S/USDT,0.0532,0.0568,0.0513,0.0556,196829.797,10653.60907276
1663034400,2022-09-13 02:00:00,AAVE3S/USDT,0.0577,0.0584,0.0526,0.0535,171548.3362,9506.57124808
1663030800,2022-09-13 01:00:00,AAVE3S/USDT,0.0578,0.0586,0.0567,0.0575,54216.3105,3131.14605498
1663027200,2022-09-13 00:00:00,AAVE3S/USDT,0.0557,0.061,0.0555,0.0578,229718.2036,13363.89042684
1663023600,2022-09-12 23:00:00,AAVE3S/USDT,0.0569,0.0571,0.0559,0.0559,130391.7026,7358.9675835
1663020000,2022-09-12 22:00:00,AAVE3S/USDT,0.0569,0.0576,0.056,0.0572,48678.5952,2757.35485242
1663016400,2022-09-12 21:00:00,AAVE3S/USDT,0.0549,0.0573,0.0549,0.0573,84409.8653,4773.76655926
1663012800,2022-09-12 20:00:00,AAVE3S/USDT,0.054,0.0552,0.0538,0.0546,38364.2851,2097.52406708
1663009200,2022-09-12 19:00:00,AAVE3S/USDT,0.0542,0.0554,0.0541,0.0543,16418.9211,899.5046672
1663005600,2022-09-12 18:00:00,AAVE3S/USDT,0.0546,0.0558,0.054,0.0543,26767.2488,1465.9000981
1663002000,2022-09-12 17:00:00,AAVE3S/USDT,0.0562,0.0565,0.0536,0.0542,143915.0348,7924.89459698
