https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PMON,Volume USDT
1663459200,2022-09-18 00:00:00,PMON/USDT,1.3446,1.345,1.3171,1.3289,2401.3785,3204.2986355
1663372800,2022-09-17 00:00:00,PMON/USDT,1.3523,1.4499,1.2821,1.345,124019.1064,165167.77486456
1663286400,2022-09-16 00:00:00,PMON/USDT,1.3065,1.4,1.2502,1.3565,100676.52,132014.13250052
1663200000,2022-09-15 00:00:00,PMON/USDT,1.38,2.1298,1.2861,1.305,362144.4106,585445.54332537
1663113600,2022-09-14 00:00:00,PMON/USDT,1.2533,1.4104,1.2258,1.3819,109101.3258,141225.62232928
1663027200,2022-09-13 00:00:00,PMON/USDT,1.2956,1.3389,1.25,1.2584,79787.6245,103568.83258663
1662940800,2022-09-12 00:00:00,PMON/USDT,1.356,1.3799,1.2802,1.3063,82336.3982,110761.06387086
1662854400,2022-09-11 00:00:00,PMON/USDT,1.3587,1.4347,1.3161,1.356,81178.7051,111182.1659144
1662768000,2022-09-10 00:00:00,PMON/USDT,1.3162,1.3999,1.3001,1.3649,85104.2811,114152.8347519
1662681600,2022-09-09 00:00:00,PMON/USDT,1.3061,1.4999,1.2858,1.3162,108373.9672,144521.04009696
1662595200,2022-09-08 00:00:00,PMON/USDT,1.3405,1.3495,1.2599,1.3114,85916.7166,112282.84865778
1662508800,2022-09-07 00:00:00,PMON/USDT,1.2734,1.3478,1.2203,1.3447,87403.0064,111072.01690333
1662422400,2022-09-06 00:00:00,PMON/USDT,1.2711,1.3796,1.25,1.278,89595.9221,116981.41629141
1662336000,2022-09-05 00:00:00,PMON/USDT,1.2761,1.3502,1.259,1.2771,82358.6105,105412.66231737
1662249600,2022-09-04 00:00:00,PMON/USDT,1.3138,1.3998,1.2601,1.2701,97154.1782,126057.64348246
1662163200,2022-09-03 00:00:00,PMON/USDT,1.3522,1.3559,1.2841,1.321,77380.9748,102467.14650137
1662076800,2022-09-02 00:00:00,PMON/USDT,1.2925,1.4223,1.2828,1.3447,90223.171,122705.46432426
1661990400,2022-09-01 00:00:00,PMON/USDT,1.3545,1.3898,1.2796,1.3015,85660.6019,113952.39345617
1661904000,2022-08-31 00:00:00,PMON/USDT,1.3022,1.685,1.2722,1.3603,205584.15440639,296530.1800046962
1661817600,2022-08-30 00:00:00,PMON/USDT,1.2725,1.348,1.2232,1.3054,96736.208,122956.38905896
1661731200,2022-08-29 00:00:00,PMON/USDT,1.2393,1.3216,1.19,1.2765,83837.4796,104256.59455295
1661644800,2022-08-28 00:00:00,PMON/USDT,1.2573,1.3323,1.19,1.2401,97589.5537,124346.40296621
1661558400,2022-08-27 00:00:00,PMON/USDT,1.28,1.3191,1.21,1.2624,80026.1752,100779.09350594
1661472000,2022-08-26 00:00:00,PMON/USDT,1.3699,1.3726,1.2564,1.2853,86054.1641,113345.68998213
1661385600,2022-08-25 00:00:00,PMON/USDT,1.42,1.4299,1.35,1.3726,79151.37,108571.9983832
1661299200,2022-08-24 00:00:00,PMON/USDT,1.37,1.4595,1.3605,1.4258,84184.627,116439.59218874
1661212800,2022-08-23 00:00:00,PMON/USDT,1.4688,1.4747,1.3551,1.3751,101058.8898,142305.40829086
1661126400,2022-08-22 00:00:00,PMON/USDT,1.6813,1.7779,1.4324,1.4742,127974.1808,198975.91094615
1661040000,2022-08-21 00:00:00,PMON/USDT,1.2973,7.4899,1.293,1.6792,411728.24209589,861819.700950407784
1660953600,2022-08-20 00:00:00,PMON/USDT,1.3134,1.3662,1.2822,1.3005,77183.4613,100659.77419061
1660867200,2022-08-19 00:00:00,PMON/USDT,1.3389,1.4193,1.2615,1.32,96373.5253,129294.84455474
1660780800,2022-08-18 00:00:00,PMON/USDT,1.3534,1.4332,1.318,1.3466,81085.4607,110765.60327651
1660694400,2022-08-17 00:00:00,PMON/USDT,1.3044,1.4077,1.2901,1.3534,84247.4077,112099.5965187
1660608000,2022-08-16 00:00:00,PMON/USDT,1.3422,1.3568,1.3,1.3099,67776.4094,90516.07522563
1660521600,2022-08-15 00:00:00,PMON/USDT,1.4233,1.484,1.3258,1.3482,79452.2183,110583.76014262
1660435200,2022-08-14 00:00:00,PMON/USDT,1.4616,1.4906,1.3842,1.4286,96493.7935,139168.53513741
1660348800,2022-08-13 00:00:00,PMON/USDT,1.3675,1.4617,1.35,1.4531,94523.5215,133456.92905199
1660262400,2022-08-12 00:00:00,PMON/USDT,1.333,1.387,1.2846,1.3619,83317.8196,111739.58229978
1660176000,2022-08-11 00:00:00,PMON/USDT,1.3855,1.4013,1.3316,1.333,73797.3007,101108.13508019
1660089600,2022-08-10 00:00:00,PMON/USDT,1.2872,1.42,1.2802,1.3941,88132.4233,118594.3786676
1660003200,2022-08-09 00:00:00,PMON/USDT,1.3215,1.3702,1.2585,1.291,89987.7513,117836.13348586
1659916800,2022-08-08 00:00:00,PMON/USDT,1.2948,1.3543,1.288,1.3257,74638.1332,98095.65986188
1659830400,2022-08-07 00:00:00,PMON/USDT,1.3373,1.3405,1.2607,1.2948,79848.3246,103130.35776475
1659744000,2022-08-06 00:00:00,PMON/USDT,1.3155,1.68,1.2832,1.3376,164251.4534,231712.59294949
1659657600,2022-08-05 00:00:00,PMON/USDT,1.2472,1.4296,1.1786,1.3203,94994.7826,119138.39445617
1659571200,2022-08-04 00:00:00,PMON/USDT,1.2674,1.2828,1.1909,1.2443,72149.5979,88483.72364945
1659484800,2022-08-03 00:00:00,PMON/USDT,1.3363,1.3497,1.19,1.2728,95496.1312,121491.36657172
1659398400,2022-08-02 00:00:00,PMON/USDT,1.3202,1.3576,1.27,1.3429,68436.2948,90720.17304066
