https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC
1663459200,2022-09-18 00:00:00,ETH/BTC,0.073025,0.073054,0.072526,0.072743,98.48768403,7.16328729139259
1663372800,2022-09-17 00:00:00,ETH/BTC,0.072412,0.073466,0.071343,0.073024,5211.66030829,376.41924871710034
1663286400,2022-09-16 00:00:00,ETH/BTC,0.074755,0.074963,0.072286,0.07242,8994.87485169,664.68351834033957
1663200000,2022-09-15 00:00:00,ETH/BTC,0.08096,0.081618,0.074285,0.074752,21093.94358026,1656.0610969822486
1663113600,2022-09-14 00:00:00,ETH/BTC,0.078039,0.080999,0.077442,0.08096,9218.35902389,729.66126282251186
1663027200,2022-09-13 00:00:00,ETH/BTC,0.076648,0.079864,0.07512,0.078039,12479.02580441,962.63079163424878
1662940800,2022-09-12 00:00:00,ETH/BTC,0.080911,0.08093,0.076355,0.07665,8371.40854985,656.56242512097719
1662854400,2022-09-11 00:00:00,ETH/BTC,0.081958,0.082274,0.080079,0.080915,4403.46477111,358.96863144471359
1662768000,2022-09-10 00:00:00,ETH/BTC,0.080454,0.082188,0.080248,0.08196,5647.11383554,457.55979212465678
1662681600,2022-09-09 00:00:00,ETH/BTC,0.084651,0.084938,0.080108,0.080455,10269.80742585,839.63812863955656
1662595200,2022-09-08 00:00:00,ETH/BTC,0.084483,0.085533,0.08375,0.084641,5212.46430633,441.01309914476481
1662508800,2022-09-07 00:00:00,ETH/BTC,0.082955,0.085592,0.080247,0.084488,12412.74508351,1021.81053265327362
1662422400,2022-09-06 00:00:00,ETH/BTC,0.08171,0.08489,0.081675,0.082954,8290.64366594,690.47971385965051
1662336000,2022-09-05 00:00:00,ETH/BTC,0.078945,0.082017,0.078942,0.081705,5618.35963565,450.70228660021328
1662249600,2022-09-04 00:00:00,ETH/BTC,0.078531,0.079364,0.07838,0.078945,3754.87794566,295.97513462397175
1662163200,2022-09-03 00:00:00,ETH/BTC,0.078966,0.078966,0.077676,0.078537,4648.39634507,364.5677437362395
1662076800,2022-09-02 00:00:00,ETH/BTC,0.078772,0.080765,0.078111,0.078966,8836.67933633,702.00604718370325
1661990400,2022-09-01 00:00:00,ETH/BTC,0.077526,0.079195,0.076838,0.078772,9121.23656685,711.10164691447118
1661904000,2022-08-31 00:00:00,ETH/BTC,0.07696,0.079228,0.0769,0.077525,12577.15220171,981.6342982798143
1661817600,2022-08-30 00:00:00,ETH/BTC,0.076494,0.078259,0.075296,0.076961,12591.14607751,970.31112277852066
1661731200,2022-08-29 00:00:00,ETH/BTC,0.072959,0.076863,0.072722,0.0765,6540.36623315,490.3683335676391
1661644800,2022-08-28 00:00:00,ETH/BTC,0.074426,0.075,0.072864,0.07295,4897.97399658,363.81616578613702
1661558400,2022-08-27 00:00:00,ETH/BTC,0.074515,0.074755,0.072968,0.074426,6011.91753617,445.69235765975261
1661472000,2022-08-26 00:00:00,ETH/BTC,0.078631,0.07865,0.073968,0.07452,12474.61834968,956.80110256317751
1661385600,2022-08-25 00:00:00,ETH/BTC,0.07752,0.079364,0.0775,0.078631,5655.51620205,444.15846110134965
1661299200,2022-08-24 00:00:00,ETH/BTC,0.07736,0.078019,0.075794,0.07752,6953.80283167,534.68032160741219
1661212800,2022-08-23 00:00:00,ETH/BTC,0.075914,0.077477,0.074582,0.07736,7417.49676427,564.96422921142505
1661126400,2022-08-22 00:00:00,ETH/BTC,0.075199,0.076029,0.073107,0.075915,5276.13489405,392.20640030252163
1661040000,2022-08-21 00:00:00,ETH/BTC,0.074533,0.076032,0.07419,0.075246,5717.81405292,430.21288417826253
1660953600,2022-08-20 00:00:00,ETH/BTC,0.07724,0.077666,0.073287,0.074534,7248.39643561,551.72510026044339
1660867200,2022-08-19 00:00:00,ETH/BTC,0.079604,0.081158,0.077018,0.07724,12258.98287096,971.61669149404295
1660780800,2022-08-18 00:00:00,ETH/BTC,0.078585,0.080287,0.07822,0.079601,6608.14404005,524.38637062880015
1660694400,2022-08-17 00:00:00,ETH/BTC,0.078675,0.080076,0.077918,0.078595,9172.81108859,723.86650475090984
1660608000,2022-08-16 00:00:00,ETH/BTC,0.078835,0.07951,0.077941,0.078681,6816.2666384,536.23731402534447
