https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USDT,tradecount
1597201200000,2020-08-12 03:00:00,DAI/USDT,1.01820000,1.01890000,1.01660000,1.01890000,50821.14000000,51741.75294600,149
1597197600000,2020-08-12 02:00:00,DAI/USDT,1.01840000,1.01900000,1.01670000,1.01730000,150183.64000000,152808.79166900,458
1597194000000,2020-08-12 01:00:00,DAI/USDT,1.01650000,1.01920000,1.01540000,1.01890000,247927.91000000,252350.60937100,497
1597190400000,2020-08-12 00:00:00,DAI/USDT,1.01760000,1.01840000,1.01650000,1.01660000,298467.53000000,303595.23343400,991
1597186800000,2020-08-11 23:00:00,DAI/USDT,1.01760000,1.02000000,1.01740000,1.01760000,106371.61000000,108286.23730400,621
1597183200000,2020-08-11 22:00:00,DAI/USDT,1.01830000,1.02160000,1.01760000,1.01760000,100890.37000000,102770.59678400,682
1597179600000,2020-08-11 21:00:00,DAI/USDT,1.01850000,1.02260000,1.01800000,1.01830000,177790.47000000,181262.91670800,830
1597176000000,2020-08-11 20:00:00,DAI/USDT,1.01790000,1.01990000,1.01690000,1.01850000,115143.60000000,117288.88198400,514
1597172400000,2020-08-11 19:00:00,DAI/USDT,1.01710000,1.01790000,1.01660000,1.01710000,119821.30000000,121874.16380200,583
1597168800000,2020-08-11 18:00:00,DAI/USDT,1.01780000,1.01840000,1.01710000,1.01710000,185334.37000000,188579.84153400,761
1597165200000,2020-08-11 17:00:00,DAI/USDT,1.01830000,1.01940000,1.01760000,1.01790000,125601.75000000,127877.61311100,597
1597161600000,2020-08-11 16:00:00,DAI/USDT,1.01800000,1.01840000,1.01760000,1.01830000,131057.77000000,133419.94054100,627
1597158000000,2020-08-11 15:00:00,DAI/USDT,1.01790000,1.01850000,1.01620000,1.01800000,223880.04000000,227914.02949500,557
1597154400000,2020-08-11 14:00:00,DAI/USDT,1.01690000,1.01790000,1.01690000,1.01790000,159793.29000000,162608.61891400,134
1597150800000,2020-08-11 13:00:00,DAI/USDT,1.01650000,1.01710000,1.01510000,1.01690000,110329.40000000,112177.01680200,185
1597147200000,2020-08-11 12:00:00,DAI/USDT,1.01660000,1.01670000,1.01500000,1.01650000,68577.02000000,69708.59791300,133
1597143600000,2020-08-11 11:00:00,DAI/USDT,1.01670000,1.01670000,1.01460000,1.01660000,56453.94000000,57376.98860400,86
1597140000000,2020-08-11 10:00:00,DAI/USDT,1.01560000,1.01670000,1.01440000,1.01670000,36420.58000000,36994.47846800,98
1597136400000,2020-08-11 09:00:00,DAI/USDT,1.01500000,1.01620000,1.01500000,1.01560000,21322.83000000,21662.56764400,41
1597132800000,2020-08-11 08:00:00,DAI/USDT,1.01540000,1.01610000,1.01370000,1.01500000,50210.26000000,50951.13092100,78
1597129200000,2020-08-11 07:00:00,DAI/USDT,1.01570000,1.01630000,1.01370000,1.01540000,21992.48000000,22329.35756000,51
1597125600000,2020-08-11 06:00:00,DAI/USDT,1.01620000,1.01630000,1.01360000,1.01410000,112890.33000000,114587.92710700,170
1597122000000,2020-08-11 05:00:00,DAI/USDT,1.01530000,1.01630000,1.01470000,1.01630000,22771.34000000,23114.52814600,39
1597118400000,2020-08-11 04:00:00,DAI/USDT,1.01500000,1.01650000,1.01490000,1.01620000,13918.01000000,14131.91493300,21
1597114800000,2020-08-11 03:00:00,DAI/USDT,1.01690000,1.01710000,1.01470000,1.01500000,22553.31000000,22895.01362500,40
1597111200000,2020-08-11 02:00:00,DAI/USDT,1.01560000,1.01750000,1.01560000,1.01700000,209730.27000000,213179.74522100,113
1597107600000,2020-08-11 01:00:00,DAI/USDT,1.01590000,1.01700000,1.01530000,1.01700000,74321.14000000,75494.72563800,43
1597104000000,2020-08-11 00:00:00,DAI/USDT,1.01520000,1.01720000,1.01460000,1.01600000,263166.61000000,267270.11191800,150
1597100400000,2020-08-10 23:00:00,DAI/USDT,1.01500000,1.01650000,1.01500000,1.01610000,22288.44000000,22638.09413000,36
1597096800000,2020-08-10 22:00:00,DAI/USDT,1.01510000,1.01660000,1.01480000,1.01510000,7737.88000000,7856.71239700,35
1597093200000,2020-08-10 21:00:00,DAI/USDT,1.01730000,1.01740000,1.01510000,1.01510000,11143.24000000,11328.62920300,37
1597089600000,2020-08-10 20:00:00,DAI/USDT,1.01550000,1.01750000,1.01550000,1.01610000,68475.30000000,69636.55186500,56
1597086000000,2020-08-10 19:00:00,DAI/USDT,1.01540000,1.01680000,1.01540000,1.01550000,73842.24000000,75058.24254600,59
1597082400000,2020-08-10 18:00:00,DAI/USDT,1.01630000,1.01640000,1.01320000,1.01540000,82106.70000000,83364.84215800,82
1597078800000,2020-08-10 17:00:00,DAI/USDT,1.01520000,1.01640000,1.01310000,1.01390000,279797.28000000,283814.22682600,191
1597075200000,2020-08-10 16:00:00,DAI/USDT,1.01400000,1.01650000,1.01350000,1.01520000,178745.88000000,181291.60194500,147
1597071600000,2020-08-10 15:00:00,DAI/USDT,1.01490000,1.01490000,1.01400000,1.01400000,60821.15000000,61687.56774600,51
1597068000000,2020-08-10 14:00:00,DAI/USDT,1.01580000,1.01600000,1.01400000,1.01490000,89509.33000000,90813.68453200,100
1597064400000,2020-08-10 13:00:00,DAI/USDT,1.01670000,1.01670000,1.01470000,1.01580000,7781.38000000,7903.55029900,35
1597060800000,2020-08-10 12:00:00,DAI/USDT,1.01750000,1.01860000,1.01620000,1.01620000,34175.24000000,34773.80712600,97
1597057200000,2020-08-10 11:00:00,DAI/USDT,1.01580000,1.01800000,1.01450000,1.01800000,16063.77000000,16316.59997500,42
1597053600000,2020-08-10 10:00:00,DAI/USDT,1.01550000,1.01800000,1.01410000,1.01670000,44535.22000000,45253.65340700,80
1597050000000,2020-08-10 09:00:00,DAI/USDT,1.01590000,1.01760000,1.01500000,1.01500000,86750.93000000,88131.75476100,54
1597046400000,2020-08-10 08:00:00,DAI/USDT,1.01750000,1.01760000,1.01390000,1.01510000,67905.35000000,68979.70977100,110
1597042800000,2020-08-10 07:00:00,DAI/USDT,1.01570000,1.01750000,1.01530000,1.01750000,11079.82000000,11267.12132900,33
1597039200000,2020-08-10 06:00:00,DAI/USDT,1.01590000,1.01590000,1.01360000,1.01420000,5406.58000000,5487.23322200,23
1597035600000,2020-08-10 05:00:00,DAI/USDT,1.01360000,1.01590000,1.01360000,1.01590000,10603.54000000,10766.64945800,36
1597032000000,2020-08-10 04:00:00,DAI/USDT,1.01440000,1.01680000,1.01310000,1.01360000,19036.26000000,19320.82953800,42
1597028400000,2020-08-10 03:00:00,DAI/USDT,1.01660000,1.01660000,1.01390000,1.01600000,29855.76000000,30295.18960200,65
1597024800000,2020-08-10 02:00:00,DAI/USDT,1.01870000,1.01870000,1.01300000,1.01670000,122042.34000000,123859.69266200,155
1597021200000,2020-08-10 01:00:00,DAI/USDT,1.01770000,1.01900000,1.01460000,1.01710000,56104.06000000,57079.48347700,178
1597017600000,2020-08-10 00:00:00,DAI/USDT,1.01680000,1.01780000,1.01600000,1.01720000,7979.89000000,8114.14565600,42
1597014000000,2020-08-09 23:00:00,DAI/USDT,1.01660000,1.01710000,1.01500000,1.01680000,8159.58000000,8287.36009500,37
1597010400000,2020-08-09 22:00:00,DAI/USDT,1.01700000,1.01740000,1.01450000,1.01540000,14582.47000000,14809.05948700,45
