https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMM,Volume USDT
1663459200,2022-09-18 00:00:00,GMM/USDT,0.000823,0.000827,0.000823,0.000827,4914310.7207,4056.1939660189
1663372800,2022-09-17 00:00:00,GMM/USDT,0.000835,0.000845,0.000811,0.000823,138851261.7533,114829.0052815856
1663286400,2022-09-16 00:00:00,GMM/USDT,0.000855,0.000855,0.00081,0.000835,111851620.0725,93419.942192887
1663200000,2022-09-15 00:00:00,GMM/USDT,0.000861,0.000881,0.000847,0.000855,112613296.9326,96406.3596679833
1663113600,2022-09-14 00:00:00,GMM/USDT,0.00092,0.00092,0.000851,0.000861,125486155.5432,111503.2961818096
1663027200,2022-09-13 00:00:00,GMM/USDT,0.000928,0.000979,0.000898,0.00092,139439612.6713,127745.138166793
1662940800,2022-09-12 00:00:00,GMM/USDT,0.000947,0.000957,0.000902,0.000928,119160053.9462,111089.5831435983
1662854400,2022-09-11 00:00:00,GMM/USDT,0.00096,0.000997,0.00093,0.000946,93978337.6672,89650.6279418807
1662768000,2022-09-10 00:00:00,GMM/USDT,0.00099,0.001003,0.000943,0.00096,149602951.9677,144885.3207502228
1662681600,2022-09-09 00:00:00,GMM/USDT,0.000938,0.001002,0.000919,0.000984,153442724.6658,146441.0050747457
1662595200,2022-09-08 00:00:00,GMM/USDT,0.000933,0.000988,0.000916,0.000938,143168541.3866,134715.6470236763
1662508800,2022-09-07 00:00:00,GMM/USDT,0.000975,0.000997,0.000897,0.000933,77442607.3418,73155.8161046835
1662422400,2022-09-06 00:00:00,GMM/USDT,0.000994,0.00103,0.000954,0.000977,75431352.7198,74884.6136601573
1662336000,2022-09-05 00:00:00,GMM/USDT,0.000997,0.001025,0.000987,0.000994,70409507.403,70468.7075827228
1662249600,2022-09-04 00:00:00,GMM/USDT,0.00101,0.001021,0.000963,0.000997,25946911.3957,25856.8828027942
1662163200,2022-09-03 00:00:00,GMM/USDT,0.001115,0.001132,0.000973,0.001011,25546731.6964,26457.954146735
1662076800,2022-09-02 00:00:00,GMM/USDT,0.000946,0.001315,0.000943,0.001107,221848847.1156,239607.5486007672
1661990400,2022-09-01 00:00:00,GMM/USDT,0.000947,0.000962,0.000921,0.000946,68717748.8753,64944.1825073703
1661904000,2022-08-31 00:00:00,GMM/USDT,0.000932,0.000958,0.000918,0.000947,103017900.9225,96998.1929214849
1661817600,2022-08-30 00:00:00,GMM/USDT,0.000945,0.000982,0.000919,0.000932,62504670.8856,58885.0292868849
1661731200,2022-08-29 00:00:00,GMM/USDT,0.000933,0.000987,0.000909,0.000945,37020914.1897,35167.8380272297
1661644800,2022-08-28 00:00:00,GMM/USDT,0.000977,0.000997,0.000932,0.000938,11604066.4703,11272.9407199831
1661558400,2022-08-27 00:00:00,GMM/USDT,0.001064,0.00107,0.000954,0.000975,38194324.8602,38874.9976691179
1661472000,2022-08-26 00:00:00,GMM/USDT,0.001138,0.001156,0.001039,0.001064,60549498.27,66711.9049951392
1661385600,2022-08-25 00:00:00,GMM/USDT,0.001291,0.001328,0.001026,0.00114,162242491.8625,187777.2822544831
1661299200,2022-08-24 00:00:00,GMM/USDT,0.001341,0.00135,0.001283,0.001291,35475928.9541,46718.8788259868
1661212800,2022-08-23 00:00:00,GMM/USDT,0.001364,0.001368,0.00133,0.001339,33886465.3575,45908.7248051965
1661126400,2022-08-22 00:00:00,GMM/USDT,0.001394,0.001401,0.001357,0.001362,31034725.2995,42613.2791783862
1661040000,2022-08-21 00:00:00,GMM/USDT,0.001373,0.001396,0.001372,0.001393,33612201.3941,46419.5700856846
1660953600,2022-08-20 00:00:00,GMM/USDT,0.00138,0.001404,0.00135,0.001371,46629718.4632,64378.8751546708
1660867200,2022-08-19 00:00:00,GMM/USDT,0.001415,0.001444,0.001331,0.001382,65555095.0966,91145.1836549813
1660780800,2022-08-18 00:00:00,GMM/USDT,0.00141,0.001499,0.00135,0.001415,54736438.8464,77246.0633409127
1660694400,2022-08-17 00:00:00,GMM/USDT,0.001403,0.001442,0.00137,0.00141,12488771.667,17570.2073892135
1660608000,2022-08-16 00:00:00,GMM/USDT,0.001412,0.001429,0.001376,0.001404,18285502.4062,25602.6754993987
1660521600,2022-08-15 00:00:00,GMM/USDT,0.001427,0.001435,0.001373,0.001412,25589163.1825,35934.2364269066
1660435200,2022-08-14 00:00:00,GMM/USDT,0.001477,0.001497,0.001391,0.001427,29680841.5116,42409.2149038845
