https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume VSY
1660784400000,2022-08-18 01:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.000234900391088,2936.2548886
1660780800000,2022-08-18 00:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0012813767345043001,18305.38192149
1660777200000,2022-08-17 23:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.002720073387788,34000.91734735
1660773600000,2022-08-17 22:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0016993298323096,21241.62290387
1660770000000,2022-08-17 21:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0013094115680254,18705.87954322
1660766400000,2022-08-17 20:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.001495137959344,18689.2244918
1660762800000,2022-08-17 19:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.0016521082660728,20651.35332591
1660759200000,2022-08-17 18:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0015518447288327998,19398.05911041
1660755600000,2022-08-17 17:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0013080477150342002,18686.39592906
1660752000000,2022-08-17 16:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0012879253368744002,18398.93338392
1660748400000,2022-08-17 15:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0012615938517784,18022.76931112
1660744800000,2022-08-17 14:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.061627078757641604,770338.48447052
1660741200000,2022-08-17 13:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0012288407049376,15360.50881172
1660737600000,2022-08-17 12:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0012537993915202,17911.41987886
1660734000000,2022-08-17 11:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0015175208523272002,18969.01065409
1660730400000,2022-08-17 10:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0014467342962991999,18084.17870374
1660726800000,2022-08-17 09:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0014742280872552002,18427.85109069
1660723200000,2022-08-17 08:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0022416411279241,32023.444684629998
1660719600000,2022-08-17 07:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0011698829147845002,16712.61306835
1660716000000,2022-08-17 06:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0015040248186279999,18800.31023285
1660712400000,2022-08-17 05:00:00,VSY/BTC,8e-08,8e-08,7e-08,7e-08,0.0010610689568381002,15158.12795483
1660708800000,2022-08-17 04:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0014514097265616002,18142.62158202
1660705200000,2022-08-17 03:00:00,VSY/BTC,8e-08,8e-08,7e-08,8e-08,0.0014090066567904003,17612.583209880002
1660701600000,2022-08-17 02:00:00,VSY/BTC,7e-08,8e-08,7e-08,8e-08,0.0016150787011344001,20188.48376418
1660698000000,2022-08-17 01:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0012563225322487002,17947.46474641
1660694400000,2022-08-17 00:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0011598270235278999,16568.95747897
1660690800000,2022-08-16 23:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0012442658004980002,17775.225721400002
1660687200000,2022-08-16 22:00:00,VSY/BTC,7e-08,8e-08,7e-08,7e-08,0.0012569381943909,17956.25991987
