https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BASIC,Volume USDT
1663459200,2022-09-18 00:00:00,BASIC/USDT,0.00186,0.00191,0.0018,0.00189,2218417.305,4122.809475737
1663372800,2022-09-17 00:00:00,BASIC/USDT,0.0018,0.00189,0.00172,0.00187,10003702.3637,18163.5651703
1663286400,2022-09-16 00:00:00,BASIC/USDT,0.0019,0.002,0.00173,0.0018,19573925.1837,36195.415613289
1663200000,2022-09-15 00:00:00,BASIC/USDT,0.00173,0.00202,0.00164,0.00191,21654676.9237,40264.159677305
1663113600,2022-09-14 00:00:00,BASIC/USDT,0.00179,0.00196,0.0017,0.00172,10616974.4802,19284.838091392
1663027200,2022-09-13 00:00:00,BASIC/USDT,0.00196,0.00214,0.00151,0.00179,25140616.0802,45125.009618889
1662940800,2022-09-12 00:00:00,BASIC/USDT,0.00188,0.00229,0.0018,0.00194,17086408.163,33581.158909931
1662854400,2022-09-11 00:00:00,BASIC/USDT,0.00192,0.00199,0.00178,0.00187,13520161.8383,25476.278373142
1662768000,2022-09-10 00:00:00,BASIC/USDT,0.00175,0.00248,0.00175,0.00192,46189816.6113,91055.793416294
1662681600,2022-09-09 00:00:00,BASIC/USDT,0.00176,0.00188,0.00167,0.00176,17588329.9147,31253.612371261
1662595200,2022-09-08 00:00:00,BASIC/USDT,0.00162,0.00182,0.00159,0.00175,22658495.9562,39185.859374708
1662508800,2022-09-07 00:00:00,BASIC/USDT,0.00155,0.00299,0.00149,0.00163,113983756.3762,214785.043871805
1662422400,2022-09-06 00:00:00,BASIC/USDT,0.00157,0.00177,0.00153,0.00157,5568909.7679,9169.604734354
1662336000,2022-09-05 00:00:00,BASIC/USDT,0.00162,0.00166,0.00153,0.00157,1109729.6715,1768.557118161
1662249600,2022-09-04 00:00:00,BASIC/USDT,0.00167,0.00167,0.00158,0.00162,2984948.7645,4814.480519277
1662163200,2022-09-03 00:00:00,BASIC/USDT,0.00183,0.00188,0.00158,0.00168,11656307.1526,19862.902572559
1662076800,2022-09-02 00:00:00,BASIC/USDT,0.00215,0.00291,0.00163,0.00183,52867288.3372,109828.872463035
1661990400,2022-09-01 00:00:00,BASIC/USDT,0.00177,0.0025,0.00173,0.00215,12544040.6905,26879.771955846
1661904000,2022-08-31 00:00:00,BASIC/USDT,0.00181,0.00191,0.00177,0.00177,4580799.3848,8435.147562009
1661817600,2022-08-30 00:00:00,BASIC/USDT,0.00186,0.00226,0.00179,0.00181,20625836.4293,39425.856635424
1661731200,2022-08-29 00:00:00,BASIC/USDT,0.00188,0.0032,0.0017,0.00187,54808362.31622221,119209.7782002621935
1661644800,2022-08-28 00:00:00,BASIC/USDT,0.00189,0.00197,0.00185,0.00188,677521.4084,1295.612545926
1661558400,2022-08-27 00:00:00,BASIC/USDT,0.00186,0.00193,0.00185,0.00189,116448.2748,220.509535965
1661472000,2022-08-26 00:00:00,BASIC/USDT,0.00195,0.00204,0.00178,0.00186,763314.5663,1472.846691868
1661385600,2022-08-25 00:00:00,BASIC/USDT,0.00196,0.00201,0.00192,0.00197,398332.5301,781.844387788
1661299200,2022-08-24 00:00:00,BASIC/USDT,0.00195,0.002,0.00191,0.00196,174748.7832,338.204425044
1661212800,2022-08-23 00:00:00,BASIC/USDT,0.00188,0.00225,0.00184,0.00194,5222898.2055,10612.694115051
1661126400,2022-08-22 00:00:00,BASIC/USDT,0.00203,0.00207,0.00179,0.00188,1841674.0621,3514.8018144657499
1661040000,2022-08-21 00:00:00,BASIC/USDT,0.00206,0.00211,0.00198,0.00204,837781.7614,1698.332558093
1660953600,2022-08-20 00:00:00,BASIC/USDT,0.00191,0.00226,0.00184,0.00204,914010.3911,1835.092450821
1660867200,2022-08-19 00:00:00,BASIC/USDT,0.00226,0.00226,0.00191,0.00192,555853.9987,1151.298679555
1660780800,2022-08-18 00:00:00,BASIC/USDT,0.00225,0.0023,0.00219,0.00226,385956.6634,871.606360548
1660694400,2022-08-17 00:00:00,BASIC/USDT,0.00225,0.00239,0.00219,0.00225,617560.2222,1392.328577852
1660608000,2022-08-16 00:00:00,BASIC/USDT,0.00232,0.00257,0.00212,0.00226,3325997.1789,7762.548602815
1660521600,2022-08-15 00:00:00,BASIC/USDT,0.00249,0.00249,0.00229,0.00232,259151.5518,612.691296323
1660435200,2022-08-14 00:00:00,BASIC/USDT,0.00257,0.00265,0.00247,0.00247,342754.7004,875.710392342
1660348800,2022-08-13 00:00:00,BASIC/USDT,0.00246,0.00261,0.0024,0.00255,310030.3571,772.037962415
1660262400,2022-08-12 00:00:00,BASIC/USDT,0.00243,0.00261,0.00236,0.00246,1752541.6631,4192.269923852
1660176000,2022-08-11 00:00:00,BASIC/USDT,0.0025,0.00258,0.00238,0.00244,1075681.2077,2669.333701331
1660089600,2022-08-10 00:00:00,BASIC/USDT,0.0022,0.0029,0.0022,0.0025,7704243.09975399,19452.53066973379
1660003200,2022-08-09 00:00:00,BASIC/USDT,0.00226,0.00245,0.00218,0.0022,5311229.0782,12310.177988325
1659916800,2022-08-08 00:00:00,BASIC/USDT,0.00217,0.00236,0.00217,0.00226,15197645.5096,34752.501602361
1659830400,2022-08-07 00:00:00,BASIC/USDT,0.00208,0.00232,0.00208,0.00217,13189858.5826,28804.715659764
1659744000,2022-08-06 00:00:00,BASIC/USDT,0.0021,0.00211,0.00206,0.00207,8282149.4047,17387.549509592
1659657600,2022-08-05 00:00:00,BASIC/USDT,0.00196,0.00211,0.00196,0.00211,1713493.8353,3477.144890728
1659571200,2022-08-04 00:00:00,BASIC/USDT,0.00211,0.00214,0.00194,0.00195,3621979.8413,7493.440313052
1659484800,2022-08-03 00:00:00,BASIC/USDT,0.00199,0.0022,0.00199,0.00211,6637465.7964,14095.251238008
1659398400,2022-08-02 00:00:00,BASIC/USDT,0.00203,0.00203,0.00199,0.00199,1856440.7649,3758.962288608
1659312000,2022-08-01 00:00:00,BASIC/USDT,0.00199,0.00204,0.00192,0.00203,6739636.4898,13253.940284237
1659225600,2022-07-31 00:00:00,BASIC/USDT,0.00201,0.00201,0.00199,0.00199,1693204.8063,3398.479036519
1659139200,2022-07-30 00:00:00,BASIC/USDT,0.00201,0.00205,0.00198,0.00201,3423274.1408,6917.285820807
1659052800,2022-07-29 00:00:00,BASIC/USDT,0.00197,0.00205,0.00197,0.00202,4479003.6185,9071.491641754
1658966400,2022-07-28 00:00:00,BASIC/USDT,0.00195,0.002,0.00188,0.00197,12339103.2131,24072.507508409
1658880000,2022-07-27 00:00:00,BASIC/USDT,0.0019,0.00202,0.00189,0.00195,10508399.4921,20412.433881516
