https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KRL,Volume USDT
1663462800,2022-09-18 01:00:00,KRL/USDT,0.37573,0.37589,0.37573,0.37589,115.8,43.512062
1663459200,2022-09-18 00:00:00,KRL/USDT,0.37469,0.3761,0.37432,0.37455,11923.0599,4469.816665185
1663455600,2022-09-17 23:00:00,KRL/USDT,0.37609,0.3761,0.37609,0.3761,97.7,36.744585177
1663452000,2022-09-17 22:00:00,KRL/USDT,0.37253,0.3761,0.37253,0.37607,10188.7811,3810.623436589
1663448400,2022-09-17 21:00:00,KRL/USDT,0.37096,0.37254,0.37089,0.37254,647.7822,240.478984843
1663444800,2022-09-17 20:00:00,KRL/USDT,0.37082,0.37082,0.37082,0.37082,0,0
1663441200,2022-09-17 19:00:00,KRL/USDT,0.37251,0.37255,0.37082,0.37082,198.4556,73.678288971
1663437600,2022-09-17 18:00:00,KRL/USDT,0.37255,0.37255,0.37255,0.37255,0,0
1663434000,2022-09-17 17:00:00,KRL/USDT,0.37222,0.37255,0.37108,0.37255,4521.7419,1684.377491548
1663430400,2022-09-17 16:00:00,KRL/USDT,0.37122,0.37348,0.37122,0.37255,9888.5848,3684.134257957
1663426800,2022-09-17 15:00:00,KRL/USDT,0.37218,0.37255,0.37083,0.37255,3378.5804,1257.433987442
1663423200,2022-09-17 14:00:00,KRL/USDT,0.37079,0.37103,0.37078,0.37103,6287.2303,2331.24440374
1663419600,2022-09-17 13:00:00,KRL/USDT,0.37071,0.37079,0.37022,0.37077,908.7314,336.872518846
1663416000,2022-09-17 12:00:00,KRL/USDT,0.37079,0.37079,0.37072,0.37072,498.0864,184.681704256
1663412400,2022-09-17 11:00:00,KRL/USDT,0.3721,0.37255,0.37091,0.37091,1032.0388,383.931647064
1663408800,2022-09-17 10:00:00,KRL/USDT,0.37238,0.37238,0.37238,0.37238,172.096,64.08510848
1663405200,2022-09-17 09:00:00,KRL/USDT,0.37244,0.37255,0.37079,0.37079,1435.2203,533.235608779
1663401600,2022-09-17 08:00:00,KRL/USDT,0.37244,0.37255,0.37244,0.37255,13.6,5.06558
1663398000,2022-09-17 07:00:00,KRL/USDT,0.37108,0.37255,0.37108,0.37255,815.2243,303.688608265
1663394400,2022-09-17 06:00:00,KRL/USDT,0.37255,0.37255,0.37255,0.37255,0,0
1663390800,2022-09-17 05:00:00,KRL/USDT,0.37079,0.37255,0.37079,0.37255,13199.2938,4901.75756915
1663387200,2022-09-17 04:00:00,KRL/USDT,0.37075,0.37079,0.37073,0.37079,677.9746,251.385201934
1663383600,2022-09-17 03:00:00,KRL/USDT,0.36945,0.36945,0.36945,0.36945,0,0
1663380000,2022-09-17 02:00:00,KRL/USDT,0.36937,0.37079,0.36937,0.36945,1119.1708,414.804262396
1663376400,2022-09-17 01:00:00,KRL/USDT,0.37073,0.37078,0.37073,0.37078,21.2,7.860036
1663372800,2022-09-17 00:00:00,KRL/USDT,0.3673,0.37079,0.3673,0.36926,7792.2553,2881.348959854
1663369200,2022-09-16 23:00:00,KRL/USDT,0.3673,0.3673,0.3673,0.3673,1000,367.3
