https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BLZ,Volume USDT,tradecount
1655856000000,2022-06-22 00:00:00,BLZ/USDT,0.08808,0.08833,0.08366,0.08524,18992054,1622281.16486,7640
1655769600000,2022-06-21 00:00:00,BLZ/USDT,0.08975,0.09537,0.08686,0.08806,522516894,47638650.17306,222611
1655683200000,2022-06-20 00:00:00,BLZ/USDT,0.09043,0.09389,0.08533,0.08976,542563003,48564016.23548,238405
1655596800000,2022-06-19 00:00:00,BLZ/USDT,0.08742,0.09558,0.08489,0.09044,695287374,62881482.10026,326900
1655510400000,2022-06-18 00:00:00,BLZ/USDT,0.08914,0.09027,0.07749,0.08748,702416395,58640883.49257,301824
1655424000000,2022-06-17 00:00:00,BLZ/USDT,0.08860,0.09601,0.08716,0.08912,576908541,52615238.59315,270857
1655337600000,2022-06-16 00:00:00,BLZ/USDT,0.10979,0.11450,0.08573,0.08860,820441492,77863299.98350,402257
1655251200000,2022-06-15 00:00:00,BLZ/USDT,0.11090,0.11161,0.09077,0.10978,1080601067,107384928.37620,491414
1655164800000,2022-06-14 00:00:00,BLZ/USDT,0.11246,0.12448,0.10262,0.11092,844091503,96554306.89700,479831
1655078400000,2022-06-13 00:00:00,BLZ/USDT,0.13798,0.14043,0.10701,0.11244,1267719767,152871490.98044,701163
1654992000000,2022-06-12 00:00:00,BLZ/USDT,0.16083,0.16388,0.13457,0.13799,1133772737,167453774.20340,550541
1654905600000,2022-06-11 00:00:00,BLZ/USDT,0.16698,0.18363,0.15450,0.16082,1646501483,274315369.72782,745428
1654819200000,2022-06-10 00:00:00,BLZ/USDT,0.17113,0.20740,0.16398,0.16692,3851273020,708698175.72551,1763397
1654732800000,2022-06-09 00:00:00,BLZ/USDT,0.15481,0.18700,0.14126,0.17118,2262624340,382286060.27692,1185817
1654646400000,2022-06-08 00:00:00,BLZ/USDT,0.12068,0.19329,0.11625,0.15485,3737613013,585979774.65257,1960096
1654560000000,2022-06-07 00:00:00,BLZ/USDT,0.10084,0.22557,0.09899,0.12089,3865624444,463788096.76267,1452414
1654473600000,2022-06-06 00:00:00,BLZ/USDT,0.10699,0.11234,0.09914,0.10090,2416870934,254999352.51124,768431
1654387200000,2022-06-05 00:00:00,BLZ/USDT,0.09172,0.11200,0.08607,0.10695,2453659047,247041609.75542,742100
1654300800000,2022-06-04 00:00:00,BLZ/USDT,0.09363,0.10044,0.08720,0.09172,1897384558,177279374.67389,583774
1654214400000,2022-06-03 00:00:00,BLZ/USDT,0.08054,0.09710,0.07686,0.09369,1228879013,110108251.59407,387508
1654128000000,2022-06-02 00:00:00,BLZ/USDT,0.08034,0.08350,0.07762,0.08053,385991518,31054637.93413,159081
1654041600000,2022-06-01 00:00:00,BLZ/USDT,0.08266,0.08528,0.07245,0.08030,378359886,30019268.05963,162687
1653955200000,2022-05-31 00:00:00,BLZ/USDT,0.08486,0.08687,0.07851,0.08270,358811831,29935800.33606,146120
1653868800000,2022-05-30 00:00:00,BLZ/USDT,0.08829,0.08872,0.08090,0.08483,416129362,35219905.03688,154458
1653782400000,2022-05-29 00:00:00,BLZ/USDT,0.07613,0.08898,0.07460,0.08829,436634996,35788819.78088,169583
1653696000000,2022-05-28 00:00:00,BLZ/USDT,0.07322,0.07885,0.07316,0.07614,205330005,15733203.23043,88247
1653609600000,2022-05-27 00:00:00,BLZ/USDT,0.07564,0.07758,0.07080,0.07316,348268558,25939222.24481,149773
1653523200000,2022-05-26 00:00:00,BLZ/USDT,0.07807,0.08061,0.07140,0.07568,427074353,32879946.27317,162787
1653436800000,2022-05-25 00:00:00,BLZ/USDT,0.07904,0.08099,0.07575,0.07807,272885563,21317029.19792,108425
1653350400000,2022-05-24 00:00:00,BLZ/USDT,0.07117,0.08047,0.06779,0.07908,323346905,24022025.81366,122052
1653264000000,2022-05-23 00:00:00,BLZ/USDT,0.08024,0.08333,0.06954,0.07117,262318567,20532543.49822,104110
1653177600000,2022-05-22 00:00:00,BLZ/USDT,0.08122,0.08278,0.07779,0.08026,153168772,12322822.47242,69938
1653091200000,2022-05-21 00:00:00,BLZ/USDT,0.07583,0.08354,0.07360,0.08121,172686453,13593797.45650,81184
1653004800000,2022-05-20 00:00:00,BLZ/USDT,0.07777,0.07997,0.07222,0.07589,268810287,20586616.79524,110640
1652918400000,2022-05-19 00:00:00,BLZ/USDT,0.06933,0.07900,0.06689,0.07778,257156289,18708969.57831,99822
1652832000000,2022-05-18 00:00:00,BLZ/USDT,0.07548,0.07878,0.06885,0.06931,321157628,23688366.31375,123401
1652745600000,2022-05-17 00:00:00,BLZ/USDT,0.07026,0.07784,0.07017,0.07549,208521007,15429973.90150,96182
1652659200000,2022-05-16 00:00:00,BLZ/USDT,0.07725,0.07725,0.06655,0.07020,157494626,11087593.35976,79461
1652572800000,2022-05-15 00:00:00,BLZ/USDT,0.07279,0.07730,0.06868,0.07726,138003958,9988914.71249,68475
1652486400000,2022-05-14 00:00:00,BLZ/USDT,0.06654,0.07354,0.06189,0.07277,165279639,11080990.40361,79858
1652400000000,2022-05-13 00:00:00,BLZ/USDT,0.05704,0.07674,0.05654,0.06659,292281540,20377225.11502,129200
1652313600000,2022-05-12 00:00:00,BLZ/USDT,0.06363,0.06734,0.04630,0.05699,646402729,36096226.05392,257837
1652227200000,2022-05-11 00:00:00,BLZ/USDT,0.09327,0.09728,0.05879,0.06361,471054140,36341825.10681,234498
1652140800000,2022-05-10 00:00:00,BLZ/USDT,0.08767,0.10528,0.08522,0.09331,273986127,26311750.41760,154646
