https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MITX,Volume BTC
1663455600,2022-09-17 23:00:00,MITX/BTC,0.0000002531,0.0000002531,0.0000002531,0.0000002531,270.54,0.000068473674
1663452000,2022-09-17 22:00:00,MITX/BTC,0.0000002532,0.0000002532,0.0000002526,0.0000002526,587.4092,0.00014856273972
1663448400,2022-09-17 21:00:00,MITX/BTC,0.0000002498,0.0000002547,0.0000002479,0.0000002547,8870.3329,0.00223783789088
1663444800,2022-09-17 20:00:00,MITX/BTC,0.0000002496,0.0000002496,0.0000002495,0.0000002495,1080.4757,0.00026964909473
1663441200,2022-09-17 19:00:00,MITX/BTC,0.0000002523,0.0000002546,0.0000002495,0.0000002523,3763.1851,0.00094877459586
1663437600,2022-09-17 18:00:00,MITX/BTC,0.0000002505,0.0000002506,0.0000002491,0.0000002491,1590.8219,0.00039810782281
1663434000,2022-09-17 17:00:00,MITX/BTC,0.0000002526,0.0000002526,0.0000002502,0.0000002502,1465.9748,0.00036813603204
1663430400,2022-09-17 16:00:00,MITX/BTC,0.0000002532,0.0000002532,0.0000002526,0.0000002526,1153.0568,0.00029153118928
1663426800,2022-09-17 15:00:00,MITX/BTC,0.0000002535,0.0000002572,0.0000002514,0.0000002547,4598.8742,0.00116701921046
1663423200,2022-09-17 14:00:00,MITX/BTC,0.0000002502,0.0000002502,0.0000002502,0.0000002502,261.6549,0.00006546605598
1663419600,2022-09-17 13:00:00,MITX/BTC,0.0000002519,0.0000002519,0.0000002512,0.0000002512,9306.2193,0.00233839826578
1663416000,2022-09-17 12:00:00,MITX/BTC,0.0000002547,0.0000002547,0.0000002547,0.0000002547,7.73,0.000001968831
1663412400,2022-09-17 11:00:00,MITX/BTC,0.0000002547,0.000000256,0.0000002514,0.0000002514,1957.5916,0.00049627866544
1663408800,2022-09-17 10:00:00,MITX/BTC,0.0000002535,0.0000002547,0.0000002535,0.0000002547,525.1144,0.0001336874124
1663405200,2022-09-17 09:00:00,MITX/BTC,0.0000002523,0.0000002535,0.0000002518,0.0000002518,823.8727,0.00020827353442
1663401600,2022-09-17 08:00:00,MITX/BTC,0.0000002513,0.0000002523,0.0000002513,0.0000002523,536.0335,0.00013523454295
1663398000,2022-09-17 07:00:00,MITX/BTC,0.0000002488,0.0000002512,0.0000002488,0.0000002512,459.6265,0.00011448187456
1663394400,2022-09-17 06:00:00,MITX/BTC,0.0000002471,0.0000002512,0.0000002467,0.0000002512,4598.3453,0.0011460385957
