https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAG,Volume USDT
1663462800,2022-09-18 01:00:00,DAG/USDT,0.075499,0.0755,0.075215,0.075359,35177.3263,2651.2580214923
1663459200,2022-09-18 00:00:00,DAG/USDT,0.075592,0.075642,0.075197,0.075499,40321.7709,3036.6598891792
1663455600,2022-09-17 23:00:00,DAG/USDT,0.07563,0.075664,0.075197,0.075436,34557.2988,2609.1200096936
1663452000,2022-09-17 22:00:00,DAG/USDT,0.075391,0.075649,0.075274,0.075631,32860.2359,2481.8428847574
1663448400,2022-09-17 21:00:00,DAG/USDT,0.07544,0.075621,0.075175,0.075192,68928.7656,5193.0440036001
1663444800,2022-09-17 20:00:00,DAG/USDT,0.075163,0.07544,0.074665,0.075207,109168.5628,8214.4888731369
1663441200,2022-09-17 19:00:00,DAG/USDT,0.075578,0.075578,0.074556,0.075201,114640.4529,8593.7758726631
1663437600,2022-09-17 18:00:00,DAG/USDT,0.075366,0.075729,0.07517,0.075583,83246.0086,6299.87991375
1663434000,2022-09-17 17:00:00,DAG/USDT,0.075446,0.075726,0.075152,0.0755,41400.2451,3127.3784881754
1663430400,2022-09-17 16:00:00,DAG/USDT,0.075398,0.075649,0.075185,0.075445,93232.2944,7045.2030913564
1663426800,2022-09-17 15:00:00,DAG/USDT,0.075225,0.075453,0.074652,0.07535,88349.5676,6628.4197878547
1663423200,2022-09-17 14:00:00,DAG/USDT,0.075018,0.075701,0.074998,0.075147,139958.8587,10534.0424360817
1663419600,2022-09-17 13:00:00,DAG/USDT,0.07534,0.075458,0.074556,0.074998,154878.5335,11608.6646921808
1663416000,2022-09-17 12:00:00,DAG/USDT,0.07512,0.075453,0.074749,0.075339,67595.2889,5084.2207999774
1663412400,2022-09-17 11:00:00,DAG/USDT,0.075162,0.075394,0.074749,0.07512,48602.8704,3654.2017539616
1663408800,2022-09-17 10:00:00,DAG/USDT,0.074678,0.075162,0.074584,0.075162,38443.0877,2879.804931507
1663405200,2022-09-17 09:00:00,DAG/USDT,0.075126,0.0752,0.073999,0.074672,88743.8105,6623.7742187024
1663401600,2022-09-17 08:00:00,DAG/USDT,0.075027,0.0752,0.074904,0.075126,75531.1507,5671.5033409485
1663398000,2022-09-17 07:00:00,DAG/USDT,0.074836,0.0751,0.074836,0.07498,38295.1087,2874.912346884
1663394400,2022-09-17 06:00:00,DAG/USDT,0.07475,0.0751,0.074704,0.074868,70540.1196,5284.6618816759
1663390800,2022-09-17 05:00:00,DAG/USDT,0.074743,0.074893,0.074456,0.07474,27897.0436,2085.2823227732
1663387200,2022-09-17 04:00:00,DAG/USDT,0.074567,0.074893,0.074194,0.07458,78351.478,5847.8187670743
1663383600,2022-09-17 03:00:00,DAG/USDT,0.074075,0.074567,0.073256,0.074567,80734.2941,5961.9840714715
1663380000,2022-09-17 02:00:00,DAG/USDT,0.073917,0.074893,0.073917,0.074406,202064.0238,14998.0937594794
1663376400,2022-09-17 01:00:00,DAG/USDT,0.073823,0.073946,0.073331,0.073912,33085.1981,2439.3557166919
1663372800,2022-09-17 00:00:00,DAG/USDT,0.073946,0.073946,0.073331,0.073845,198866.1719,14627.4985959549
1663369200,2022-09-16 23:00:00,DAG/USDT,0.073946,0.073946,0.073663,0.073946,56029.9381,4138.5636725876
1663365600,2022-09-16 22:00:00,DAG/USDT,0.073946,0.073946,0.073331,0.073946,37450.1655,2761.2582413658
1663362000,2022-09-16 21:00:00,DAG/USDT,0.073768,0.073996,0.073644,0.07393,21891.829,1617.5044840069
1663358400,2022-09-16 20:00:00,DAG/USDT,0.073332,0.074134,0.073331,0.073653,220329.6128,16276.3340931545
1663354800,2022-09-16 19:00:00,DAG/USDT,0.073708,0.073708,0.073123,0.073332,138932.8803,10199.2773789732
1663351200,2022-09-16 18:00:00,DAG/USDT,0.073981,0.074265,0.073261,0.073708,200322.4131,14751.2945323112
1663347600,2022-09-16 17:00:00,DAG/USDT,0.074332,0.074332,0.073265,0.073981,101997.4073,7519.1788656128
1663344000,2022-09-16 16:00:00,DAG/USDT,0.074812,0.077415,0.072831,0.074328,988045.0527,73708.6864872854
1663340400,2022-09-16 15:00:00,DAG/USDT,0.074427,0.074812,0.074159,0.074812,44167.5544,3286.3554468883
1663336800,2022-09-16 14:00:00,DAG/USDT,0.074528,0.074636,0.073997,0.074619,124801.496,9264.4812409098
1663333200,2022-09-16 13:00:00,DAG/USDT,0.074782,0.075272,0.074326,0.074326,155395.7718,11624.7655127229
1663329600,2022-09-16 12:00:00,DAG/USDT,0.07475,0.074782,0.074728,0.074782,19298.3507,1442.8851399259
1663326000,2022-09-16 11:00:00,DAG/USDT,0.073664,0.075927,0.07351,0.074749,286283.202,21444.6505330078
1663322400,2022-09-16 10:00:00,DAG/USDT,0.074302,0.074302,0.072666,0.073664,232479.1096,17140.9015399411
1663318800,2022-09-16 09:00:00,DAG/USDT,0.0741,0.074554,0.074099,0.074439,74923.1711,5572.3213706874
1663315200,2022-09-16 08:00:00,DAG/USDT,0.074545,0.075126,0.072221,0.074099,701699.5654,51300.3523428761
1663311600,2022-09-16 07:00:00,DAG/USDT,0.074376,0.074406,0.074179,0.074406,41590.7658,3088.2442737914
1663308000,2022-09-16 06:00:00,DAG/USDT,0.074381,0.074582,0.074179,0.074297,2424.6803,179.9403799499
1663304400,2022-09-16 05:00:00,DAG/USDT,0.074997,0.075049,0.074179,0.074381,72064.8961,5368.7652283794
1663300800,2022-09-16 04:00:00,DAG/USDT,0.074965,0.07539,0.074958,0.074996,28685.9569,2153.7940737523
1663297200,2022-09-16 03:00:00,DAG/USDT,0.074554,0.076012,0.074,0.074965,159949.968,11967.113826483
1663293600,2022-09-16 02:00:00,DAG/USDT,0.074414,0.074927,0.074294,0.07463,53557.6141,3991.3768263079
1663290000,2022-09-16 01:00:00,DAG/USDT,0.074224,0.074995,0.074224,0.074381,61062.8893,4554.1037383459
1663286400,2022-09-16 00:00:00,DAG/USDT,0.075169,0.075169,0.073001,0.074033,366385.0583,27088.656973924
1663282800,2022-09-15 23:00:00,DAG/USDT,0.074879,0.075163,0.074197,0.074994,177004.9818,13245.4199537676
1663279200,2022-09-15 22:00:00,DAG/USDT,0.075599,0.075679,0.073501,0.07488,221944.525,16538.933932555
1663275600,2022-09-15 21:00:00,DAG/USDT,0.075866,0.076544,0.075503,0.075585,118046.157,8964.0892953929
1663272000,2022-09-15 20:00:00,DAG/USDT,0.075041,0.0772,0.074846,0.075866,328844.2149,24960.9445351366
1663268400,2022-09-15 19:00:00,DAG/USDT,0.07444,0.0758,0.074169,0.075041,116197.8801,8707.7004777531
1663264800,2022-09-15 18:00:00,DAG/USDT,0.074898,0.075175,0.073953,0.0744,88222.3406,6581.3541837857
1663261200,2022-09-15 17:00:00,DAG/USDT,0.073969,0.076535,0.073927,0.074748,246693.1659,18543.3142599262
1663257600,2022-09-15 16:00:00,DAG/USDT,0.073774,0.074,0.0732,0.073969,108491.1215,7998.9611661228
