https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume NEO
1663545600000,2022-09-19 00:00:00,NEO/BTC,0.00042489,0.00043013,0.00042299,0.00042753,0.0095260563043206,22.281609019999998
1663542000000,2022-09-18 23:00:00,NEO/BTC,0.00042737,0.00042763,0.00042251,0.000425,0.06300687984575,148.25148199
1663538400000,2022-09-18 22:00:00,NEO/BTC,0.0004282,0.00042854,0.00042356,0.0004274,0.003736391926748,8.74214302
1663534800000,2022-09-18 21:00:00,NEO/BTC,0.000435,0.000435,0.00041843,0.00042834,0.30624714859269964,714.9627599400001
1663531200000,2022-09-18 20:00:00,NEO/BTC,0.00043988,0.00043988,0.000435,0.000435,0.0033618852808499997,7.72847191
1663527600000,2022-09-18 19:00:00,NEO/BTC,0.00044069,0.00044325,0.00043786,0.00043786,0.0034148660810377996,7.79899073
1663524000000,2022-09-18 18:00:00,NEO/BTC,0.00043937,0.0004434,0.00043937,0.00044084,0.006961084549008,15.7905012
1663520400000,2022-09-18 17:00:00,NEO/BTC,0.00044224,0.00044508,0.0004392,0.00043974,0.006758585051337,15.36950255
1663516800000,2022-09-18 16:00:00,NEO/BTC,0.00044594,0.00044758,0.00044285,0.00044338,0.1023081766746326,230.74603427
1663513200000,2022-09-18 15:00:00,NEO/BTC,0.00044589,0.0004496,0.00044589,0.00044645,0.001605598172156,3.59636728
1663509600000,2022-09-18 14:00:00,NEO/BTC,0.00044838,0.00044958,0.0004451,0.0004473,0.005591305120778999,12.50012323
1663506000000,2022-09-18 13:00:00,NEO/BTC,0.00044808,0.00045085,0.00044751,0.00044847,0.0013515209553681,3.01362623
1663502400000,2022-09-18 12:00:00,NEO/BTC,0.00044876,0.00045016,0.00044692,0.00044767,0.007257172330931699,16.210986509999998
1663498800000,2022-09-18 11:00:00,NEO/BTC,0.00044875,0.00045203,0.00044875,0.00044876,0.0035666216139995997,7.94772621
