https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VETBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,VETBEAR/USDT,1.76e-06,1.77e-06,1.75e-06,1.76e-06,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,VETBEAR/USDT,1.45e-06,1.78e-06,1.45e-06,1.76e-06,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,VETBEAR/USDT,1.65e-06,1.66e-06,1.44e-06,1.45e-06,10446206.896551725,15.147
1663286400000.0,2022-09-16 00:00:00,VETBEAR/USDT,1.7e-06,1.71e-06,1.62e-06,1.65e-06,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,VETBEAR/USDT,1.54e-06,1.71e-06,1.52e-06,1.7e-06,39500000.0,67.15
1663113600000.0,2022-09-14 00:00:00,VETBEAR/USDT,1.62e-06,1.64e-06,1.5e-06,1.54e-06,0.0,0.0
1663027200000.0,2022-09-13 00:00:00,VETBEAR/USDT,1.3e-06,1.64e-06,1.3e-06,1.62e-06,37702469.13580247,61.078
1662940800000.0,2022-09-12 00:00:00,VETBEAR/USDT,1.3e-06,1.35e-06,1.19e-06,1.3e-06,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,VETBEAR/USDT,1.3e-06,1.36e-06,1.26e-06,1.3e-06,0.0,0.0
1662768000000.0,2022-09-10 00:00:00,VETBEAR/USDT,1.32e-06,1.39e-06,1.26e-06,1.3e-06,100000.0,0.13
1662681600000.0,2022-09-09 00:00:00,VETBEAR/USDT,1.59e-06,1.59e-06,1.28e-06,1.32e-06,347727.2727272727,0.459
1662595200000.0,2022-09-08 00:00:00,VETBEAR/USDT,1.69e-06,1.75e-06,1.59e-06,1.59e-06,39245283.018867925,62.4
1662508800000.0,2022-09-07 00:00:00,VETBEAR/USDT,1.92e-06,1.99e-06,1.66e-06,1.69e-06,1047337.2781065089,1.77
1662422400000.0,2022-09-06 00:00:00,VETBEAR/USDT,1.64e-06,1.95e-06,1.48e-06,1.92e-06,39380729.16666667,75.611
1662336000000.0,2022-09-05 00:00:00,VETBEAR/USDT,1.55e-06,1.74e-06,1.52e-06,1.64e-06,0.0,0.0
1662249600000.0,2022-09-04 00:00:00,VETBEAR/USDT,1.72e-06,1.74e-06,1.51e-06,1.55e-06,0.0,0.0
1662163200000.0,2022-09-03 00:00:00,VETBEAR/USDT,1.74e-06,1.78e-06,1.7e-06,1.72e-06,0.0,0.0
1662076800000.0,2022-09-02 00:00:00,VETBEAR/USDT,1.7e-06,1.78e-06,1.58e-06,1.74e-06,0.0,0.0
1661990400000.0,2022-09-01 00:00:00,VETBEAR/USDT,1.69e-06,1.87e-06,1.68e-06,1.7e-06,96109411.76470588,163.386
1661904000000.0,2022-08-31 00:00:00,VETBEAR/USDT,1.68e-06,1.72e-06,1.54e-06,1.69e-06,0.0,0.0
1661817600000.0,2022-08-30 00:00:00,VETBEAR/USDT,1.59e-06,1.78e-06,1.5e-06,1.68e-06,0.0,0.0
1661731200000.0,2022-08-29 00:00:00,VETBEAR/USDT,1.85e-06,1.9e-06,1.58e-06,1.59e-06,0.0,0.0
1661644800000.0,2022-08-28 00:00:00,VETBEAR/USDT,1.72e-06,1.87e-06,1.63e-06,1.85e-06,17942162.16216216,33.193
1661558400000.0,2022-08-27 00:00:00,VETBEAR/USDT,1.69e-06,1.78e-06,1.6e-06,1.72e-06,27200000.0,46.784
