https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHZ,Volume USDT,tradecount
1655856000000,2022-06-22 00:00:00,CHZ/USDT,0.09542,0.09548,0.09260,0.09334,14720010,1377006.67212,4715
1655769600000,2022-06-21 00:00:00,CHZ/USDT,0.09330,0.10035,0.09224,0.09539,459618726,44040414.99376,176611
1655683200000,2022-06-20 00:00:00,CHZ/USDT,0.09336,0.09539,0.08770,0.09331,437961060,40316375.80055,181176
1655596800000,2022-06-19 00:00:00,CHZ/USDT,0.08680,0.09468,0.08311,0.09339,470730328,41966749.69962,192547
1655510400000,2022-06-18 00:00:00,CHZ/USDT,0.09454,0.09619,0.08088,0.08679,566573137,49680792.10428,227163
1655424000000,2022-06-17 00:00:00,CHZ/USDT,0.09238,0.10131,0.09117,0.09455,427727259,40693029.06801,173099
1655337600000,2022-06-16 00:00:00,CHZ/USDT,0.10276,0.10473,0.08989,0.09234,416566970,39910339.87386,169621
1655251200000,2022-06-15 00:00:00,CHZ/USDT,0.09434,0.10305,0.08572,0.10273,666366324,61425540.55684,275176
1655164800000,2022-06-14 00:00:00,CHZ/USDT,0.09454,0.09907,0.08619,0.09435,577606367,54009903.42845,267458
1655078400000,2022-06-13 00:00:00,CHZ/USDT,0.09720,0.09955,0.08474,0.09452,734209503,67180326.25670,343404
1654992000000,2022-06-12 00:00:00,CHZ/USDT,0.10438,0.10586,0.09423,0.09724,406003980,40741889.61821,192193
1654905600000,2022-06-11 00:00:00,CHZ/USDT,0.11369,0.11824,0.10148,0.10438,320519918,35017768.86497,156028
1654819200000,2022-06-10 00:00:00,CHZ/USDT,0.11964,0.12061,0.11145,0.11369,255401036,29662318.97808,130396
1654732800000,2022-06-09 00:00:00,CHZ/USDT,0.12007,0.12221,0.11805,0.11957,202889086,24404920.49003,101000
1654646400000,2022-06-08 00:00:00,CHZ/USDT,0.12318,0.12513,0.11878,0.12003,257274445,31279804.20231,119885
1654560000000,2022-06-07 00:00:00,CHZ/USDT,0.12953,0.12967,0.11743,0.12311,439404074,53613827.14210,208073
1654473600000,2022-06-06 00:00:00,CHZ/USDT,0.12624,0.13649,0.12616,0.12952,479213191,63225008.26199,230676
1654387200000,2022-06-05 00:00:00,CHZ/USDT,0.12792,0.12950,0.12175,0.12622,305744534,38407803.04941,144685
1654300800000,2022-06-04 00:00:00,CHZ/USDT,0.12186,0.13016,0.12169,0.12791,616582671,77752531.25794,278450
1654214400000,2022-06-03 00:00:00,CHZ/USDT,0.12486,0.12589,0.11768,0.12186,296433791,35988288.85411,152668
1654128000000,2022-06-02 00:00:00,CHZ/USDT,0.11766,0.12680,0.11738,0.12482,539110974,66225915.92061,254263
1654041600000,2022-06-01 00:00:00,CHZ/USDT,0.12212,0.13084,0.11442,0.11770,697855440,86578313.90018,330951
1653955200000,2022-05-31 00:00:00,CHZ/USDT,0.12175,0.13110,0.11760,0.12209,433636063,53270204.17325,210783
1653868800000,2022-05-30 00:00:00,CHZ/USDT,0.11360,0.12234,0.11227,0.12175,327213295,38668818.61092,162716
1653782400000,2022-05-29 00:00:00,CHZ/USDT,0.11252,0.11474,0.10925,0.11360,232958948,26145674.86969,99079
1653696000000,2022-05-28 00:00:00,CHZ/USDT,0.10722,0.11495,0.10601,0.11254,277291878,30721994.07502,125260
1653609600000,2022-05-27 00:00:00,CHZ/USDT,0.11260,0.11404,0.10500,0.10723,427376231,46542320.16336,225445
1653523200000,2022-05-26 00:00:00,CHZ/USDT,0.11995,0.12367,0.10527,0.11265,519214086,59438677.60114,235921
1653436800000,2022-05-25 00:00:00,CHZ/USDT,0.11894,0.12690,0.11709,0.11996,441329763,53291393.21649,191522
1653350400000,2022-05-24 00:00:00,CHZ/USDT,0.11752,0.12051,0.11104,0.11897,359422050,41990297.61499,157019
1653264000000,2022-05-23 00:00:00,CHZ/USDT,0.12339,0.12840,0.11559,0.11752,424068218,52539297.95438,182032
1653177600000,2022-05-22 00:00:00,CHZ/USDT,0.12070,0.12630,0.11850,0.12342,376619393,46166542.38398,168278
1653091200000,2022-05-21 00:00:00,CHZ/USDT,0.11766,0.12295,0.11553,0.12071,296593009,35422451.51400,135808
1653004800000,2022-05-20 00:00:00,CHZ/USDT,0.12314,0.12845,0.11425,0.11765,675602195,82308964.56631,265318
1652918400000,2022-05-19 00:00:00,CHZ/USDT,0.11871,0.12456,0.10950,0.12315,1380582523,161820444.69264,496013
1652832000000,2022-05-18 00:00:00,CHZ/USDT,0.11987,0.14100,0.11614,0.11870,2686854514,348556711.43189,847958
1652745600000,2022-05-17 00:00:00,CHZ/USDT,0.11389,0.12190,0.11264,0.11991,259300161,30574660.92545,117137
