https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume DAI
1663459200,2022-09-18 00:00:00,ETH/DAI,1466.1,1466.1,1466.1,1466.1,0.1476289,216.43873029
1663372800,2022-09-17 00:00:00,ETH/DAI,1447.42,1466.11,1415.18,1466.11,2.9738667,4270.139335042
1663286400,2022-09-16 00:00:00,ETH/DAI,1476.26,1479.49,1419.77,1441.43,85.3919837,122886.630037288
1663200000,2022-09-15 00:00:00,ETH/DAI,1639.02,1647.82,1462.95,1478.49,71.4834537,109164.037660933
1663113600,2022-09-14 00:00:00,ETH/DAI,1556.2,1652.57,1556.2,1652.57,27.7475976,44500.1064828
1663027200,2022-09-13 00:00:00,ETH/DAI,1709.71,1753.25,1565.96,1570.8,93.8556582,155777.131455239
1662940800,2022-09-12 00:00:00,ETH/DAI,1764.22,1774.79,1698.7,1707.12,14.5553272,25251.240255223
1662854400,2022-09-11 00:00:00,ETH/DAI,1776.71,1781.71,1730.63,1749.18,15.1957998,26696.881545039
1662768000,2022-09-10 00:00:00,ETH/DAI,1712.13,1787.4,1712.13,1781.37,9.9879497,17494.666111798
1662681600,2022-09-09 00:00:00,ETH/DAI,1636.86,1744.05,1636.86,1718.09,42.6738729,71565.65800263
1662595200,2022-09-08 00:00:00,ETH/DAI,1629.32,1661.06,1602.79,1634.62,7.9048399,12985.084796097
1662508800,2022-09-07 00:00:00,ETH/DAI,1551.11,1649.71,1493.47,1631.66,54.705661,85057.616082581
1662422400,2022-09-06 00:00:00,ETH/DAI,1621.86,1681.44,1558.81,1588.39,15.0473835,24706.617978413
1662336000,2022-09-05 00:00:00,ETH/DAI,1579.04,1625.14,1560.54,1625.14,26.04257,41082.949582693
1662249600,2022-09-04 00:00:00,ETH/DAI,1558.48,1581.1,1548.44,1577.33,4.4919326,7004.31169275
1662163200,2022-09-03 00:00:00,ETH/DAI,1573.18,1580.25,1542.32,1551.42,5.1951828,8054.205090287
1662076800,2022-09-02 00:00:00,ETH/DAI,1575.26,1647.42,1550.98,1580,45.3124541,72763.005484364
1661990400,2022-09-01 00:00:00,ETH/DAI,1555.99,1597.05,1526.64,1585.18,12.3360992,19150.967432686
