https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ROOBEE
1663545600000,2022-09-19 00:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.242e-05,414.0
1663542000000,2022-09-18 23:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2569999999999998e-05,419.0
1663538400000,2022-09-18 22:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2359999999999999e-05,412.0
1663534800000,2022-09-18 21:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.26e-05,420.0
1663531200000,2022-09-18 20:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.245e-05,415.0
1663527600000,2022-09-18 19:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,0.00010326,3442.0
1663524000000,2022-09-18 18:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,7.110891e-05,2370.297
1663520400000,2022-09-18 17:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,3e-08,0.021923332499999997,730777.75
1663516800000,2022-09-18 16:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,1.696e-05,424.0
1663513200000,2022-09-18 15:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,1.692e-05,423.0
1663509600000,2022-09-18 14:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,2.124e-05,531.0
1663506000000,2022-09-18 13:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,2.1760000000000002e-05,544.0
1663502400000,2022-09-18 12:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,1.668e-05,417.0
1663498800000,2022-09-18 11:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,4e-08,9.280000000000001e-06,232.0
1663495200000,2022-09-18 10:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.3259999999999998e-05,442.0
1663491600000,2022-09-18 09:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,4.2569999999999994e-05,1419.0
1663488000000,2022-09-18 08:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.3409999999999999e-05,447.0
1663484400000,2022-09-18 07:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.3889999999999999e-05,463.0
1663480800000,2022-09-18 06:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.263e-05,421.0
1663477200000,2022-09-18 05:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.3181999999999998e-05,439.4
1663473600000,2022-09-18 04:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2719999999999998e-05,424.0
1663470000000,2022-09-18 03:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.242e-05,414.0
1663466400000,2022-09-18 02:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2509999999999999e-05,417.0
1663462800000,2022-09-18 01:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.245e-05,415.0
1663459200000,2022-09-18 00:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.263e-05,421.0
1663455600000,2022-09-17 23:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2389999999999998e-05,413.0
1663452000000,2022-09-17 22:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.263e-05,421.0
1663448400000,2022-09-17 21:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2299999999999999e-05,410.0
1663444800000,2022-09-17 20:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2689999999999999e-05,423.0
1663441200000,2022-09-17 19:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2329999999999999e-05,411.0
1663437600000,2022-09-17 18:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2299999999999999e-05,410.0
1663434000000,2022-09-17 17:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,3e-08,6.719999999999999e-06,224.0
1663430400000,2022-09-17 16:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,4e-08,8.24e-06,206.0
1663426800000,2022-09-17 15:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.299e-05,433.0
1663423200000,2022-09-17 14:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,3e-08,0.00014115,4705.0
1663419600000,2022-09-17 13:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,4e-08,8.6e-06,215.0
1663416000000,2022-09-17 12:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2389999999999998e-05,413.0
1663408800000,2022-09-17 10:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.35e-05,450.0
1663405200000,2022-09-17 09:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.3199999999999999e-05,440.0
1663401600000,2022-09-17 08:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.3409999999999999e-05,447.0
1663398000000,2022-09-17 07:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.35e-05,450.0
1663394400000,2022-09-17 06:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,3e-08,1.3079999999999998e-05,436.0
1663390800000,2022-09-17 05:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,1.708e-05,427.0
1663387200000,2022-09-17 04:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,1.752e-05,438.0
1663383600000,2022-09-17 03:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,4e-08,1.708e-05,427.0
1663380000000,2022-09-17 02:00:00,ROOBEE/BTC,4e-08,4e-08,4e-08,4e-08,4.32e-06,108.0
1663376400000,2022-09-17 01:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,0.0005227734,17425.78
1663372800000,2022-09-17 00:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2689999999999999e-05,423.0
1663369200000,2022-09-16 23:00:00,ROOBEE/BTC,4e-08,4e-08,3e-08,3e-08,0.0010787708819999999,35959.0294
1663365600000,2022-09-16 22:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,4e-08,8.6e-06,215.0
1663362000000,2022-09-16 21:00:00,ROOBEE/BTC,3e-08,4e-08,3e-08,3e-08,1.2929999999999998e-05,431.0
