https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume EUR
1663545600,2022-09-19 00:00:00,BCH/EUR,111.49,111.68,111.40,111.40,53.86700000,6000.7838
1663542000,2022-09-18 23:00:00,BCH/EUR,112.41,112.66,111.28,111.72,37.53770789,4193.7127254708
1663538400,2022-09-18 22:00:00,BCH/EUR,112.01,112.18,111.34,112.14,245.58992466,27540.4541513724
1663534800,2022-09-18 21:00:00,BCH/EUR,115.28,115.34,110.57,112.63,400.34137794,45090.449397382195
1663531200,2022-09-18 20:00:00,BCH/EUR,116.16,116.17,115.18,115.27,172.65601638,19902.0590081226
1663527600,2022-09-18 19:00:00,BCH/EUR,115.46,116.02,115.46,116.02,10.78944374,1251.7912627147998
1663524000,2022-09-18 18:00:00,BCH/EUR,115.70,116.39,114.95,115.47,173.00418443,19976.7931761321
1663520400,2022-09-18 17:00:00,BCH/EUR,116.90,117.10,115.13,115.52,129.44994697,14954.057873974401
1663516800,2022-09-18 16:00:00,BCH/EUR,117.91,117.91,116.15,117.01,192.03160359,22469.6179360659
1663513200,2022-09-18 15:00:00,BCH/EUR,118.26,118.54,118.04,118.34,87.56754351,10362.7430989734
1663509600,2022-09-18 14:00:00,BCH/EUR,119.50,119.50,117.76,117.86,166.43698456,19616.2630002416
1663506000,2022-09-18 13:00:00,BCH/EUR,119.89,120.07,119.46,119.75,157.18489562,18822.891250495
1663502400,2022-09-18 12:00:00,BCH/EUR,119.00,119.91,118.99,119.91,4.92479722,590.5324346502
1663498800,2022-09-18 11:00:00,BCH/EUR,119.66,119.94,119.58,119.58,16.51400903,1974.7451998074
1663495200,2022-09-18 10:00:00,BCH/EUR,119.51,119.87,119.17,119.87,53.27943132,6386.605432328401
1663491600,2022-09-18 09:00:00,BCH/EUR,121.15,121.41,119.63,119.64,181.88343348,21760.5339815472
1663488000,2022-09-18 08:00:00,BCH/EUR,121.34,121.53,121.34,121.53,1.05321563,127.9972955139
1663484400,2022-09-18 07:00:00,BCH/EUR,121.24,121.24,120.89,121.12,16.92956980,2050.509494176
1663480800,2022-09-18 06:00:00,BCH/EUR,121.20,121.20,121.18,121.19,2.02000000,244.8038
1663477200,2022-09-18 05:00:00,BCH/EUR,121.57,121.57,121.57,121.57,0.08192942,9.9601595894
1663473600,2022-09-18 04:00:00,BCH/EUR,120.94,121.31,120.88,120.98,18.24825700,2207.6741318599998
1663470000,2022-09-18 03:00:00,BCH/EUR,120.99,120.99,120.76,120.76,6.73000000,812.7148000000001
1663466400,2022-09-18 02:00:00,BCH/EUR,120.21,120.21,120.21,120.21,0.00000000,0.0
1663462800,2022-09-18 01:00:00,BCH/EUR,120.43,120.43,120.21,120.21,7.10635407,854.2548227547
1663459200,2022-09-18 00:00:00,BCH/EUR,121.23,121.23,120.74,120.74,40.50000000,4889.969999999999
1663455600,2022-09-17 23:00:00,BCH/EUR,121.97,122.28,121.80,122.28,10.28973100,1258.22830668
1663452000,2022-09-17 22:00:00,BCH/EUR,121.95,122.02,121.82,122.02,14.15030465,1726.620173393
1663448400,2022-09-17 21:00:00,BCH/EUR,122.09,122.14,121.84,121.84,20.44544949,2491.0735658616004
1663444800,2022-09-17 20:00:00,BCH/EUR,121.84,122.21,121.55,122.21,7.19447757,879.2371038297
1663441200,2022-09-17 19:00:00,BCH/EUR,121.95,122.00,121.95,122.00,2.26300000,276.086
1663437600,2022-09-17 18:00:00,BCH/EUR,121.97,122.11,121.71,121.92,31.65014541,3858.7857283872
1663434000,2022-09-17 17:00:00,BCH/EUR,122.63,122.63,121.96,121.96,8.41303471,1026.0537132315999
1663430400,2022-09-17 16:00:00,BCH/EUR,122.59,122.81,122.03,122.64,255.76977900,31367.60569656
1663426800,2022-09-17 15:00:00,BCH/EUR,122.24,122.72,122.06,122.33,126.85565159,15518.251859004698
1663423200,2022-09-17 14:00:00,BCH/EUR,122.24,123.06,122.24,122.69,75.73226000,9291.5909794
1663419600,2022-09-17 13:00:00,BCH/EUR,122.24,122.24,122.11,122.12,3.10597480,379.301642576
1663416000,2022-09-17 12:00:00,BCH/EUR,120.22,122.30,120.10,121.98,317.24933507,38698.0738918386
1663412400,2022-09-17 11:00:00,BCH/EUR,120.71,120.83,120.40,120.50,11.01527997,1327.341236385
1663408800,2022-09-17 10:00:00,BCH/EUR,120.77,120.89,120.34,120.89,24.70441402,2986.5166108778003
1663405200,2022-09-17 09:00:00,BCH/EUR,121.16,121.16,120.36,120.68,64.64463246,7801.3142452728
1663401600,2022-09-17 08:00:00,BCH/EUR,120.61,121.22,120.61,121.22,36.96647000,4481.0754934
1663398000,2022-09-17 07:00:00,BCH/EUR,120.97,121.18,120.46,120.71,26.91659207,3249.1018287696998
1663394400,2022-09-17 06:00:00,BCH/EUR,119.85,120.46,119.68,120.36,36.24496200,4362.4436263200005
1663390800,2022-09-17 05:00:00,BCH/EUR,119.78,119.78,119.01,119.35,5.02757988,600.041658678
1663387200,2022-09-17 04:00:00,BCH/EUR,120.32,120.32,119.86,120.00,51.49812000,6179.7744
1663383600,2022-09-17 03:00:00,BCH/EUR,120.28,120.28,119.85,119.85,20.33000000,2436.5505
1663380000,2022-09-17 02:00:00,BCH/EUR,120.05,120.12,119.66,119.77,70.15000000,8401.8655
1663376400,2022-09-17 01:00:00,BCH/EUR,119.64,120.50,119.56,119.92,162.32216964,19465.6745832288
1663372800,2022-09-17 00:00:00,BCH/EUR,119.18,120.39,119.17,119.88,59.26304200,7104.45347496
1663369200,2022-09-16 23:00:00,BCH/EUR,119.09,119.31,119.09,119.31,43.47000000,5186.4057
1663365600,2022-09-16 22:00:00,BCH/EUR,119.42,119.42,119.01,119.01,35.00000000,4165.35
1663362000,2022-09-16 21:00:00,BCH/EUR,119.16,120.44,119.06,119.71,231.33918757,27693.6141440047
1663358400,2022-09-16 20:00:00,BCH/EUR,118.82,119.03,118.68,119.03,57.66345572,6863.6811343516
1663354800,2022-09-16 19:00:00,BCH/EUR,118.82,118.83,118.65,118.65,8.45606480,1003.3120885200001
1663351200,2022-09-16 18:00:00,BCH/EUR,118.40,119.03,118.03,118.81,109.55486401,13016.2133930281
1663347600,2022-09-16 17:00:00,BCH/EUR,117.94,118.97,116.92,118.81,338.18125092,40179.314421805204
1663344000,2022-09-16 16:00:00,BCH/EUR,118.26,118.34,116.95,117.89,98.50275834,11612.4901807026
1663340400,2022-09-16 15:00:00,BCH/EUR,117.60,118.60,117.60,118.49,60.80346304,7204.602335609599
1663336800,2022-09-16 14:00:00,BCH/EUR,117.89,119.04,117.88,117.88,53.69948464,6330.0952493632
1663333200,2022-09-16 13:00:00,BCH/EUR,119.01,119.06,117.31,117.31,126.62180000,14854.003358
1663329600,2022-09-16 12:00:00,BCH/EUR,119.91,120.42,119.22,119.22,97.15889022,11583.282892028401
1663326000,2022-09-16 11:00:00,BCH/EUR,118.03,120.40,118.01,119.77,95.77937711,11471.495996464699
1663322400,2022-09-16 10:00:00,BCH/EUR,117.48,118.30,117.48,117.95,118.11315773,13931.4469542535
1663318800,2022-09-16 09:00:00,BCH/EUR,117.04,117.04,117.04,117.04,15.00000000,1755.6000000000001
