https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 2CRZ,Volume USDT
1663459200,2022-09-18 00:00:00,2CRZ/USDT,0.002231,0.002284,0.002228,0.00227,1747215.7877,3950.1676709191
1663372800,2022-09-17 00:00:00,2CRZ/USDT,0.002047,0.002966,0.002046,0.002228,65730719.6063,148035.9595127701
1663286400,2022-09-16 00:00:00,2CRZ/USDT,0.002044,0.002072,0.00202,0.002048,42166023.4573,86490.8349214427
1663200000,2022-09-15 00:00:00,2CRZ/USDT,0.002128,0.002135,0.002038,0.002052,39456946.1664,82413.9316867028
1663113600,2022-09-14 00:00:00,2CRZ/USDT,0.002109,0.002131,0.0021,0.002129,42319514.6483,89612.9696121053
1663027200,2022-09-13 00:00:00,2CRZ/USDT,0.002256,0.00234,0.002109,0.002109,39635710.3874,87002.4448285669
1662940800,2022-09-12 00:00:00,2CRZ/USDT,0.002198,0.002312,0.002171,0.002257,45516438.0766,101575.8845364834
1662854400,2022-09-11 00:00:00,2CRZ/USDT,0.002184,0.002211,0.002171,0.002202,42144473.5478,92312.5987162604
1662768000,2022-09-10 00:00:00,2CRZ/USDT,0.00219,0.002194,0.002171,0.002188,29594521.6,64647.2812248437
1662681600,2022-09-09 00:00:00,2CRZ/USDT,0.002118,0.002189,0.002113,0.002189,35707361.8398,77404.8288227747
1662595200,2022-09-08 00:00:00,2CRZ/USDT,0.00214,0.00214,0.0021,0.002116,34651023.8381,73312.5414101929
1662508800,2022-09-07 00:00:00,2CRZ/USDT,0.002072,0.002143,0.002066,0.00214,37124330.3306,77354.8643731775
1662422400,2022-09-06 00:00:00,2CRZ/USDT,0.002155,0.002178,0.002046,0.002079,35843051.6505,76330.1106581013
1662336000,2022-09-05 00:00:00,2CRZ/USDT,0.00214,0.002179,0.00214,0.002157,37427602.6047,80768.556578432
1662249600,2022-09-04 00:00:00,2CRZ/USDT,0.002169,0.002174,0.002139,0.002153,34486070.4125,74030.1607337067
1662163200,2022-09-03 00:00:00,2CRZ/USDT,0.002138,0.002211,0.002134,0.002168,33249280.7967,71727.7622353362
1662076800,2022-09-02 00:00:00,2CRZ/USDT,0.002142,0.002188,0.002133,0.00214,35664111.2779,76731.1093062999
1661990400,2022-09-01 00:00:00,2CRZ/USDT,0.002151,0.002189,0.002133,0.002142,35843950.5795,77378.3471424553
1661904000,2022-08-31 00:00:00,2CRZ/USDT,0.002136,0.002186,0.00213,0.002145,36466396.5283,78263.1281232889
1661817600,2022-08-30 00:00:00,2CRZ/USDT,0.002071,0.002206,0.002065,0.002136,31533259.6922,67300.0630987315
1661731200,2022-08-29 00:00:00,2CRZ/USDT,0.00206,0.002106,0.002033,0.002076,38164259.1484,78615.4011843363
1661644800,2022-08-28 00:00:00,2CRZ/USDT,0.002042,0.002083,0.002025,0.002061,34122183.2041,69933.1323829647
1661558400,2022-08-27 00:00:00,2CRZ/USDT,0.002088,0.002118,0.00202,0.00204,36689948.8555,75983.050964985
1661472000,2022-08-26 00:00:00,2CRZ/USDT,0.002185,0.002187,0.002092,0.002095,36693874.6698,79533.2527313986
1661385600,2022-08-25 00:00:00,2CRZ/USDT,0.002193,0.002208,0.002165,0.002184,37759421.2556,82549.7394400002
1661299200,2022-08-24 00:00:00,2CRZ/USDT,0.002215,0.00222,0.002165,0.002184,39885312.9567,87878.4563926303
1661212800,2022-08-23 00:00:00,2CRZ/USDT,0.00222,0.002435,0.002188,0.002217,46567401.1858,103491.9862468483
1661126400,2022-08-22 00:00:00,2CRZ/USDT,0.002096,0.00267,0.00207,0.00222,72680123.568,165704.5240155959
1661040000,2022-08-21 00:00:00,2CRZ/USDT,0.002145,0.00216,0.002046,0.002093,38859880.5175,81511.7543989746
1660953600,2022-08-20 00:00:00,2CRZ/USDT,0.00219,0.00222,0.002137,0.00215,37684525.5517,82070.6910721923
1660867200,2022-08-19 00:00:00,2CRZ/USDT,0.002393,0.002413,0.002144,0.00219,43902310.7263,100394.8277789983
1660780800,2022-08-18 00:00:00,2CRZ/USDT,0.00243,0.00243,0.002347,0.002395,36760824.8779,87922.166506468
