https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WHALE,Volume USDT
1663462800,2022-09-18 01:00:00,WHALE/USDT,1.0234,1.0259,1.0234,1.024,1843.6084,1889.59862003
1663459200,2022-09-18 00:00:00,WHALE/USDT,1.028,1.0361,1.0207,1.0262,7301.7371,7501.83318764
1663455600,2022-09-17 23:00:00,WHALE/USDT,1.0177,1.034,1.0172,1.0289,9964.4194,10195.21799397
1663452000,2022-09-17 22:00:00,WHALE/USDT,1.0204,1.0214,1.0169,1.0178,6627.7647,6753.25008611
1663448400,2022-09-17 21:00:00,WHALE/USDT,1.0169,1.0302,1.0167,1.0202,8459.4954,8639.41091805
1663444800,2022-09-17 20:00:00,WHALE/USDT,1.0185,1.0202,1.0151,1.0165,8439.9217,8591.51783357
1663441200,2022-09-17 19:00:00,WHALE/USDT,1.0235,1.0252,1.0132,1.019,9798.7262,10007.91924619
1663437600,2022-09-17 18:00:00,WHALE/USDT,1.0235,1.0264,1.0199,1.0231,9934.5501,10154.81327317
1663434000,2022-09-17 17:00:00,WHALE/USDT,1.0223,1.0263,1.0199,1.0237,8798.8832,9017.01961367
1663430400,2022-09-17 16:00:00,WHALE/USDT,1.016,1.0306,1.011,1.0222,10917.2386,11095.35373289
1663426800,2022-09-17 15:00:00,WHALE/USDT,1.0156,1.0199,1.0111,1.0158,7010.0795,7115.01245593
1663423200,2022-09-17 14:00:00,WHALE/USDT,1.0178,1.0178,1.0096,1.0162,11431.8681,11578.83363744
1663419600,2022-09-17 13:00:00,WHALE/USDT,1.0181,1.0196,1.0136,1.0178,7371.7705,7509.63961949
1663416000,2022-09-17 12:00:00,WHALE/USDT,1.026,1.0261,1.0083,1.0181,8890.0157,9072.48756556
1663412400,2022-09-17 11:00:00,WHALE/USDT,1.0229,1.0266,1.0215,1.0261,7833.8148,8021.9954729
1663408800,2022-09-17 10:00:00,WHALE/USDT,1.0228,1.0266,1.0204,1.0232,6364.1433,6522.50953317
1663405200,2022-09-17 09:00:00,WHALE/USDT,1.0201,1.0266,1.02,1.0222,9004.6392,9202.14106621
1663401600,2022-09-17 08:00:00,WHALE/USDT,1.0205,1.0261,1.0199,1.0205,7613.3399,7768.27743037
1663398000,2022-09-17 07:00:00,WHALE/USDT,1.0206,1.0214,1.0201,1.0205,10681.5641,10899.56333747
1663394400,2022-09-17 06:00:00,WHALE/USDT,1.0205,1.0213,1.0199,1.0206,10994.1452,11222.39435298
1663390800,2022-09-17 05:00:00,WHALE/USDT,1.0202,1.0214,1.02,1.0206,8583.8661,8759.37078916
1663387200,2022-09-17 04:00:00,WHALE/USDT,1.0212,1.0214,1.0201,1.0203,10018.6706,10223.91137404
1663383600,2022-09-17 03:00:00,WHALE/USDT,1.0201,1.0213,1.0201,1.0211,7066.3532,7212.32716076
1663380000,2022-09-17 02:00:00,WHALE/USDT,1.0212,1.0213,1.0199,1.0201,9645.6219,9847.88350443
1663376400,2022-09-17 01:00:00,WHALE/USDT,1.0212,1.0213,1.0207,1.0212,6848.072,6992.00131333
