https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRU,Volume USDT
1663459200,2022-09-18 00:00:00,TRU/USDT,0.06153,0.06153,0.06105,0.06109,3199.20092202,195.3796333969805
1663372800,2022-09-17 00:00:00,TRU/USDT,0.05722,0.06217,0.05722,0.06157,654837.67987922,39521.593339883963
1663286400,2022-09-16 00:00:00,TRU/USDT,0.05837,0.05934,0.05608,0.05711,289547.80851769,16636.1945424529461
1663200000,2022-09-15 00:00:00,TRU/USDT,0.0629,0.06332,0.05839,0.05881,506433.4501072,30839.6628855036005
1663113600,2022-09-14 00:00:00,TRU/USDT,0.0601,0.0647,0.0597,0.06301,1182823.04030505,73136.0589495192801
1663027200,2022-09-13 00:00:00,TRU/USDT,0.06401,0.0657,0.0602,0.0602,849895.10331683,53206.1995322382378
1662940800,2022-09-12 00:00:00,TRU/USDT,0.06774,0.06838,0.0639,0.06397,609039.13773726,40556.1967248230659
1662854400,2022-09-11 00:00:00,TRU/USDT,0.06698,0.07312,0.06586,0.06786,1242104.14201913,85099.6198116435642
1662768000,2022-09-10 00:00:00,TRU/USDT,0.06762,0.06953,0.0666,0.06696,807026.60842399,54701.0264081754852
1662681600,2022-09-09 00:00:00,TRU/USDT,0.06332,0.0679,0.06326,0.06772,887280.05261132,58578.4995706476371
1662595200,2022-09-08 00:00:00,TRU/USDT,0.06421,0.06523,0.06232,0.06332,444840.44358383,28366.311024738886
1662508800,2022-09-07 00:00:00,TRU/USDT,0.06152,0.06591,0.06004,0.06414,643790.76801834,40066.1132845773145
1662422400,2022-09-06 00:00:00,TRU/USDT,0.06489,0.06768,0.06133,0.06156,795092.92556131,51741.0915457785173
1662336000,2022-09-05 00:00:00,TRU/USDT,0.06382,0.06604,0.06213,0.06492,814907.72476322,52417.4626701200234
1662249600,2022-09-04 00:00:00,TRU/USDT,0.06403,0.06403,0.06273,0.0636,162846.48767203,10309.3130890157626
1662163200,2022-09-03 00:00:00,TRU/USDT,0.06451,0.06472,0.0634,0.0638,200075.92953614,12785.8886991804948
1662076800,2022-09-02 00:00:00,TRU/USDT,0.0643,0.06599,0.06322,0.06461,310124.10458365,19968.9355214485415
1661990400,2022-09-01 00:00:00,TRU/USDT,0.06306,0.0658,0.06117,0.06428,774551.74343399,48923.0170432050743
1661904000,2022-08-31 00:00:00,TRU/USDT,0.06241,0.065,0.0616,0.06289,623511.53591924,39642.7581746932552
1661817600,2022-08-30 00:00:00,TRU/USDT,0.0651,0.0663,0.06097,0.062,486808.05707395,31003.058380724922
1661731200,2022-08-29 00:00:00,TRU/USDT,0.0605,0.06513,0.05952,0.06494,940480.38795199,58617.0542501245227
1661644800,2022-08-28 00:00:00,TRU/USDT,0.06382,0.06506,0.06028,0.06028,679706.55232453,42848.1161295192591
1661558400,2022-08-27 00:00:00,TRU/USDT,0.0623,0.06779,0.06076,0.06374,1369613.7554183,87407.7812040803228
1661472000,2022-08-26 00:00:00,TRU/USDT,0.06797,0.07029,0.062,0.06255,1146828.1331496,76050.0930602220996
1661385600,2022-08-25 00:00:00,TRU/USDT,0.06653,0.0693,0.06598,0.06807,594223.80168313,40294.1391167364971
1661299200,2022-08-24 00:00:00,TRU/USDT,0.06614,0.07689,0.06403,0.06657,3067888.34462302,214259.4077002524604
1661212800,2022-08-23 00:00:00,TRU/USDT,0.06418,0.06697,0.06189,0.06632,859854.82719238,55462.6429327851414
1661126400,2022-08-22 00:00:00,TRU/USDT,0.06566,0.06566,0.06094,0.06451,1102577.77458442,69728.5593623592085
1661040000,2022-08-21 00:00:00,TRU/USDT,0.06309,0.06785,0.06302,0.06593,911949.17816119,60037.4041253409055
1660953600,2022-08-20 00:00:00,TRU/USDT,0.06338,0.06742,0.06099,0.06335,860790.85800218,55587.0972273646407
1660867200,2022-08-19 00:00:00,TRU/USDT,0.07227,0.0723,0.06307,0.06335,944421.32998311,63283.3880693600587
1660780800,2022-08-18 00:00:00,TRU/USDT,0.07356,0.07939,0.07149,0.07211,699637.39516577,53341.9908090461624
1660694400,2022-08-17 00:00:00,TRU/USDT,0.07917,0.08143,0.07329,0.07385,578959.56887743,44741.8163856281985
1660608000,2022-08-16 00:00:00,TRU/USDT,0.07901,0.08088,0.07725,0.07915,461890.318124,36660.4341224327546
1660521600,2022-08-15 00:00:00,TRU/USDT,0.08655,0.08798,0.07686,0.07887,613905.21803274,50457.3841428900035
1660435200,2022-08-14 00:00:00,TRU/USDT,0.09245,0.09318,0.08567,0.0867,518117.46621163,46407.9621224209585
1660348800,2022-08-13 00:00:00,TRU/USDT,0.09701,0.09708,0.09131,0.0924,706522.27311654,66207.1656131443419
1660262400,2022-08-12 00:00:00,TRU/USDT,0.08743,0.1001,0.08606,0.09734,1622854.45876097,153784.5160499812833
1660176000,2022-08-11 00:00:00,TRU/USDT,0.08725,0.08961,0.08626,0.08736,284308.22185618,24957.7805242723931
1660089600,2022-08-10 00:00:00,TRU/USDT,0.08349,0.08788,0.08105,0.08743,517806.76429894,43074.8295102586206
1660003200,2022-08-09 00:00:00,TRU/USDT,0.08694,0.09435,0.08263,0.08364,974408.65335454,86071.3603551916508
1659916800,2022-08-08 00:00:00,TRU/USDT,0.08579,0.08912,0.08579,0.0869,532708.43964919,46664.2441512603261
1659830400,2022-08-07 00:00:00,TRU/USDT,0.0853,0.08687,0.0832,0.08594,429563.32459974,36373.8715851643546
1659744000,2022-08-06 00:00:00,TRU/USDT,0.08691,0.08808,0.08502,0.08502,463686.02615286,40215.982311944469
1659657600,2022-08-05 00:00:00,TRU/USDT,0.08442,0.08887,0.08392,0.087,654498.60248291,56631.0337864102991
1659571200,2022-08-04 00:00:00,TRU/USDT,0.08633,0.0884,0.08212,0.08472,1276234.91108109,108675.2930067736401
1659484800,2022-08-03 00:00:00,TRU/USDT,0.08539,0.089,0.08224,0.08621,813592.56927454,70338.0976345389449
1659398400,2022-08-02 00:00:00,TRU/USDT,0.08557,0.08752,0.08027,0.08515,1226215.3458204,102144.8574838789751
1659312000,2022-08-01 00:00:00,TRU/USDT,0.08533,0.08798,0.084,0.08577,782987.92437139,67083.7926084861621
1659225600,2022-07-31 00:00:00,TRU/USDT,0.0888,0.09012,0.08517,0.08524,790270.34482863,69670.2156458670425
