https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA3L,Volume USDT
1652313600,2022-05-12 00:00:00,LUNA3L/USDT,0.07300001,0.12000011,0.000019,0.000019,1560844.7896167,114867.9333647176112621
1652227200,2022-05-11 00:00:00,LUNA3L/USDT,0.0051,0.46648014,0.00001851,0.075,4258692270.10972702,2617029.1104783190072906
1652140800,2022-05-10 00:00:00,LUNA3L/USDT,0.0432,0.0726,0.0031,0.0052,678555904.43700863,12064584.38832498396
1652054400,2022-05-09 00:00:00,LUNA3L/USDT,0.5277,0.5612,0.0431,0.0432,29027443.47410047,8190925.217308491094
1651968000,2022-05-08 00:00:00,LUNA3L/USDT,0.6519,0.673,0.4,0.5275,10678834.54932668,5766634.838989718685
1651881600,2022-05-07 00:00:00,LUNA3L/USDT,1.0338,1.0407,0.5189,0.6519,3615463.0332917,2829541.509273322087
1651795200,2022-05-06 00:00:00,LUNA3L/USDT,1.2667,1.2922,1.0303,1.0329,1981057.2733502,2294059.47710111881
1651708800,2022-05-05 00:00:00,LUNA3L/USDT,1.4557,1.5361,1.0864,1.2681,2329637.09109945,2992962.920776695212
1651622400,2022-05-04 00:00:00,LUNA3L/USDT,1.2811,1.5497,1.2555,1.4557,2346245.03744524,3306512.056721869784
1651536000,2022-05-03 00:00:00,LUNA3L/USDT,1.3567,1.4434,1.2158,1.2775,1398067.98478741,1862526.053318912894
1651449600,2022-05-02 00:00:00,LUNA3L/USDT,1.2688,1.4075,1.1923,1.3567,1825976.68254686,2394630.611068388556
1651363200,2022-05-01 00:00:00,LUNA3L/USDT,1.107,1.3298,1.0319,1.2728,2169354.22819762,2585011.523401347633
1651276800,2022-04-30 00:00:00,LUNA3L/USDT,1.4531,1.52,1.03,1.107,1686846.89266073,2149590.116393611614
1651190400,2022-04-29 00:00:00,LUNA3L/USDT,1.6827,1.713,1.405,1.4525,1392529.19689863,2124456.872392873553
1651104000,2022-04-28 00:00:00,LUNA3L/USDT,1.6785,1.8681,1.5743,1.6825,1436397.857515,2452541.96191949393
1651017600,2022-04-27 00:00:00,LUNA3L/USDT,1.6415,1.7982,1.6,1.6841,1284618.56991316,2166395.348886862219
1650931200,2022-04-26 00:00:00,LUNA3L/USDT,2.2164,2.26,1.55,1.6464,1907544.78036166,3553266.771238984715
1650844800,2022-04-25 00:00:00,LUNA3L/USDT,1.8321,2.2512,1.634,2.2134,1603971.20827543,3048683.099756435304
1650758400,2022-04-24 00:00:00,LUNA3L/USDT,1.7659,1.9592,1.72,1.8375,899161.19621776,1663657.289592943636
1650672000,2022-04-23 00:00:00,LUNA3L/USDT,2.0322,2.0791,1.7554,1.765,1013372.41479772,1962408.232829095505
