https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VRA,Volume USDT
1663462800,2022-09-18 01:00:00,VRA/USDT,0.00446082,0.00446829,0.00446006,0.00446092,840698.2667,3752.682725766638
1663459200,2022-09-18 00:00:00,VRA/USDT,0.00452567,0.00453228,0.00445679,0.00446059,14634140.69922301,65576.8667304866499328
1663455600,2022-09-17 23:00:00,VRA/USDT,0.00448271,0.00466255,0.00448079,0.00452565,27775290.23469725,126336.499618534318855
1663452000,2022-09-17 22:00:00,VRA/USDT,0.00448984,0.00450451,0.0044774,0.00448222,14559553.94869367,65346.2069225872064806
1663448400,2022-09-17 21:00:00,VRA/USDT,0.00446141,0.00450001,0.0044553,0.00448054,19814601.85418707,88604.2000569906650592
1663444800,2022-09-17 20:00:00,VRA/USDT,0.00445731,0.00446528,0.00445342,0.00446251,10095479.68183971,45015.4722383187877319
1663441200,2022-09-17 19:00:00,VRA/USDT,0.00445491,0.00446528,0.0044485,0.00445634,17122575.83859475,76284.5136209704962703
1663437600,2022-09-17 18:00:00,VRA/USDT,0.00445076,0.00450046,0.0044478,0.00445456,28750626.90211101,128502.6487808316119115
1663434000,2022-09-17 17:00:00,VRA/USDT,0.00442531,0.00467966,0.00441751,0.00445098,64651822.67394698,289757.3064283220910678
1663430400,2022-09-17 16:00:00,VRA/USDT,0.00438461,0.00442965,0.00437999,0.00441965,29225802.33897239,128864.8474318401403828
1663426800,2022-09-17 15:00:00,VRA/USDT,0.00438238,0.0044063,0.00436839,0.00438898,19176947.11509141,84134.0822102758303671
1663423200,2022-09-17 14:00:00,VRA/USDT,0.00435049,0.0043825,0.00434885,0.0043825,23551645.63734639,102863.3094911565113656
1663419600,2022-09-17 13:00:00,VRA/USDT,0.00433594,0.00435916,0.00433211,0.00434982,12480494.62253048,54189.8047116818101643
1663416000,2022-09-17 12:00:00,VRA/USDT,0.00432722,0.0043417,0.00431713,0.00433515,16870513.84383341,73003.9124327882210631
1663412400,2022-09-17 11:00:00,VRA/USDT,0.0043375,0.00434554,0.00432678,0.00432678,7375280.24358636,31963.0757547479156165
1663408800,2022-09-17 10:00:00,VRA/USDT,0.00433672,0.00434112,0.00432084,0.00433356,5380814.71065413,23322.908641241330701
1663405200,2022-09-17 09:00:00,VRA/USDT,0.00434246,0.00435759,0.00433,0.00434033,10773622.12778283,46778.1162985862205074
1663401600,2022-09-17 08:00:00,VRA/USDT,0.00433788,0.00435392,0.00433745,0.00434505,10035419.71855838,43619.4093583028873262
1663398000,2022-09-17 07:00:00,VRA/USDT,0.00432469,0.00434419,0.00431542,0.0043363,9810758.17231283,42457.5745661282742277
1663394400,2022-09-17 06:00:00,VRA/USDT,0.00429275,0.0043255,0.00429275,0.0043249,13258659.08180337,57215.8092152318876955
1663390800,2022-09-17 05:00:00,VRA/USDT,0.00430817,0.00430817,0.0042861,0.00429371,7027883.56652468,30176.2849618176919368
1663387200,2022-09-17 04:00:00,VRA/USDT,0.00428319,0.00432054,0.0042761,0.00430817,13421813.02181703,57730.0022415801927264
1663383600,2022-09-17 03:00:00,VRA/USDT,0.00429902,0.00430481,0.0042756,0.00428686,15717627.30365133,67409.7303893924324014
1663380000,2022-09-17 02:00:00,VRA/USDT,0.00431953,0.00432447,0.0042966,0.00429902,10151576.90031627,43721.2354783509159825
1663376400,2022-09-17 01:00:00,VRA/USDT,0.00431246,0.00432735,0.00431246,0.00432059,9280656.88052882,40095.8919624490175564
1663372800,2022-09-17 00:00:00,VRA/USDT,0.00430245,0.00434529,0.00429432,0.00431196,20459252.57901598,88432.8385959760406943
1663369200,2022-09-16 23:00:00,VRA/USDT,0.00431009,0.00431552,0.00429499,0.00430356,17948753.67410577,77261.823410695158124
