https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DYDX,Volume EUR
1663545600,2022-09-19 00:00:00,DYDX/EUR,1.209,1.209,1.209,1.209,0.00000000,0.0
1663542000,2022-09-18 23:00:00,DYDX/EUR,1.209,1.209,1.209,1.209,114.00000000,137.82600000000002
1663538400,2022-09-18 22:00:00,DYDX/EUR,1.201,1.201,1.201,1.201,50.00000000,60.050000000000004
1663534800,2022-09-18 21:00:00,DYDX/EUR,1.315,1.315,1.138,1.138,880.29446303,1001.7750989281399
1663531200,2022-09-18 20:00:00,DYDX/EUR,1.316,1.316,1.316,1.316,25.00000000,32.9
1663527600,2022-09-18 19:00:00,DYDX/EUR,1.330,1.330,1.330,1.330,0.00000000,0.0
1663524000,2022-09-18 18:00:00,DYDX/EUR,1.330,1.330,1.330,1.330,7.60000000,10.108
1663520400,2022-09-18 17:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663516800,2022-09-18 16:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663513200,2022-09-18 15:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663509600,2022-09-18 14:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663506000,2022-09-18 13:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663502400,2022-09-18 12:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663498800,2022-09-18 11:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663495200,2022-09-18 10:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663491600,2022-09-18 09:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663488000,2022-09-18 08:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663484400,2022-09-18 07:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663480800,2022-09-18 06:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663477200,2022-09-18 05:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663473600,2022-09-18 04:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663470000,2022-09-18 03:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663466400,2022-09-18 02:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,0.00000000,0.0
1663462800,2022-09-18 01:00:00,DYDX/EUR,1.391,1.391,1.391,1.391,82.29830108,114.47693680228001
1663459200,2022-09-18 00:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663455600,2022-09-17 23:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663452000,2022-09-17 22:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663448400,2022-09-17 21:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663444800,2022-09-17 20:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663441200,2022-09-17 19:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663437600,2022-09-17 18:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663434000,2022-09-17 17:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663430400,2022-09-17 16:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663426800,2022-09-17 15:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663423200,2022-09-17 14:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663419600,2022-09-17 13:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663416000,2022-09-17 12:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663412400,2022-09-17 11:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663408800,2022-09-17 10:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663405200,2022-09-17 09:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663401600,2022-09-17 08:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663398000,2022-09-17 07:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663394400,2022-09-17 06:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663390800,2022-09-17 05:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663387200,2022-09-17 04:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663383600,2022-09-17 03:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663380000,2022-09-17 02:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663376400,2022-09-17 01:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663372800,2022-09-17 00:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663369200,2022-09-16 23:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663365600,2022-09-16 22:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663362000,2022-09-16 21:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663358400,2022-09-16 20:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663354800,2022-09-16 19:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663351200,2022-09-16 18:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663347600,2022-09-16 17:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663344000,2022-09-16 16:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663340400,2022-09-16 15:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663336800,2022-09-16 14:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,0.00000000,0.0
1663333200,2022-09-16 13:00:00,DYDX/EUR,1.334,1.334,1.334,1.334,39.03587444,52.073856502960005
1663329600,2022-09-16 12:00:00,DYDX/EUR,1.338,1.338,1.338,1.338,0.00000000,0.0
1663326000,2022-09-16 11:00:00,DYDX/EUR,1.338,1.338,1.338,1.338,0.00000000,0.0
1663322400,2022-09-16 10:00:00,DYDX/EUR,1.338,1.338,1.338,1.338,120.03412136,160.60565437968
1663318800,2022-09-16 09:00:00,DYDX/EUR,1.323,1.324,1.323,1.324,900.00000000,1191.6000000000001
1663315200,2022-09-16 08:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663311600,2022-09-16 07:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663308000,2022-09-16 06:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663304400,2022-09-16 05:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663300800,2022-09-16 04:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663297200,2022-09-16 03:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663293600,2022-09-16 02:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663290000,2022-09-16 01:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663286400,2022-09-16 00:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663282800,2022-09-15 23:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663279200,2022-09-15 22:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663275600,2022-09-15 21:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,0.00000000,0.0
1663272000,2022-09-15 20:00:00,DYDX/EUR,1.339,1.339,1.339,1.339,86.18640979,115.40360270881
1663268400,2022-09-15 19:00:00,DYDX/EUR,1.342,1.342,1.342,1.342,0.00000000,0.0
1663264800,2022-09-15 18:00:00,DYDX/EUR,1.342,1.342,1.342,1.342,0.00000000,0.0
1663261200,2022-09-15 17:00:00,DYDX/EUR,1.342,1.342,1.342,1.342,24.00000000,32.208
1663257600,2022-09-15 16:00:00,DYDX/EUR,1.360,1.360,1.360,1.360,0.00000000,0.0
1663254000,2022-09-15 15:00:00,DYDX/EUR,1.360,1.360,1.360,1.360,0.00000000,0.0
1663250400,2022-09-15 14:00:00,DYDX/EUR,1.360,1.360,1.360,1.360,0.00000000,0.0
1663246800,2022-09-15 13:00:00,DYDX/EUR,1.363,1.363,1.360,1.360,331.79174914,451.2367788304
1663243200,2022-09-15 12:00:00,DYDX/EUR,1.362,1.366,1.362,1.366,424.27716351,579.56260535466
1663239600,2022-09-15 11:00:00,DYDX/EUR,1.359,1.359,1.359,1.359,0.00000000,0.0
1663236000,2022-09-15 10:00:00,DYDX/EUR,1.359,1.359,1.359,1.359,0.00000000,0.0
1663232400,2022-09-15 09:00:00,DYDX/EUR,1.359,1.359,1.359,1.359,0.00000000,0.0
1663228800,2022-09-15 08:00:00,DYDX/EUR,1.359,1.359,1.359,1.359,0.00000000,0.0
1663225200,2022-09-15 07:00:00,DYDX/EUR,1.359,1.359,1.359,1.359,0.00000000,0.0
1663221600,2022-09-15 06:00:00,DYDX/EUR,1.323,1.361,1.321,1.359,1325.17524393,1800.9131565008702
1663218000,2022-09-15 05:00:00,DYDX/EUR,1.375,1.375,1.375,1.375,0.00000000,0.0
1663214400,2022-09-15 04:00:00,DYDX/EUR,1.375,1.375,1.375,1.375,0.00000000,0.0
1663210800,2022-09-15 03:00:00,DYDX/EUR,1.375,1.375,1.375,1.375,0.00000000,0.0
1663207200,2022-09-15 02:00:00,DYDX/EUR,1.375,1.375,1.375,1.375,0.00000000,0.0
1663203600,2022-09-15 01:00:00,DYDX/EUR,1.375,1.375,1.375,1.375,0.00000000,0.0
1663200000,2022-09-15 00:00:00,DYDX/EUR,1.375,1.375,1.375,1.375,36.36363636,49.999999995
1663196400,2022-09-14 23:00:00,DYDX/EUR,1.390,1.390,1.390,1.390,0.00000000,0.0
1663192800,2022-09-14 22:00:00,DYDX/EUR,1.390,1.390,1.390,1.390,0.00000000,0.0
1663189200,2022-09-14 21:00:00,DYDX/EUR,1.374,1.390,1.374,1.390,142.77443589,198.4564658871
1663185600,2022-09-14 20:00:00,DYDX/EUR,1.367,1.367,1.367,1.367,0.00000000,0.0
1663182000,2022-09-14 19:00:00,DYDX/EUR,1.367,1.367,1.367,1.367,0.00000000,0.0
1663178400,2022-09-14 18:00:00,DYDX/EUR,1.370,1.370,1.366,1.367,181.72563274,248.41893995558002
1663174800,2022-09-14 17:00:00,DYDX/EUR,1.393,1.393,1.393,1.393,0.00000000,0.0
1663171200,2022-09-14 16:00:00,DYDX/EUR,1.393,1.393,1.393,1.393,0.00000000,0.0
1663167600,2022-09-14 15:00:00,DYDX/EUR,1.393,1.393,1.393,1.393,0.00000000,0.0
1663164000,2022-09-14 14:00:00,DYDX/EUR,1.396,1.396,1.393,1.393,454.43370658,633.02615326594
1663160400,2022-09-14 13:00:00,DYDX/EUR,1.401,1.401,1.401,1.401,0.00000000,0.0
1663156800,2022-09-14 12:00:00,DYDX/EUR,1.401,1.401,1.401,1.401,0.00000000,0.0
1663153200,2022-09-14 11:00:00,DYDX/EUR,1.401,1.401,1.401,1.401,0.00000000,0.0
1663149600,2022-09-14 10:00:00,DYDX/EUR,1.401,1.401,1.401,1.401,0.00000000,0.0
1663146000,2022-09-14 09:00:00,DYDX/EUR,1.401,1.401,1.401,1.401,0.00000000,0.0
1663142400,2022-09-14 08:00:00,DYDX/EUR,1.401,1.401,1.401,1.401,0.00000000,0.0
1663138800,2022-09-14 07:00:00,DYDX/EUR,1.401,1.401,1.401,1.401,730.00000000,1022.73
1663135200,2022-09-14 06:00:00,DYDX/EUR,1.398,1.401,1.398,1.401,163.77567148,229.44971574348
1663131600,2022-09-14 05:00:00,DYDX/EUR,1.410,1.410,1.410,1.410,0.00000000,0.0
1663128000,2022-09-14 04:00:00,DYDX/EUR,1.410,1.410,1.410,1.410,106.74954225,150.5168545725
1663124400,2022-09-14 03:00:00,DYDX/EUR,1.421,1.421,1.421,1.421,0.00000000,0.0
1663120800,2022-09-14 02:00:00,DYDX/EUR,1.421,1.421,1.421,1.421,105.92319112,150.51685458152
1663117200,2022-09-14 01:00:00,DYDX/EUR,1.410,1.410,1.410,1.410,0.00000000,0.0
1663113600,2022-09-14 00:00:00,DYDX/EUR,1.400,1.410,1.400,1.410,250.00761428,352.51073613479997
1663110000,2022-09-13 23:00:00,DYDX/EUR,1.424,1.424,1.409,1.409,81.80477192,115.26292363527999
1663106400,2022-09-13 22:00:00,DYDX/EUR,1.426,1.433,1.426,1.433,482.28401127,691.11298814991
