https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume ETH
1663372800,2022-09-17 00:00:00,SNX/ETH,0.0018183,0.0018278,0.0018158,0.0018161,4.08136593,0.007440656489695
1663286400,2022-09-16 00:00:00,SNX/ETH,0.0017494,0.0018096,0.00174,0.0018068,242.25006462,0.430797303524136
1663200000,2022-09-15 00:00:00,SNX/ETH,0.0016532,0.0017712,0.001624,0.0017546,1715.91479246,2.915997113073928
1663113600,2022-09-14 00:00:00,SNX/ETH,0.0017355,0.0017417,0.0016503,0.0016584,934.9333261,1.578072118585526
1663027200,2022-09-13 00:00:00,SNX/ETH,0.0017122,0.0017633,0.0016667,0.0017318,481.32469996,0.826042151018668
1662940800,2022-09-12 00:00:00,SNX/ETH,0.001666,0.0017358,0.0016562,0.0017287,1770.63854133,2.982199544173931
1662854400,2022-09-11 00:00:00,SNX/ETH,0.0017129,0.0017271,0.0016728,0.0016763,701.09416573,1.189112868777329
1662768000,2022-09-10 00:00:00,SNX/ETH,0.001751,0.0018193,0.0017029,0.0017119,1025.88909662,1.812998620581098
1662681600,2022-09-09 00:00:00,SNX/ETH,0.001793,0.0018189,0.0017419,0.0017419,884.30593421,1.556117942357478
1662595200,2022-09-08 00:00:00,SNX/ETH,0.001842,0.0018467,0.0017577,0.0017951,172.34346157,0.307851214234335
1662508800,2022-09-07 00:00:00,SNX/ETH,0.001783,0.0018925,0.001783,0.0018328,137.88173555,0.252425785944215
1662422400,2022-09-06 00:00:00,SNX/ETH,0.0018606,0.0018606,0.0017443,0.0017832,2803.66632888,5.127978506513859
1662336000,2022-09-05 00:00:00,SNX/ETH,0.001886,0.0019023,0.0018457,0.00185,59.65152909,0.111602109108206
1662249600,2022-09-04 00:00:00,SNX/ETH,0.0018791,0.0019046,0.0018762,0.001885,338.01915492,0.640286302644542
1662163200,2022-09-03 00:00:00,SNX/ETH,0.0019246,0.0019503,0.0018606,0.0018883,743.65700942,1.419027824433495
1662076800,2022-09-02 00:00:00,SNX/ETH,0.0018525,0.0019979,0.0018227,0.0019128,2160.37517282,4.182898266423624
1661990400,2022-09-01 00:00:00,SNX/ETH,0.0019128,0.0020315,0.0018244,0.0018467,3444.43581195,6.726420271437074
1661904000,2022-08-31 00:00:00,SNX/ETH,0.0019503,0.0019836,0.0018365,0.0019041,6091.90231151,11.415181935876705
1661817600,2022-08-30 00:00:00,SNX/ETH,0.0022414,0.0023221,0.0019416,0.0019515,8144.32048507,17.154279791747523
1661731200,2022-08-29 00:00:00,SNX/ETH,0.0020898,0.0023258,0.0019246,0.0022359,12814.89825902,26.982012855540954
