https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT
1663545600000.0,2022-09-19 00:00:00,TRX/USDT,0.06077,0.0608475,0.060735,0.0607525,397854.49067939585,24170.654945
1663459200000.0,2022-09-18 00:00:00,TRX/USDT,0.0623,0.0626625,0.06077,0.06077,11497883.100707587,698726.35603
1663372800000.0,2022-09-17 00:00:00,TRX/USDT,0.06134,0.0624,0.061335,0.0623,10052159.455858748,626249.5341
1663286400000.0,2022-09-16 00:00:00,TRX/USDT,0.06132,0.0616175,0.060575,0.06134,13594619.729825564,833893.9742275
1663200000000.0,2022-09-15 00:00:00,TRX/USDT,0.0616275,0.0619725,0.060555,0.06132,18545044.702707108,1137182.14117
1663113600000.0,2022-09-14 00:00:00,TRX/USDT,0.06067,0.0617325,0.06053,0.0616275,11422278.048517302,703926.440435
1663027200000.0,2022-09-13 00:00:00,TRX/USDT,0.0638675,0.06418,0.060625,0.06067,27513247.09102522,1669228.7010125
1662940800000.0,2022-09-12 00:00:00,TRX/USDT,0.0641775,0.0647775,0.063115,0.0638675,18643201.681410734,1190694.6833875
1662854400000.0,2022-09-11 00:00:00,TRX/USDT,0.064775,0.06503,0.06355,0.0641775,14034001.43535507,900667.1271175
1662768000000.0,2022-09-10 00:00:00,TRX/USDT,0.06343,0.0648175,0.06298,0.064775,13588889.597761482,880220.323695
1662681600000.0,2022-09-09 00:00:00,TRX/USDT,0.0612725,0.063725,0.0611875,0.06343,12605802.258000946,799586.037225
1662595200000.0,2022-09-08 00:00:00,TRX/USDT,0.061815,0.0619275,0.06008,0.0612725,14209552.06556775,870654.7789375
1662508800000.0,2022-09-07 00:00:00,TRX/USDT,0.0607025,0.061945,0.0600525,0.061815,16727417.078419477,1034005.2867025
1662422400000.0,2022-09-06 00:00:00,TRX/USDT,0.062945,0.0640575,0.06053,0.0607025,38815483.997858405,2356196.91738
1662336000000.0,2022-09-05 00:00:00,TRX/USDT,0.0635225,0.0636875,0.0624425,0.062945,11423017.966002066,719021.86587
