https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCN,Volume BTC
1663459200,2022-09-18 00:00:00,XCN/BTC,0.0000032,0.0000032,0.000003197,0.000003197,24.0189,0.0000768269328
1663372800,2022-09-17 00:00:00,XCN/BTC,0.000003278,0.000003278,0.000003167,0.000003177,22362.0557,0.0719415915214
1663286400,2022-09-16 00:00:00,XCN/BTC,0.000003432,0.000003456,0.000003232,0.000003269,10659.5578,0.0354851774372
1663200000,2022-09-15 00:00:00,XCN/BTC,0.000003394,0.000003491,0.000003362,0.00000343,32922.2137,0.1124082600264
1663113600,2022-09-14 00:00:00,XCN/BTC,0.000003476,0.000003514,0.000003341,0.000003383,21218.1061,0.0718771254065
1663027200,2022-09-13 00:00:00,XCN/BTC,0.000003304,0.000003458,0.000003255,0.000003412,20713.2016,0.0691707973354
1662940800,2022-09-12 00:00:00,XCN/BTC,0.000003407,0.000003749,0.00000328,0.000003292,71811.5859,0.2494374913754
1662854400,2022-09-11 00:00:00,XCN/BTC,0.000003355,0.000003445,0.000003304,0.00000343,72838.0017,0.243031703802
1662768000,2022-09-10 00:00:00,XCN/BTC,0.00000341,0.00000341,0.000003311,0.000003311,2624.868,0.0088523442917
1662681600,2022-09-09 00:00:00,XCN/BTC,0.000003501,0.00000353,0.000003199,0.000003392,20181.5586,0.0676714541523
1662595200,2022-09-08 00:00:00,XCN/BTC,0.000003685,0.000003685,0.000003505,0.000003508,50402.3405,0.1790518451972
1662508800,2022-09-07 00:00:00,XCN/BTC,0.000003948,0.000003948,0.000003674,0.000003686,4932.3211,0.0186625943852
1662422400,2022-09-06 00:00:00,XCN/BTC,0.000003829,0.000003958,0.000003763,0.000003906,16742.3527,0.0642854364612
1662336000,2022-09-05 00:00:00,XCN/BTC,0.000003951,0.000003952,0.000003779,0.000003836,51440.5527,0.1961418654097
1662249600,2022-09-04 00:00:00,XCN/BTC,0.000003946,0.000003982,0.000003927,0.000003947,15587.3757,0.0616402587427
1662163200,2022-09-03 00:00:00,XCN/BTC,0.000004002,0.000004039,0.000003867,0.000003955,37800.9635,0.1504757496169
1662076800,2022-09-02 00:00:00,XCN/BTC,0.000003995,0.000004027,0.000003923,0.000003982,29758.1596,0.1192825378461
1661990400,2022-09-01 00:00:00,XCN/BTC,0.000004087,0.000004113,0.000003946,0.000003974,15539.1476,0.0626612506779
1661904000,2022-08-31 00:00:00,XCN/BTC,0.000004066,0.000004077,0.000003946,0.000004077,45073.3659,0.1814090896067
1661817600,2022-08-30 00:00:00,XCN/BTC,0.000004162,0.000004193,0.000004063,0.000004145,45970.8929,0.1898341684682
1661731200,2022-08-29 00:00:00,XCN/BTC,0.00000442,0.000004432,0.000004131,0.000004156,75341.5892,0.3176678940353
1661644800,2022-08-28 00:00:00,XCN/BTC,0.00000429,0.000004431,0.000004176,0.000004431,310610.3746,1.3113319448177
