https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORESTPLUS,Volume USDT
1663459200,2022-09-18 00:00:00,FORESTPLUS/USDT,0.0055803,0.005752,0.0055619,0.0056155,1683303.5608,9447.14298028357
1663372800,2022-09-17 00:00:00,FORESTPLUS/USDT,0.0051105,0.0059,0.005103,0.0055843,67103963.7403,358609.06880197678
1663286400,2022-09-16 00:00:00,FORESTPLUS/USDT,0.0050959,0.0051898,0.005,0.0051102,61667228.79408937,315227.112890425664685
1663200000,2022-09-15 00:00:00,FORESTPLUS/USDT,0.0052341,0.0052898,0.0050507,0.0050959,60140689.9664,311449.83865354169
1663113600,2022-09-14 00:00:00,FORESTPLUS/USDT,0.0053031,0.0053536,0.0050344,0.0052335,64236535.8791,335574.25178346391
1663027200,2022-09-13 00:00:00,FORESTPLUS/USDT,0.0058132,0.0058257,0.00515,0.0053025,64117056.2832,353495.31000880067
1662940800,2022-09-12 00:00:00,FORESTPLUS/USDT,0.005422,0.00666,0.0054113,0.0058128,78175720.6865,454757.12250862872
1662854400,2022-09-11 00:00:00,FORESTPLUS/USDT,0.0054222,0.0056,0.005395,0.0054218,59019190.3561,321033.93239353007
1662768000,2022-09-10 00:00:00,FORESTPLUS/USDT,0.0054691,0.0056908,0.0053159,0.0054228,64902646.5908,351173.85021438067
1662681600,2022-09-09 00:00:00,FORESTPLUS/USDT,0.0053876,0.005615,0.0053802,0.0054697,64606858.6052,353964.34072237162
1662595200,2022-09-08 00:00:00,FORESTPLUS/USDT,0.0053048,0.0055915,0.0052995,0.0053873,62111195.5966,334519.40288088878
1662508800,2022-09-07 00:00:00,FORESTPLUS/USDT,0.0051851,0.0053245,0.0051586,0.0053046,69285520.9976,362020.87792243019
1662422400,2022-09-06 00:00:00,FORESTPLUS/USDT,0.005322,0.0055211,0.0051503,0.0051855,57262074.6267,305534.90524463564
1662336000,2022-09-05 00:00:00,FORESTPLUS/USDT,0.0053893,0.0054741,0.0052862,0.0053214,61856205.4954,332413.09067745227
1662249600,2022-09-04 00:00:00,FORESTPLUS/USDT,0.0054164,0.0054503,0.0053331,0.0053895,65388817.2272,351519.82076478458
1662163200,2022-09-03 00:00:00,FORESTPLUS/USDT,0.005386,0.0054741,0.0053419,0.005417,57015697.5811,307431.67949912966
1662076800,2022-09-02 00:00:00,FORESTPLUS/USDT,0.0052405,0.0054632,0.0052332,0.0053858,64497714.9362,343666.31889744652
1661990400,2022-09-01 00:00:00,FORESTPLUS/USDT,0.0053814,0.0054957,0.0052162,0.0052407,63681990.0977,339199.81395803768
1661904000,2022-08-31 00:00:00,FORESTPLUS/USDT,0.0058468,0.0059205,0.0051831,0.0053814,60412416.8727,336185.44342835939
1661817600,2022-08-30 00:00:00,FORESTPLUS/USDT,0.005972,0.0059926,0.0056078,0.0058474,59062012.3619,346680.38513507123
1661731200,2022-08-29 00:00:00,FORESTPLUS/USDT,0.0055704,0.0063642,0.0055436,0.0059726,54045832.987,313552.26638177634
1661644800,2022-08-28 00:00:00,FORESTPLUS/USDT,0.0059717,0.0060953,0.0055513,0.0055696,53413606.2051,313041.85239537039
1661558400,2022-08-27 00:00:00,FORESTPLUS/USDT,0.0054741,0.0067,0.0054352,0.0059721,68788007.8156,393877.46288191031
1661472000,2022-08-26 00:00:00,FORESTPLUS/USDT,0.0060231,0.006125,0.0053782,0.0054739,55156383.9635,319005.16661909978
1661385600,2022-08-25 00:00:00,FORESTPLUS/USDT,0.0057587,0.0061214,0.0057063,0.0060234,58323431.238,340346.90807431778
1661299200,2022-08-24 00:00:00,FORESTPLUS/USDT,0.0058027,0.0058042,0.00565,0.0057589,60202179.2875,344085.42394890474
1661212800,2022-08-23 00:00:00,FORESTPLUS/USDT,0.0057734,0.0058412,0.0056506,0.005803,59871636.2242,345146.28159970758
1661126400,2022-08-22 00:00:00,FORESTPLUS/USDT,0.0058434,0.0061128,0.0056596,0.0057736,51520271.6625,300021.94483431161
1661040000,2022-08-21 00:00:00,FORESTPLUS/USDT,0.0059159,0.006023,0.0056821,0.005844,55279391.2846,321513.87284304887
1660953600,2022-08-20 00:00:00,FORESTPLUS/USDT,0.0062389,0.0062483,0.0058976,0.0059165,55258650.7767,339260.8714475968
1660867200,2022-08-19 00:00:00,FORESTPLUS/USDT,0.0068392,0.0068392,0.006097,0.0062383,51980759.9733,329271.30097346548
1660780800,2022-08-18 00:00:00,FORESTPLUS/USDT,0.0065671,0.00715,0.0063638,0.0068398,60427088.6489,406549.25638592045
1660694400,2022-08-17 00:00:00,FORESTPLUS/USDT,0.0064303,0.0067447,0.0064001,0.0065678,48083332.5874,314044.44874285072
1660608000,2022-08-16 00:00:00,FORESTPLUS/USDT,0.0065261,0.006595,0.0064047,0.0064296,43507455.5866,282734.64730723926
1660521600,2022-08-15 00:00:00,FORESTPLUS/USDT,0.0066395,0.0069202,0.0065,0.0065266,47531723.9529,318058.02063529059
1660435200,2022-08-14 00:00:00,FORESTPLUS/USDT,0.0065839,0.0072702,0.0065589,0.0066387,52285040.8258,352693.87556318968
1660348800,2022-08-13 00:00:00,FORESTPLUS/USDT,0.0067247,0.0068821,0.0065401,0.0065836,51567919.148,345123.79185606742
1660262400,2022-08-12 00:00:00,FORESTPLUS/USDT,0.0067252,0.0068297,0.0063,0.0067244,52155212.8738,338443.16942527757
1660176000,2022-08-11 00:00:00,FORESTPLUS/USDT,0.0064225,0.0067489,0.0064,0.0067247,48554195.9872,316721.33019577574
1660089600,2022-08-10 00:00:00,FORESTPLUS/USDT,0.0063773,0.0065899,0.006359,0.0064229,51783136.3119,332509.38768856509
1660003200,2022-08-09 00:00:00,FORESTPLUS/USDT,0.0066615,0.0067487,0.0063007,0.0063771,54869879.4001,353790.36905191017
1659916800,2022-08-08 00:00:00,FORESTPLUS/USDT,0.0065775,0.0067024,0.0064,0.0066475,50195611.5703,328730.78807095129
1659830400,2022-08-07 00:00:00,FORESTPLUS/USDT,0.0068424,0.0068743,0.0060809,0.0065772,60046408.5091,391406.23483276358
1659744000,2022-08-06 00:00:00,FORESTPLUS/USDT,0.006432,0.0070079,0.006432,0.006843,49999637.2778,340961.0297183542
1659657600,2022-08-05 00:00:00,FORESTPLUS/USDT,0.0071979,0.0072,0.0059635,0.0064268,62838129.0788,413384.41332470855
1659571200,2022-08-04 00:00:00,FORESTPLUS/USDT,0.0067983,0.0072194,0.0066118,0.0071612,54632421.8687,377643.11905297813
1659484800,2022-08-03 00:00:00,FORESTPLUS/USDT,0.0071477,0.007259,0.0067833,0.0067984,42221527.5722,293402.30572589353
1659398400,2022-08-02 00:00:00,FORESTPLUS/USDT,0.006789,0.007399,0.0066118,0.007147,53414043.3568,366072.79404241379
1659312000,2022-08-01 00:00:00,FORESTPLUS/USDT,0.0068837,0.007081,0.00666,0.0067893,48524459.9119,332858.97660779294
1659225600,2022-07-31 00:00:00,FORESTPLUS/USDT,0.0068401,0.0071,0.0066794,0.0068845,45633696.3824,313050.59455536724
1659139200,2022-07-30 00:00:00,FORESTPLUS/USDT,0.0068728,0.007444,0.0067985,0.0068392,50852544.1677,355592.01821923204
1659052800,2022-07-29 00:00:00,FORESTPLUS/USDT,0.0067262,0.0070587,0.0065,0.0068719,44806575.2891,303381.48591747675
1658966400,2022-07-28 00:00:00,FORESTPLUS/USDT,0.0065589,0.0069992,0.00635,0.0067411,47288075.9567,309467.50551036262
1658880000,2022-07-27 00:00:00,FORESTPLUS/USDT,0.0063623,0.0065971,0.0062,0.0065496,50437299.6415,321872.73634919621
1658793600,2022-07-26 00:00:00,FORESTPLUS/USDT,0.0064482,0.0069952,0.0060544,0.0063384,53092760.0491,337645.31346996151
1658707200,2022-07-25 00:00:00,FORESTPLUS/USDT,0.0066327,0.0066574,0.0064,0.006433,54338782.6071,353828.95500310621
1658620800,2022-07-24 00:00:00,FORESTPLUS/USDT,0.0066473,0.0068034,0.0065101,0.0066334,53257226.2758,352669.78285760289
1658534400,2022-07-23 00:00:00,FORESTPLUS/USDT,0.0067163,0.0068258,0.006561,0.0066473,42786548.5805,285940.87358962918
1658448000,2022-07-22 00:00:00,FORESTPLUS/USDT,0.0068515,0.0071313,0.0066996,0.0067161,46352935.999,319707.16871086659
1658361600,2022-07-21 00:00:00,FORESTPLUS/USDT,0.0066894,0.0070779,0.006677,0.0068514,50298672.9317,339873.56661254322
1658275200,2022-07-20 00:00:00,FORESTPLUS/USDT,0.0072092,0.007346,0.0064531,0.0066899,49223255.95756692,345590.38985949551879
1658188800,2022-07-19 00:00:00,FORESTPLUS/USDT,0.0068995,0.0075995,0.0067498,0.0072103,56207639.0822686,397652.197319504397447
1658102400,2022-07-18 00:00:00,FORESTPLUS/USDT,0.0066876,0.0071849,0.00655,0.0069149,52264826.03158206,356820.165734212668445
1658016000,2022-07-17 00:00:00,FORESTPLUS/USDT,0.0066007,0.006878,0.0065076,0.0066692,47987282.66419793,320031.345270365688871
1657929600,2022-07-16 00:00:00,FORESTPLUS/USDT,0.0063978,0.0067999,0.0063626,0.0065971,51307933.7318017,333693.080625023616392
1657843200,2022-07-15 00:00:00,FORESTPLUS/USDT,0.006579,0.0067544,0.0063426,0.0063984,51889725.57440508,336808.808020754928325
1657756800,2022-07-14 00:00:00,FORESTPLUS/USDT,0.0064436,0.0066603,0.0061337,0.0065738,53238656.29649287,340759.586858657947777
