https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT
1659225600,2022-07-31 00:00:00,ZRX/USDT,0.34409768,0.34495127,0.34409768,0.34495127,174.23134772,505.15447581
1659139200,2022-07-30 00:00:00,ZRX/USDT,0.34048543,0.38751884,0.33933255,0.3485511,6027.46109395,16201.96455423
1659052800,2022-07-29 00:00:00,ZRX/USDT,0.3334463,0.34509683,0.32319442,0.34040281,829.34816713,2477.70758454
1658966400,2022-07-28 00:00:00,ZRX/USDT,0.30983252,0.33694748,0.30983252,0.32861702,943.95697777,2908.16036497
1658880000,2022-07-27 00:00:00,ZRX/USDT,0.2840157,0.30650949,0.28393179,0.30650949,126.37973057,425.94748366
1658793600,2022-07-26 00:00:00,ZRX/USDT,0.28067711,0.28657132,0.277,0.28657132,348.84960908,1251.99736569
1658707200,2022-07-25 00:00:00,ZRX/USDT,0.30117429,0.3028998,0.28346259,0.28346259,871.33383754,2918.49260628
1658620800,2022-07-24 00:00:00,ZRX/USDT,0.30983252,0.31630404,0.30345987,0.30953777,466.18152561,1502.46053693
1658534400,2022-07-23 00:00:00,ZRX/USDT,0.30671455,0.31647858,0.30020519,0.30983252,144.17341797,465.92735881
1658448000,2022-07-22 00:00:00,ZRX/USDT,0.31651276,0.3299815,0.30996923,0.30996923,776.96478538,2400.71623044
1658361600,2022-07-21 00:00:00,ZRX/USDT,0.31412825,0.32315952,0.30086197,0.32315952,141.15135933,454.0483646
1658275200,2022-07-20 00:00:00,ZRX/USDT,0.34048543,0.34767315,0.31120452,0.3218405,428.03796129,1283.88744456
1658188800,2022-07-19 00:00:00,ZRX/USDT,0.31980161,0.34221399,0.30996923,0.33348231,1082.07138554,3263.85288352
1658102400,2022-07-18 00:00:00,ZRX/USDT,0.30124571,0.32309096,0.30124571,0.32250748,268.64761453,852.7639556
1658016000,2022-07-17 00:00:00,ZRX/USDT,0.30296661,0.30983252,0.29695051,0.30230235,217.47411348,712.71088836
1657929600,2022-07-16 00:00:00,ZRX/USDT,0.29790086,0.30714998,0.29590086,0.30318647,308.93141244,1021.82390815
1657843200,2022-07-15 00:00:00,ZRX/USDT,0.29321738,0.29654041,0.29044115,0.29101913,91.26645928,311.93882075
1657756800,2022-07-14 00:00:00,ZRX/USDT,0.28067711,0.29321738,0.27328755,0.2866,281.35649275,1005.62159844
1657670400,2022-07-13 00:00:00,ZRX/USDT,0.2786334,0.29010746,0.26,0.28393179,568.24652376,2109.10995118
1657584000,2022-07-12 00:00:00,ZRX/USDT,0.28029901,0.28029901,0.275,0.275,58.36208073,210.42970045
1657497600,2022-07-11 00:00:00,ZRX/USDT,0.31075679,0.31075679,0.28513019,0.29986344,215.73031448,733.56086888
1657411200,2022-07-10 00:00:00,ZRX/USDT,0.3334463,0.34048543,0.31075679,0.31493479,590.44775536,1875.71350991
1657324800,2022-07-09 00:00:00,ZRX/USDT,0.32246149,0.3334463,0.32246149,0.3318034,198.28667151,600.89946395
1657238400,2022-07-08 00:00:00,ZRX/USDT,0.3201491,0.34894007,0.31322391,0.32246149,1542.78420731,4654.00011066
1657152000,2022-07-07 00:00:00,ZRX/USDT,0.3047475,0.30983252,0.30345987,0.30983252,186.79511126,612.86565261
1657065600,2022-07-06 00:00:00,ZRX/USDT,0.2977034,0.30668142,0.2977034,0.30668142,186.02367098,608.55376353
