https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AERGO,Volume USDT
1663459200,2022-09-18 00:00:00,AERGO/USDT,0.1456,0.1486,0.1454,0.1481,32621.5496,4818.00277791
1663372800,2022-09-17 00:00:00,AERGO/USDT,0.1456,0.1555,0.1413,0.1453,1830374.4015,266611.63857217
1663286400,2022-09-16 00:00:00,AERGO/USDT,0.1724,0.1839,0.1407,0.1462,2747471.992,413676.9926403
1663200000,2022-09-15 00:00:00,AERGO/USDT,0.205,0.2195,0.1654,0.1724,2922686.7266,553552.16500638
1663113600,2022-09-14 00:00:00,AERGO/USDT,0.1968,0.3263,0.1769,0.2056,4710186.9986,1123379.59436079
1663027200,2022-09-13 00:00:00,AERGO/USDT,0.2154,0.2326,0.1739,0.1977,2588885.7861,516070.7270767
1662940800,2022-09-12 00:00:00,AERGO/USDT,0.2605,0.298,0.2139,0.2154,2962790.67,723604.38729706
1662854400,2022-09-11 00:00:00,AERGO/USDT,0.173,0.3583,0.1627,0.2607,11451759.98931637,3101362.018111091534
1662768000,2022-09-10 00:00:00,AERGO/USDT,0.139,0.26,0.1297,0.173,3529459.7102,726125.981341
1662681600,2022-09-09 00:00:00,AERGO/USDT,0.162,0.1855,0.1287,0.1386,1178153.2833,175397.82174908
1662595200,2022-09-08 00:00:00,AERGO/USDT,0.1191,0.22,0.1174,0.1617,3126143.22723182,526792.73381680396
1662508800,2022-09-07 00:00:00,AERGO/USDT,0.1155,0.1195,0.1135,0.1191,40794.0415,4737.6550242
1662422400,2022-09-06 00:00:00,AERGO/USDT,0.1223,0.1244,0.113,0.1156,66594.8315,7787.75321046
1662336000,2022-09-05 00:00:00,AERGO/USDT,0.1219,0.1255,0.119,0.1229,59437.4608,7190.67537558
1662249600,2022-09-04 00:00:00,AERGO/USDT,0.1211,0.123,0.1167,0.122,91301.4219,11036.52863565
1662163200,2022-09-03 00:00:00,AERGO/USDT,0.1211,0.1227,0.1166,0.1211,28047.1815,3355.47609403
1662076800,2022-09-02 00:00:00,AERGO/USDT,0.124,0.124,0.1187,0.1214,41525.1403,5050.01661612
1661990400,2022-09-01 00:00:00,AERGO/USDT,0.1238,0.124,0.1076,0.124,157529.0843,18211.6469758
1661904000,2022-08-31 00:00:00,AERGO/USDT,0.1226,0.1281,0.1198,0.1238,42595.5214,5244.45695084
1661817600,2022-08-30 00:00:00,AERGO/USDT,0.1226,0.1273,0.1156,0.1224,34313.0483,4162.69406668
1661731200,2022-08-29 00:00:00,AERGO/USDT,0.1178,0.1224,0.1165,0.1224,46126.8458,5517.28213506
1661644800,2022-08-28 00:00:00,AERGO/USDT,0.1188,0.1259,0.1178,0.1178,82445.7974,10059.53241089
1661558400,2022-08-27 00:00:00,AERGO/USDT,0.1206,0.1233,0.1168,0.1189,88476.5495,10600.61110221
1661472000,2022-08-26 00:00:00,AERGO/USDT,0.1315,0.1317,0.1206,0.1207,58511.8233,7434.49609379
1661385600,2022-08-25 00:00:00,AERGO/USDT,0.1251,0.1363,0.1244,0.1312,93276.2754,12046.19985582
1661299200,2022-08-24 00:00:00,AERGO/USDT,0.1232,0.1381,0.1213,0.1247,78041.9361,9842.26791389
1661212800,2022-08-23 00:00:00,AERGO/USDT,0.1206,0.1243,0.1196,0.1238,26116.9209,3191.63506105
1661126400,2022-08-22 00:00:00,AERGO/USDT,0.1237,0.1251,0.1174,0.1208,53566.7824,6411.22335371
1661040000,2022-08-21 00:00:00,AERGO/USDT,0.1226,0.125,0.117,0.1237,130508.8818,15752.10600923
1660953600,2022-08-20 00:00:00,AERGO/USDT,0.1223,0.1262,0.116,0.122,158477.8778,19222.1598362
1660867200,2022-08-19 00:00:00,AERGO/USDT,0.1357,0.1357,0.1198,0.1215,87409.5886,10916.1635129
1660780800,2022-08-18 00:00:00,AERGO/USDT,0.1378,0.1416,0.1322,0.1357,116148.5182,15978.51175697
1660694400,2022-08-17 00:00:00,AERGO/USDT,0.1434,0.1466,0.1354,0.1377,50373.9024,7025.0502466
1660608000,2022-08-16 00:00:00,AERGO/USDT,0.1469,0.1469,0.1404,0.1434,42612.9355,6135.93654427
1660521600,2022-08-15 00:00:00,AERGO/USDT,0.1466,0.1618,0.1445,0.1469,171099.1595,25719.44666339
1660435200,2022-08-14 00:00:00,AERGO/USDT,0.1511,0.1544,0.1433,0.1469,81033.4686,12034.57484235
1660348800,2022-08-13 00:00:00,AERGO/USDT,0.1526,0.1531,0.1485,0.1506,47209.4008,7102.4926558
1660262400,2022-08-12 00:00:00,AERGO/USDT,0.1474,0.1594,0.1466,0.1537,187010.7804,28297.3749862
1660176000,2022-08-11 00:00:00,AERGO/USDT,0.1419,0.153,0.1418,0.1471,78617.9031,11543.21685507
1660089600,2022-08-10 00:00:00,AERGO/USDT,0.1365,0.1427,0.1322,0.1421,57240.8429,7950.94725098
1660003200,2022-08-09 00:00:00,AERGO/USDT,0.1441,0.1483,0.1333,0.1362,52750.8527,7329.20137948
1659916800,2022-08-08 00:00:00,AERGO/USDT,0.1371,0.1447,0.1363,0.1442,200435.8748,28280.92110536
1659830400,2022-08-07 00:00:00,AERGO/USDT,0.1386,0.1413,0.1345,0.1372,89958.7979,12407.29005525
1659744000,2022-08-06 00:00:00,AERGO/USDT,0.138,0.1399,0.1345,0.138,53879.3962,7435.29167265
1659657600,2022-08-05 00:00:00,AERGO/USDT,0.1344,0.139,0.1336,0.1375,84029.5154,11457.07876366
1659571200,2022-08-04 00:00:00,AERGO/USDT,0.135,0.1387,0.1325,0.1339,57776.4314,7764.24707085
1659484800,2022-08-03 00:00:00,AERGO/USDT,0.1379,0.138,0.1325,0.1343,87075.4889,11827.12613815
1659398400,2022-08-02 00:00:00,AERGO/USDT,0.1433,0.1497,0.1293,0.1378,292726.3214,39792.23595947
1659312000,2022-08-01 00:00:00,AERGO/USDT,0.1356,0.1548,0.1356,0.1428,651958.9578,95265.25363971
1659225600,2022-07-31 00:00:00,AERGO/USDT,0.1318,0.1385,0.1296,0.1345,99773.8124,13411.2205624
1659139200,2022-07-30 00:00:00,AERGO/USDT,0.1295,0.1366,0.1295,0.1314,86193.3513,11470.66052901
1659052800,2022-07-29 00:00:00,AERGO/USDT,0.1301,0.1324,0.1248,0.1296,64339.749,8300.83155802
1658966400,2022-07-28 00:00:00,AERGO/USDT,0.1265,0.131,0.1228,0.1292,48277.7199,6130.97518695
1658880000,2022-07-27 00:00:00,AERGO/USDT,0.1191,0.1287,0.1171,0.1264,137850.6788,16776.89584126
1658793600,2022-07-26 00:00:00,AERGO/USDT,0.1198,0.1204,0.1134,0.119,105935.5253,12314.97431175
1658707200,2022-07-25 00:00:00,AERGO/USDT,0.131,0.131,0.12,0.12,85117.5952,10464.59366726
1658620800,2022-07-24 00:00:00,AERGO/USDT,0.1316,0.1326,0.1277,0.1312,52585.4858,6875.94083044
1658534400,2022-07-23 00:00:00,AERGO/USDT,0.1313,0.1434,0.1262,0.1313,127953.6001,16688.87644893
1658448000,2022-07-22 00:00:00,AERGO/USDT,0.1344,0.135,0.1296,0.1308,17836.8734,2356.49778636
1658361600,2022-07-21 00:00:00,AERGO/USDT,0.1343,0.1352,0.128,0.135,71986.7081,9392.24969208
1658275200,2022-07-20 00:00:00,AERGO/USDT,0.1361,0.1413,0.133,0.1342,93695.3464,12922.31847644
1658188800,2022-07-19 00:00:00,AERGO/USDT,0.1328,0.1384,0.1299,0.1363,117392.619,15731.62025677
1658102400,2022-07-18 00:00:00,AERGO/USDT,0.126,0.1334,0.1256,0.1327,103320.3294,13516.95376025
1658016000,2022-07-17 00:00:00,AERGO/USDT,0.1314,0.1331,0.1256,0.126,93081.42,11945.9236378
1657929600,2022-07-16 00:00:00,AERGO/USDT,0.1277,0.1347,0.1271,0.1316,145568.4162,19010.506268
1657843200,2022-07-15 00:00:00,AERGO/USDT,0.1256,0.1306,0.1232,0.1277,78902.6504,10023.3415192
1657756800,2022-07-14 00:00:00,AERGO/USDT,0.1265,0.1265,0.1176,0.1255,149387.824,18279.83130449
1657670400,2022-07-13 00:00:00,AERGO/USDT,0.1232,0.1297,0.1164,0.1263,145231.4937,17932.12140593
1657584000,2022-07-12 00:00:00,AERGO/USDT,0.1336,0.1346,0.1222,0.1236,333721.9506,42574.09385833
1657497600,2022-07-11 00:00:00,AERGO/USDT,0.1569,0.1588,0.1322,0.134,1329054.2238,193165.06389818
1657411200,2022-07-10 00:00:00,AERGO/USDT,0.1466,0.3534,0.1394,0.1572,8067384.5356,1574624.977505
