https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SWINGBY,Volume BTC
1663459200,2022-09-18 00:00:00,SWINGBY/BTC,0.00000015,0.00000015,0.00000015,0.00000015,6438.6666,0.00096579999
1663372800,2022-09-17 00:00:00,SWINGBY/BTC,0.00000014,0.00000016,0.00000014,0.00000015,1797400.3641,0.262681402369
1663286400,2022-09-16 00:00:00,SWINGBY/BTC,0.00000015,0.00000016,0.00000014,0.00000015,822491.5232,0.118685757907
1663200000,2022-09-15 00:00:00,SWINGBY/BTC,0.00000014,0.00000018,0.00000012,0.00000015,4529415.7197,0.661930163714
1663113600,2022-09-14 00:00:00,SWINGBY/BTC,0.00000013,0.00000014,0.00000012,0.00000014,930030.1261,0.12750784608
1663027200,2022-09-13 00:00:00,SWINGBY/BTC,0.00000013,0.00000014,0.00000012,0.00000014,1235001.8542,0.162361290676
1662940800,2022-09-12 00:00:00,SWINGBY/BTC,0.00000014,0.00000014,0.00000013,0.00000013,1011704.2785,0.134587999877
1662854400,2022-09-11 00:00:00,SWINGBY/BTC,0.00000015,0.00000015,0.00000014,0.00000014,552170.5368,0.07740715471
1662768000,2022-09-10 00:00:00,SWINGBY/BTC,0.00000015,0.00000015,0.00000013,0.00000015,1563028.5576,0.220069048686
1662681600,2022-09-09 00:00:00,SWINGBY/BTC,0.00000018,0.00000018,0.00000015,0.00000015,2635622.7194,0.405163221819
1662595200,2022-09-08 00:00:00,SWINGBY/BTC,0.00000015,0.00000021,0.00000015,0.00000018,2680985.187,0.450910927065
1662508800,2022-09-07 00:00:00,SWINGBY/BTC,0.00000015,0.00000016,0.00000014,0.00000016,2395334.4065,0.36105511721
1662422400,2022-09-06 00:00:00,SWINGBY/BTC,0.00000016,0.00000016,0.00000015,0.00000015,1164669.6271,0.175278166721
1662336000,2022-09-05 00:00:00,SWINGBY/BTC,0.00000016,0.00000016,0.00000015,0.00000016,219376.8994,0.034630153297
1662249600,2022-09-04 00:00:00,SWINGBY/BTC,0.00000014,0.00000019,0.00000014,0.00000016,3732790.0297,0.599672325046
1662163200,2022-09-03 00:00:00,SWINGBY/BTC,0.00000015,0.00000016,0.00000015,0.00000015,1339945.2335,0.201021300136
1662076800,2022-09-02 00:00:00,SWINGBY/BTC,0.00000015,0.00000016,0.00000015,0.00000016,933637.4994,0.149187703629
1661990400,2022-09-01 00:00:00,SWINGBY/BTC,0.00000016,0.00000016,0.00000015,0.00000016,862208.1027,0.129792963378
1661904000,2022-08-31 00:00:00,SWINGBY/BTC,0.00000016,0.00000017,0.00000016,0.00000016,771845.8442,0.123663272363
1661817600,2022-08-30 00:00:00,SWINGBY/BTC,0.00000017,0.00000018,0.00000016,0.00000017,226158.4134,0.03816945755
1661731200,2022-08-29 00:00:00,SWINGBY/BTC,0.00000016,0.0000002,0.00000016,0.00000017,1263089.2806,0.219821742038
1661644800,2022-08-28 00:00:00,SWINGBY/BTC,0.00000017,0.00000017,0.00000016,0.00000017,759397.6224,0.122107058411
1661558400,2022-08-27 00:00:00,SWINGBY/BTC,0.00000016,0.00000019,0.00000015,0.00000017,511840.6439,0.086220930983
1661472000,2022-08-26 00:00:00,SWINGBY/BTC,0.00000016,0.00000019,0.00000015,0.00000017,919576.1278,0.156593718235
1661385600,2022-08-25 00:00:00,SWINGBY/BTC,0.00000017,0.00000019,0.00000015,0.00000015,795038.4625,0.136769125515
1661299200,2022-08-24 00:00:00,SWINGBY/BTC,0.00000019,0.00000019,0.00000017,0.00000017,781923.3037,0.138311774051
1661212800,2022-08-23 00:00:00,SWINGBY/BTC,0.0000002,0.00000021,0.00000018,0.00000018,192145.1146,0.036804165361
1661126400,2022-08-22 00:00:00,SWINGBY/BTC,0.00000019,0.00000021,0.00000019,0.00000021,246166.1248,0.047686497953
1661040000,2022-08-21 00:00:00,SWINGBY/BTC,0.00000019,0.00000021,0.00000017,0.00000021,740814.4216,0.14217185483
1660953600,2022-08-20 00:00:00,SWINGBY/BTC,0.0000002,0.00000022,0.00000018,0.00000018,358848.0708,0.071336311093
1660867200,2022-08-19 00:00:00,SWINGBY/BTC,0.00000019,0.0000002,0.00000017,0.0000002,521593.2644,0.096430137041
1660780800,2022-08-18 00:00:00,SWINGBY/BTC,0.0000002,0.0000002,0.00000018,0.00000019,427149.9768,0.083667950115
1660694400,2022-08-17 00:00:00,SWINGBY/BTC,0.00000019,0.00000023,0.00000018,0.00000021,1113228.1808,0.228179517764
1660608000,2022-08-16 00:00:00,SWINGBY/BTC,0.00000022,0.00000023,0.00000019,0.00000021,660955.667,0.136384732346
1660521600,2022-08-15 00:00:00,SWINGBY/BTC,0.00000024,0.00000024,0.00000022,0.00000023,531252.494,0.121766716316
1660435200,2022-08-14 00:00:00,SWINGBY/BTC,0.00000025,0.00000029,0.00000022,0.00000022,827675.4277,0.207103762746
1660348800,2022-08-13 00:00:00,SWINGBY/BTC,0.00000028,0.00000028,0.00000025,0.00000025,334155.1511,0.086543911073
1660262400,2022-08-12 00:00:00,SWINGBY/BTC,0.00000024,0.0000003,0.00000023,0.00000027,919213.5933,0.244455085182
1660176000,2022-08-11 00:00:00,SWINGBY/BTC,0.00000022,0.00000025,0.00000021,0.00000024,206617.7438,0.047594573388
1660089600,2022-08-10 00:00:00,SWINGBY/BTC,0.00000023,0.00000024,0.00000021,0.00000022,653213.6682,0.143104363677
1660003200,2022-08-09 00:00:00,SWINGBY/BTC,0.00000027,0.00000028,0.00000022,0.00000022,616391.9158,0.150695662115
1659916800,2022-08-08 00:00:00,SWINGBY/BTC,0.00000022,0.00000027,0.0000002,0.00000027,1455401.8736,0.361410538728
1659830400,2022-08-07 00:00:00,SWINGBY/BTC,0.0000002,0.00000029,0.00000017,0.00000021,1702520.7296,0.382885940889
1659744000,2022-08-06 00:00:00,SWINGBY/BTC,0.00000019,0.00000021,0.00000016,0.0000002,1504721.8466,0.269550417866
1659657600,2022-08-05 00:00:00,SWINGBY/BTC,0.00000023,0.00000024,0.00000018,0.00000019,1519066.738,0.314717116613
1659571200,2022-08-04 00:00:00,SWINGBY/BTC,0.00000032,0.00000032,0.00000022,0.00000023,1872975.9316,0.477684101143
1659484800,2022-08-03 00:00:00,SWINGBY/BTC,0.00000026,0.00000033,0.00000021,0.00000032,5494867.1249,1.517313479582
1659398400,2022-08-02 00:00:00,SWINGBY/BTC,0.0000001,0.00000028,0.00000009,0.00000026,14739046.9497,2.25497791207
1659312000,2022-08-01 00:00:00,SWINGBY/BTC,0.0000001,0.00000011,0.00000009,0.0000001,1423493.3153,0.140510264359
1659225600,2022-07-31 00:00:00,SWINGBY/BTC,0.00000009,0.00000011,0.00000009,0.00000011,3608952.2322,0.360836332765
1659139200,2022-07-30 00:00:00,SWINGBY/BTC,0.0000001,0.0000001,0.00000009,0.00000009,592526.5084,0.057706206898
1659052800,2022-07-29 00:00:00,SWINGBY/BTC,0.00000009,0.0000001,0.00000009,0.00000009,1411305.7046,0.128797460917
1658966400,2022-07-28 00:00:00,SWINGBY/BTC,0.0000001,0.0000001,0.00000009,0.0000001,384449.9633,0.036089923294
1658880000,2022-07-27 00:00:00,SWINGBY/BTC,0.0000001,0.00000011,0.00000009,0.0000001,732923.0916,0.070169826511
1658793600,2022-07-26 00:00:00,SWINGBY/BTC,0.00000009,0.0000001,0.00000009,0.0000001,1258231.7374,0.125671706368
1658707200,2022-07-25 00:00:00,SWINGBY/BTC,0.0000001,0.00000011,0.00000009,0.0000001,3659781.7303,0.365844673723
1658620800,2022-07-24 00:00:00,SWINGBY/BTC,0.0000001,0.0000001,0.00000009,0.00000009,28242.6905,0.002669700068
1658534400,2022-07-23 00:00:00,SWINGBY/BTC,0.0000001,0.0000001,0.00000009,0.0000001,68354.7222,0.006401833202
1658448000,2022-07-22 00:00:00,SWINGBY/BTC,0.00000011,0.00000011,0.00000009,0.0000001,2915666.71395455,0.291547041618455
1658361600,2022-07-21 00:00:00,SWINGBY/BTC,0.00000011,0.00000011,0.0000001,0.0000001,1469620.381,0.147151493781
1658275200,2022-07-20 00:00:00,SWINGBY/BTC,0.00000011,0.00000011,0.0000001,0.0000001,1258004.0434,0.137338806967
1658188800,2022-07-19 00:00:00,SWINGBY/BTC,0.0000001,0.00000011,0.0000001,0.00000011,776242.5197,0.084625525285
1658102400,2022-07-18 00:00:00,SWINGBY/BTC,0.00000011,0.00000011,0.0000001,0.0000001,120384.315,0.013023236339
1658016000,2022-07-17 00:00:00,SWINGBY/BTC,0.00000012,0.00000012,0.0000001,0.0000001,4237304.3592,0.465777766401
1657929600,2022-07-16 00:00:00,SWINGBY/BTC,0.00000011,0.00000012,0.00000011,0.00000012,63928.5778,0.007273891125
1657843200,2022-07-15 00:00:00,SWINGBY/BTC,0.00000012,0.00000013,0.00000011,0.00000012,902071.2506,0.108562455384
1657756800,2022-07-14 00:00:00,SWINGBY/BTC,0.0000001,0.00000012,0.0000001,0.00000012,5775118.3478,0.630415092517
1657670400,2022-07-13 00:00:00,SWINGBY/BTC,0.00000011,0.00000011,0.0000001,0.00000011,49542.8124,0.005237767634
1657584000,2022-07-12 00:00:00,SWINGBY/BTC,0.0000001,0.00000011,0.0000001,0.00000011,157871.5514,0.015958879733
1657497600,2022-07-11 00:00:00,SWINGBY/BTC,0.00000011,0.00000011,0.0000001,0.00000011,1509715.8245,0.151388729746
1657411200,2022-07-10 00:00:00,SWINGBY/BTC,0.00000011,0.00000011,0.0000001,0.00000011,35193.941,0.003596678683
1657324800,2022-07-09 00:00:00,SWINGBY/BTC,0.0000001,0.00000011,0.0000001,0.00000011,64189.5968,0.00686819996
1657238400,2022-07-08 00:00:00,SWINGBY/BTC,0.0000001,0.00000011,0.0000001,0.0000001,4392674.8866,0.44647104454
