https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CERE,Volume USDT
1663459200,2022-09-18 00:00:00,CERE/USDT,0.006351,0.006365,0.006308,0.006364,32163.5545,204.0195879527
1663372800,2022-09-17 00:00:00,CERE/USDT,0.006298,0.006476,0.00622,0.006354,1664776.8134,10605.3392412619
1663286400,2022-09-16 00:00:00,CERE/USDT,0.006339,0.006397,0.00597,0.006297,5111505.53238233,31989.24488073986735
1663200000,2022-09-15 00:00:00,CERE/USDT,0.00632,0.006554,0.006232,0.006336,3899827.0596,24870.3098257195
1663113600,2022-09-14 00:00:00,CERE/USDT,0.006187,0.006388,0.00618,0.006325,4811303.177,29901.845651475
1663027200,2022-09-13 00:00:00,CERE/USDT,0.006209,0.006478,0.0061,0.006216,7478143.985,46719.9954809841
1662940800,2022-09-12 00:00:00,CERE/USDT,0.006272,0.006342,0.00611,0.006234,3968809.6194,24697.5914170739
1662854400,2022-09-11 00:00:00,CERE/USDT,0.006197,0.00635,0.0061,0.006309,2459848.3284,15365.1821857679
1662768000,2022-09-10 00:00:00,CERE/USDT,0.006294,0.00636,0.006107,0.006228,3442303.3468,21377.3413599158
1662681600,2022-09-09 00:00:00,CERE/USDT,0.006213,0.006396,0.006145,0.006311,3566619.9365,22333.6187111498
1662595200,2022-09-08 00:00:00,CERE/USDT,0.006304,0.00639,0.006135,0.006191,3912494.4301,24328.3891701216
1662508800,2022-09-07 00:00:00,CERE/USDT,0.006192,0.00636,0.00596,0.006303,14542634.9321,89242.1053192578
1662422400,2022-09-06 00:00:00,CERE/USDT,0.006298,0.00649,0.00597,0.006199,7233896.0714,44856.8534766391
1662336000,2022-09-05 00:00:00,CERE/USDT,0.006402,0.006468,0.006105,0.00635,3820486.3435,24013.0156915097
1662249600,2022-09-04 00:00:00,CERE/USDT,0.006407,0.006498,0.0063,0.006455,1235434.7679,7912.8005774676
1662163200,2022-09-03 00:00:00,CERE/USDT,0.006424,0.006499,0.006333,0.006407,1655964.3995,10639.767804259
1662076800,2022-09-02 00:00:00,CERE/USDT,0.006445,0.0065,0.006362,0.006468,2083607.4413,13412.4859914784
1661990400,2022-09-01 00:00:00,CERE/USDT,0.006488,0.006557,0.0064,0.006401,4092942.2816,26284.829814362
1661904000,2022-08-31 00:00:00,CERE/USDT,0.00654,0.006689,0.0064,0.006495,1703769.52901765,11081.46751980262166
1661817600,2022-08-30 00:00:00,CERE/USDT,0.006688,0.006799,0.006471,0.006537,3043300.72185897,20202.93422915445569
1661731200,2022-08-29 00:00:00,CERE/USDT,0.006708,0.0068,0.00657,0.006696,4760425.76202011,31851.07270329618603
